Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
ARIBINDA,-0.87,14.23,0,0,0,0,0,27.7,95.5,218.6,148,0,0,0
BAGASSI,-3.3,11.75,0,0,0,0,160.2,150.9,132.5,174.7,124.5,32.7,0,0
BAGUERA,-5.42,10.53,0,0,50.2,80.1,209.1,172.1,212.3,343.2,469.2,162.2,5.3,0
BANFORA AGRI,-4.77,10.62,0,0,24,87.9,84.9,161,193.6,191.8,134.4,130.1,0,0
BANI,-0.17,13.72,0,0,0,13.4,1,40.2,142.1,139.2,51.1,1.5,0,0
BARABOULE,-1.85,14.22,0,1.7,0,0,3.5,50.8,40,105.1,153.5,-29997,0,0
BARSALOGHO,-1.07,13.42,0,0,0,0.9,3.7,65.5,98.1,285.7,100.5,6,0,0
BATIE,-2.92,9.88,0,8,11.6,61.5,122.6,42.7,185.2,169.7,143.5,62.7,5,0
BEREBA,-3.68,11.62,0,0,11,60,75,181.5,145.5,173,160.7,67,0,0
BEREGADOUGOU,-4.73,10.75,0,0,18.9,95.6,60,128.6,167.9,230.2,151.1,65.1,0,0
BETARE,-1.37,11.43,0,0,16.2,61.2,109.1,110.9,-29997,240.6,167.6,44.6,0,0
BILANGA,-0.02,12.55,0,0,0,2.1,4,52.2,144.7,193.1,111.9,12.3,0,0
BOMBOROKUY,-3.98,13.05,0,0,0,10.5,17.2,28.6,147.5,175.5,126.4,0,0,0
BONDOUKUY,-3.77,11.85,0,0,0,4.9,88.1,88.3,241.3,208.1,146.1,14.9,0,0
BOTOU,2.05,12.67,0,4,0,5,17,124.9,205.7,204.4,70.9,0,0,0
BOULBI,-1.53,12.23,0,0,0.4,44.4,68,25.4,200.9,93.2,-29997,-29997,0,0
BOULSA,-0.57,12.65,0,0,0,21,8.3,93.8,122.9,201.1,122.4,30.5,0,0
BOURA,-2.5,11.05,0,0,0,50.1,138.2,79.5,205.9,164.9,291.7,17.5,0,0
BOUROUM,-0.65,13.6,0,0,0,0,15,45.5,142.4,138.7,46,0,0,0
BOURZANGA,-1.55,13.68,0,0,0,0,12.4,88.3,108.6,123.4,23,0,0,0
BOUSSE,-1.88,12.67,0,0,0,17.7,19.9,126.7,169,243.7,83.9,13.7,0,0
DAKIRI,-0.23,13.28,0,0,0,0,11.2,23.7,39.1,157.9,109.8,9.3,0,0
DANO,-3.07,11.15,0,0,22.8,114.2,159.4,102.1,223.2,164.7,-29997,-29997,0,0
DI-SOUROU,-3.42,13.17,0,0,0,3.5,41.6,108.9,172,96.7,102.1,2.5,0,0
DIALGAYE,-0.38,11.97,0,0,0,0,62.9,74.5,85.1,190.9,104,11.4,0,0
DIAPAGA,1.78,12.07,0,6,0,8,35.9,61.4,73.5,290.9,109.8,19.6,0,0
DIDYR,-2.62,12.57,0,0,0,12.1,66.9,70.3,169,114.5,51.4,19.5,0,0
DIEBOUGOU,-3.25,10.97,0,0,31.5,47.7,106.5,138.9,215.7,233.5,167,71.3,0,0
DISSIN,-2.93,10.93,0,0,6,83,73,184.7,247.7,208.5,209.1,40.3,0,0
DJIBO,-1.62,14.1,0,0,0,0,2.3,53.6,155.6,140.4,106.1,8.4,0,0
FARA,-2.77,11.52,0,0,14.5,52,85.5,130.5,172.4,283.3,89.7,27.5,0,0
GARANGO,-0.57,11.8,0,0,2.7,14.9,11.2,113.8,97.8,226.4,112.9,31.8,0,0
GAYERI,0.48,12.65,0,0,0,0,54.7,103.1,142.5,252.5,64.5,49,0,0
GORGADJI,-0.52,14.03,0,0,0,0,2.3,52.9,127.2,211.5,151.7,0,0,0
GOROM-GOROM,-0.23,14.45,0,0,0,0,0,26.5,165.5,121,192,0,0,0
GOURCY,-2.35,13.2,0,0,0,0,22.8,90.7,115.9,184.6,187.1,0,0,0
GUILONGOU,-1.3,12.62,0,0,0,20,18,156.8,191.2,100.8,49,29.9,0,0
HOUNDE,-3.52,11.48,0,0,1.5,18.7,88.3,167.6,216.6,289.2,134.6,15.6,0,0
IMANSGHO,-2.33,12.43,0,0,0,0,58,137.9,134,270.5,134.8,27.3,0,0
KAMBOINCE,-1.55,12.47,0,0,0,19.7,74,161.5,164,184.9,78,10.2,0,0
KAMPTI,-3.47,10.13,0,1.7,18,50,93.6,99.4,181.6,212.8,101.3,70.6,4.8,0
KASSOUM,-3.3,13.08,0,0,0,20.1,18.7,53.6,173.5,125.8,145.1,-29997,0,0
