STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
ARIBINDA,0.8,0.0,0.0,0.0,18.9,172.1,80.0,176.9,89.1,33.5,0.0,0.0
BAGASSI,9.1,0.0,0.0,44.9,94.7,159.9,195.8,350.6,109.7,62.8,7.8,0.0
BAGUERA,0.5,3.3,9.0,69.7,170.1,255.5,156.1,475.3,263.9,7.8,8.5,0.0
BANFORA AGRI,8.6,7.7,12.8,38.6,115.2,191.7,85.2,327.1,226.6,42.8,28.9,0.0
BANI,0.0,0.0,0.0,0.0,33.3,93.0,149.8,192.0,53.7,0.0,0.9,0.0
BARABOULE,0.0,0.0,0.0,0.0,40.9,34.2,177.9,200.3,120.1,22.4,0.0,0.0
BARSALOGHO,8.0,0.0,0.0,0.0,40.9,108.2,90.9,102.2,101.2,28.5,1.3,0.0
BEREBA,10.0,0.0,1.7,25.3,30.7,199.2,97.0,191.7,125.2,61.0,10.0,0.0
BEREGADOUGOU,5.0,6.2,28.4,43.2,96.8,182.6,121.3,268.3,156.7,54.0,57.5,0.0
BOBO-DIOULASSO,3.0,0.0,40.1,82.6,75.8,254.7,177.4,316.7,229.2,58.2,20.9,0.7
BOGANDE,0.5,0.9,0.0,12.7,10.1,35.2,111.1,133.7,138.9,65.9,0.3,0.0
BOMBOROKUY,0.0,0.0,0.0,11.5,49.1,53.5,203.6,255.7,87.5,**,**,0.0
BONDOUKUY,18.0,0.0,14.9,28.7,57.9,116.8,184.9,175.2,153.4,24.0,58.6,**
BOROMO,3.2,0.0,0.0,67.5,94.7,208.9,222.0,293.2,210.5,34.3,0.8,0.0
BOTOU,0.0,0.0,0.0,16.2,60.8,130.6,174.2,172.1,96.3,7.3,3.1,0.0
BOULSA,0.0,9.0,0.0,16.5,43.0,34.6,173.7,175.4,189.9,56.9,0.5,0.0
BOURA,32.9,0.0,34.7,63.0,105.1,110.8,171.9,328.2,197.0,36.0,0.0,0.0
BOUROUM,21.4,0.0,7.2,0.0,11.1,50.1,97.4,148.5,98.6,32.3,0.0,0.0
BOURZANGA,1.0,0.0,0.0,0.0,62.6,42.6,120.8,188.4,98.0,35.6,0.0,0.0
BOUSSE,0.0,0.0,0.0,0.0,46.0,127.2,216.8,130.0,106.6,28.0,0.0,0.0
DAKIRI,22.0,0.8,0.0,0.0,26.4,78.8,64.4,177.3,120.4,36.5,0.0,0.0
DANO,12.8,0.0,0.0,66.3,48.8,156.5,126.3,197.9,205.7,40.6,14.7,0.0
DEDOUGOU,1.4,0.0,0.0,22.0,50.6,105.6,171.2,284.8,103.7,58.9,0.0,0.0
DIALGAYE,0.0,0.0,**,16.6,58.2,165.8,155.3,313.1,207.6,10.5,0.8,0.0
DIDYR,0.0,0.0,0.0,11.8,73.2,117.6,186.3,196.1,101.0,13.1,0.0,0.0
DISSIN,13.2,0.0,7.6,75.3,81.6,220.7,165.3,282.6,155.5,51.0,17.9,0.0
DJIBO,0.0,0.0,0.0,0.0,65.7,55.6,140.0,79.6,104.3,24.5,0.0,0.0
DORI,8.7,0.0,0.0,0.0,12.2,41.0,108.0,137.7,121.9,5.2,0.0,0.0
FADA N'GOURMA,0.0,0.0,0.0,54.7,53.3,97.3,173.5,198.5,212.3,33.6,0.0,0.0
FARA,10.0,0.0,7.2,13.5,43.6,195.4,215.0,274.7,198.3,74.8,0.0,0.0
FARAKO-BA (AGR,19.6,0.0,25.1,88.0,46.7,288.9,120.6,316.9,171.5,51.3,43.1,1.8
GAO BF,30.7,0.0,5.0,6.9,84.0,117.5,197.0,244.8,257.2,13.6,0.0,0.0
GAOUA,0.3,0.0,36.1,60.8,122.4,111.7,116.3,285.0,179.6,159.5,37.3,0.0
GARANGO,6.1,0.0,2.4,16.3,116.0,105.3,143.6,187.2,179.0,27.0,0.0,0.0
GAYERI,0.0,0.0,0.0,40.0,105.7,61.9,127.5,210.2,165.4,10.5,7.2,0.0
GON-BOUSSOUGOU,1.0,0.0,5.2,47.7,112.8,97.6,85.3,150.1,133.9,32.2,7.9,0.0
GOURCY,0.0,0.0,0.0,0.0,48.5,99.0,305.7,287.7,109.2,57.3,0.0,**
GUILONGOU,1.5,0.0,0.0,18.7,48.4,65.5,239.4,185.7,173.6,12.2,0.0,0.0
KAMBOINCE,9.2,0.0,0.0,7.0,125.7,107.0,179.3,228.9,109.2,24.1,0.0,0.0
KANTCHARI,0.0,0.0,0.0,6.7,91.8,50.3,145.7,182.7,150.8,10.3,0.0,0.0
KASSOUM,2.3,0.0,0.0,0.0,20.8,82.1,237.0,184.6,100.8,48.2,8.2,0.0
