STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
BAMAKO SENOU,0.0,0.0,0.0,14.0,36.6,151.6,259.8,219.0,184.9,85.9,0.0,0.0
BAMAKO VILLE,0.0,6.1,0.0,57.9,7.3,142.9,196.5,273.7,198.7,134.0,15.7,0.0
BOUGOUNI,0.0,0.0,0.0,0.0,94.2,149.1,227.9,309.0,316.8,152.7,2.3,0.0
DIDIENI,0.0,0.0,0.0,0.0,24.8,56.3,186.5,202.9,185.3,27.2,0.0,0.0
DIOILA,0.0,0.0,0.0,0.0,13.8,120.8,179.0,311.7,197.3,41.4,6.0,0.0
KANGABA,**,**,**,14.5,25.9,199.1,287.2,171.6,227.2,86.1,**,**
KATI-HAUT,0.0,0.0,0.0,2.4,14.8,99.1,261.4,381.2,144.6,128.9,0.0,0.0
KATIBOUGOU,0.0,0.0,0.0,10.2,9.6,140.4,181.1,209.3,170.6,40.5,1.6,0.0
KAYES,0.0,0.0,0.0,0.0,0.0,7.6,167.6,287.1,150.7,60.3,0.3,0.0
KENIEBA,0.0,0.0,0.0,19.2,8.8,82.2,310.8,589.4,322.3,168.5,11.2,0.0
KITA,0.0,0.0,0.0,2.4,14.9,99.1,261.4,381.2,144.5,128.9,0.0,0.0
KOLONDIEBA,0.0,0.0,0.0,0.0,31.0,144.0,266.7,342.1,213.1,68.2,0.0,0.0
KOUTIALA,0.0,0.0,0.0,0.0,94.1,79.7,312.9,375.3,221.3,44.1,4.5,0.0
MAHINA,0.0,0.0,0.0,2.4,0.1,89.1,249.2,335.9,139.2,75.6,3.0,0.0
MOPTI,0.0,0.0,0.0,0.0,11.1,73.3,185.2,175.3,30.7,3.9,8.4,0.0
NARA,0.0,0.0,0.0,0.0,2.4,19.9,161.8,165.4,80.9,12.5,0.0,0.0
NIORO DU SAHEL,0.0,0.0,0.0,0.0,0.0,9.3,95.4,207.2,141.6,9.6,0.0,0.0
SAN,0.0,0.0,0.0,0.0,33.8,91.7,224.5,383.9,147.8,17.9,0.0,0.0
SEGOU,0.0,0.0,0.0,0.0,25.8,112.8,138.6,162.1,118.4,41.3,0.0,0.0
SEGUE,**,**,**,**,25.8,112.8,138.6,162.1,118.4,41.3,0.0,0.0
SELINGUE,0.0,0.0,6.5,5.5,55.4,131.9,232.3,181.9,220.1,202.8,0.0,0.0
SIKASSO,0.0,1.8,0.0,0.8,36.5,91.9,192.1,298.8,327.9,70.2,1.9,0.0
YELIMANE,0.0,0.0,0.0,1.0,0.5,25.5,123.8,332.9,136.3,24.6,0.0,0.0
