STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
BEREGADOUGOU,0.0,9.9,25.8,50.7,120.0,119.5,133.6,432.5,242.1,132.0,13.6,**
BOBO-DIOULASSO,0.0,0.3,55.8,54.4,30.2,188.3,232.3,237.5,374.1,142.7,5.6,**
BOGANDE,0.0,0.0,0.0,0.0,39.6,22.3,230.2,178.4,76.6,6.0,0.0,**
BOROMO,0.0,3.4,19.8,11.8,64.7,146.7,203.7,362.7,141.5,53.4,0.0,**
DEDOUGOU,0.0,2.0,6.1,1.9,52.1,154.1,188.3,270.6,75.6,77.5,0.0,**
DI-SOUROU,0.0,1.2,5.3,1.5,31.6,61.7,172.5,337.6,205.0,55.6,0.0,**
DORI,0.0,0.4,0.0,0.0,28.2,82.2,111.5,203.7,21.1,25.5,0.0,**
FADA N'GOURMA,0.0,11.9,0.0,1.4,87.2,26.7,170.6,209.3,128.7,68.1,0.0,**
GAOUA,0.0,89.3,102.0,50.6,87.6,74.1,180.7,343.7,347.8,116.2,10.4,**
NIANGOLOKO,0.0,22.7,54.8,74.1,95.2,154.1,228.0,373.0,222.7,149.8,15.6,**
OUAGADOUGOU AE,0.0,8.4,11.0,0.0,75.0,89.5,245.4,238.5,164.5,24.6,0.0,0.0
OUAHIGOUYA,0.0,1.2,0.0,0.1,35.9,83.7,157.9,383.6,149.1,67.4,0.0,**
PO,0.0,11.7,1.8,4.5,139.0,140.2,282.8,285.7,142.0,36.2,0.0,**
VALLEE DU KOU,0.0,0.0,0.0,21.4,84.1,139.3,252.0,357.9,306.1,81.7,9.5,**
