Nom,Lon,Lat,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
KOULIKORO,-7.37,12.97,-29997,-29997,-29997,50.10000001,102.9,329.5999999,210.5,230.9,37.8,-19998,-29997,-29997
BAMAKOV,-8.02,12.63,0,0.3,1.2,25.2,55.5,204.9,262.9,418.0000001,49.4,12.4,0,0
NIORO,-9.6,15.23,0,0,4.1,9,62.4,88.49999999,260.3,152.2,37.4,0,0,0
NARA,-7.28,15.17,0,0,0.2,6.1,14.8,98.10000001,174.3,148.1,11.7,0.8,0,0
YELIMANE,-10.57,15.12,0,0,2.600000001,0.5,30.3,53.89999999,236.9000001,104.9,13.1,0,0,0
DIEMA,-9.18,14.55,-29997,-29997,-29997,10,17,71,163,156,37,-19998,-29997,-29997
MOPTI,-4.1,14.52,0,0,13.1,11.6,141.2,35.4,276.3,327.2,35.50000001,-9974.9,0,0
KAYES,-11.43,14.43,0,0,0,1,45.2,112,222.3,255.1,31.1,-19998,0,0
NIONO,-5.98,14.25,0,0,5.4,0,17.2,161.3,197.8,146,28,-19993,-29997,-29997
KE-MACINA,-5.37,13.95,-29997,-29997,-29997,14,49,97.5,54,217,2,-19998,-29997,-29997
BAFOULABE,-10.83,13.8,-29997,-29997,-29997,3,78,147,380,141,-9986,-19998,-29997,-29997
KOLOKANI,-8.03,13.58,-29997,-29997,-29997,22.9,23.6,110.5,248,103,45,-19998,-29997,-29997
BANAMBA,-7.45,13.55,-29997,-29997,-29997,0,18,87.10000001,88.8,65.1,13.1,-19997.2,-29997,-29997
SEGOU,-6.15,13.4,0,0,8.5,23.3,64.3,290.8,208.2,243.9,54.7,2.6,0,0
SAN,-4.9,13.28,0,0,0.4,3,174.8,138.9,253.3,293,42.80000001,8.599999998,0,0
TOMINIAN,-4.6,13.28,-29997,-29997,-29997,19,126,49,165,210,55,-19989,-29997,-29997
KITA,-9.45,13.07,0,0,0,20.4,74.3,130.6,205.2,313.3,55.5,1.2,0,0
BAROUELI,-6.83,13.07,-29997,-29997,-29997,0,43,-9896,119.2,199.6,82,-19983,-29997,-29997
BLA,-5.77,12.95,-29997,-29997,-29997,11,37,184,169,396.5,26.5,-19991,-29997,-29997
KATIBOUGOU,-7.53,12.93,0.1,2.5,5.299999999,22.8,181.8,307.3,184,289.5,86.30000001,2,0,0
KENIEBA,-11.35,12.8,0,0,0,49.7,150.4,242.5,198.9,428.7,131.4,1.4,0,0
NTARLA ,-5.75,12.7,-29997,-29997,-29997,19,137,147,374,261,165,-19990,-29997,-29997
KATI-HAUT,-8.07,12.73,-29997,-29997,-29997,17,-9965.2,164.2,289.1,291.5,109.6,-19995,-29997,-29997
SOTUBA,-7.93,12.65,0,9.5,18,118.7,66.59999999,231.6,261,309.9,110,3,0,0
BAMAKO SENOU,-7.95,12.53,0,0,15.5,135,69.50000001,229.9,185.7,460.3,65.1,3.4,0,0
BAGUINEDA,-7.78,12.62,-29997,-29997,-29997,42,91,-9878,178,261,75,-19998,-29997,-29997
DIOILA,-6.8,12.48,0,0,1.5,70.50000001,113,202.7,259.5,337.1,72.6,1.7,0,0
KOUTIALA,-5.47,12.4,0,0,17,89.90000001,198.1,266.9,347.7,255.3,101.7,1.7,0,0
YOROSSO,-4.78,12.37,-29997,-29997,-29997,18,164,182,239,240,136,-19908,-29997,-29997
OUELESSEBOUGOU,-7.92,11.98,-29997,-29997,-29997,68.7,53.1,312.6000001,158.1,348.7,91.59999999,-19942,-29997,-29997
KANGABA,-8.42,11.93,0,3.100000001,0.8,92.60000001,122.4,276.7,165.7,387,141.4,-19992,-29997,-29997
BOUGOUNI,-7.5,11.42,0,18.9,8.6,67.00000001,158.3,360.3999999,321.1,320.3,83.9,19.5,0,0
SIKASSO,-5.68,11.35,13.3,3.1,32,98.49999997,132.9,212.2,205.5,360.9,182.3,19.1,0,0
YANFOLILA,-8.15,11.18,-29997,-29997,-29997,127,137,355,288,287,71,-19986,-29997,-29997
KOLONDIEBA,-6.9,11.1,3,0,15,87.60000001,126.3,250.1,192.4,310,76.30000001,21.2,0,0
KADIOLO,-5.77,10.55,-29997,-29997,-29997,52,15,161,261,212,129,-19998,-29997,-29997
MAHINA,-10.83,13.73,-19998,-29997,-29997,0,-19998,-9986,-19928,-29997,-29997,-29997,-29997,-29997
SELINGUE,-8.23,11.65,-29997,-29997,-29997,77.10000001,-19967.5,-29997,-29997,-29997,-29997,-29997,-29997,-29997
