Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
IRIBA,22.25,15.12,0,0,0,0,0,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MAO,15.32,14.12,-29997,-29997,-29997,-29997,-9979.9,19.7,150.4,10,-29997,-29997,-29997,-9999
BILTINE,20.92,14.52,0,0,0,2,-29997,-9980,63.6,-9998.5,-9999,0,-29997,-9999
AMZOER,21.37,14.22,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
NGOURI,15.38,13.63,-29997,-29997,-29997,-29997,-29997,-9928.3,-29997,-29997,-29997,-29997,-29997,-29997
ATI,18.32,13.22,-29997,-29997,-29997,-9999,5.7,-9969.5,-29997,-9924,-29997,-29997,-29997,-9999
DJEDAA,18.58,13.52,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
OUMHADJ,19.7,13.3,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
ABECHE,20.85,13.85,0,0,0,0,31.6,3.9,76.4,89.3,0,0,0,0
ADRE,22.2,13.47,0,0,0,3.5,12.5,62.2,196.9,106.2,0,0,0,0
NDJAMENA ,15.03,12.13,0,0,0,0.2,70.5,76.7,174.7,159.1,3.2,0,0,0
TOURBA,15.3,12.87,0,0,0,0,8,-19956,-29997,-29997,-29997,-29997,-29997,-29997
MASSAGUET,15.42,12.5,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
KOUNDOUL,15.15,11.98,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BOKORO,17.05,12.38,0,0,0,10.2,28.3,93.1,165.3,72.8,13.5,0,0,0
DADOUAR,18.45,12.13,0,-29997,-29997,-9999,88.9,119.7,257,193,24.7,0,0,-29997
MONGO,18.68,12.18,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BARO,18.97,12.2,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MANGALME,19.62,12.37,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
GOZBEIDA,21.42,12.23,0,0,0,5.6,52.7,79.7,181,92.3,38.1,-29997,-29997,-29997
AMDAM,20.48,12.77,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MANDALIA,15.25,11.73,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MASSENYA,16.17,11.4,0,0,0,1.7,56.8,155.1,228.3,233.2,81.2,0,0,0
MELFI,17.93,11.07,0,0,0,20,147.6,153.2,357.4,171.7,43.1,0,0,-29997
BITKINE,18.22,11.98,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
ABOUDEIA,19.28,11.48,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
AMTIM,20.28,11.03,0,0,0,11.1,148.4,81,175.7,124.5,10.2,0,0,0
BILLIAM,15.25,10.58,0,0,0,40.1,135.5,144.5,203.8,265.6,42.8,0,0,-29997
