Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
ABALA,3.43,14.95,0,0,0,1.5,25,27.3,56.8,261.3,15.8,0,0,0
ABALAK,6.25,15.47,0,0,0,19,0,5.5,35.9,69.7,52.5,0,0,0
ADERBISSINAT,7.85,15.62,0,0,0,11.7,0,0,66.8,132.7,1,0,0,0
ADJE KORIA,6.78,14.33,0,0,0,0,0,4.5,65.4,86.4,-9975.1,0,0,0
AGADEZ,7.98,16.97,0,0,0,2.6,0,4.3,55.7,135,2.5,0,0,0
AGUIE,7.77,13.50,0,0,0,14,0,24,118,237.5,55.2,0,0,0
AREWA(MADAOUA,5.8838,14.0506,0,0,0,0,0,14,95.5,253.5,-29997,0,0,0
ARLIT,7.33,18.50,0,0,0,2,0,0,0,26.5,7.8,-9999,0,0
ARZERORI(NOMA,5.92,14.15,0,0,0,25,6,35.7,109.7,321,18.5,-9999,0,0
ATCHIDA KOFATO,6.92,13.43,0,0,0,6.5,6,11.4,112.3,233.1,-19944.2,-19998,0,0
AYOROU,0.85,14.75,0,0,0,0,41,30,54.5,233.4,40.5,-9999,0,0
BADEGUICHIRI,5.37,14.52,0,0,0,0,0,35.5,86.6,188.9,20.8,-9999,0,0
BAGAROUA,3.30,14.12,0,0,0,28.7,0,0,61.5,183,39.9,-9999,0,0
BAKIN-BIRGI,8.78,14.27,0,0,0,11,0,1.2,62.2,151.6,-29997,-9999,0,0
BALLEYARA,2.97,13.77,0,0,0,66,8.3,92.9,64.6,182.6,45,-9995.5,0,0
BALLEYARA . A,2.97,13.77,0,0,0,55,8,70.9,54.4,191.6,47.4,-19998,0,0
BANDE HAOUSSA,8.88,13.18,0,0,0,7,0,91,181,164.5,35.5,-9968.5,0,0
BANGUI,6.10,13.72,0,0,0,23.5,32,11,98,171.3,-19950,-9999,0,0
BANIBANGOU,2.50,15.05,0,0,0,0,29,31.5,67.9,232.1,24.8,-9996.3,0,0
BANKILARE,0.72,14.57,0,0,0,0,26.5,23.4,99.9,225,34.4,-9995.2,0,0
BELBEDJI,8.07,14.65,0,0,0,0,1.8,43,107.8,247,44.5,-9999,0,0
BENGOU,3.57,11.98,0,0,0,9.8,81,92.6,-9920.7,-9895.2,-9948.6,-9999,0,0
BERMO,6.684167,14.674167,0,0,0,2,0,104.5,73.5,112.3,52.5,-9999,0,0
BEYLANDE,2.87,12.75,0,0,0,8,1.7,69.6,64,316,20.6,-9989.5,0,0
BILMA,12.92,18.68,0,0,0,5,0,0,1.6,0,0.4,-9999,0,0
BIRNI NGAOUR,2.90,13.08,0,0,0,7,4,93,135.8,272.8,77.6,-9997.7,0,0
BIRNI NKAZOE,10.00,14.18,0,0,0,0,0,-29997,63.2,-9819.5,-29997,-9999,0,0
BIRNI NKONNI,5.28,13.80,0,0,0,38.1,31.8,65.5,84.4,162.4,48,-9997.5,0,0
BONKOUKOU,3.07,14.00,0,0,0,26,14,0,100.3,-9858.3,16.7,-19998,0,0
BOSSO,13.32,13.72,0,0,0,0,0,0,13.2,136.1,5.9,-9999,0,0
BOUTTI,11.33,13.65,0,0,0,0,0,5.8,28.7,124.9,43.8,-9986.5,0,0
BOUZA,6.05,14.42,0,0,0,21.8,0,60.4,106.3,215,73,-9999,0,0
CHADAKORI,6.98,13.73,0,0,0,1,18,28.5,35.3,180.5,61.2,-9999,0,0
CHETIMARI,12.50,13.30,0,0,0,0,0,0,4.7,118.1,48.4,-9999,0,0
CHIKAL,3.43,14.42,0,0,0,0,0,0,84.8,-9886.4,-9999,-9999,0,0
DAIKAINA,1.48,14.18,0,0,0,0,23.3,37.5,79.3,263,10.8,-9999,0,0
DAKORO,6.75,14.52,0,0,0,1.5,10.5,38,100.2,195.6,20.8,-9999,0,0
DAMAGARAM-TAKAYA,9.47,14.17,0,0,0,0,0,42.8,120.7,-9864,14.7,-9999,0,0
DAMANA,3.067,13.900,0,0,0,22.8,0,83,-9923,272.8,6.5,-9999,0,0
DAN BARTO,8.33,13.17,0,0,0,0,21,33.9,41,184.8,38.6,-9999,0,0
DAN ISSA,7.25,13.17,0,0,0,0,0,0,161.2,265.6,61.2,-9999,0,0
DAN MEIRO,7.32,13.88,0,0,0,-19998,-29997,-9940,-19973,-19928,-19963,-9999,0,0
DAN TCHIAO,9.08,12.87,0,0,0,35.5,0,183,152,166,5.5,-9999,0,0
DANGONA,5.02,14.27,0,0,0,0,2.2,74.4,-9899.8,159.8,23.5,-9990,0,0
DANKOULOU,5.02,14.27,0,0,0,-9999,-29997,-9952,-9978,-19940,-9970.9,-19998,0,0
DANTCHANDOU,2.75,14.40,0,0,0,27.8,19,30,91,-9874,63,0,0,0
DARGOL,1.82,13.92,0,0,0,0,0,0,60,160.5,58.3,-9989,0,0
DEYTEGUI,3.17,13.42,0,0,0,-29997,-29997,-19986,90.3,-19959,-29997,-19998,0,0
DIFFA,12.62,13.42,0,0,0,0,0,22.4,82.6,155.8,30.4,0,0,0
DIOUNDIOU,3.53,12.55,0,0,0,52.7,17.5,122.9,167.9,316,43,-9944,0,0
DJIRATAWA,7.13,13.40,0,0,0,0,0,10,73.2,-9896,88.3,-9999,0,0
DODORI,8.23,13.30,0,0,0,11.5,6,20,104,-9723,49,-9999,0,0
DOGO,9.33,12.90,0,0,0,17.5,0,22,-29997,-29997,-19985.5,-19998,0,0
DOGONDOUTCHI,4.00,13.63,0,0,0,7,0,49.7,119.3,358.5,76,-9992,0,0
DOGONKIRIA,4.35,14.07,0,0,0,0,0,75,-19963,-9836.2,-19969.5,-19998,0,0
DOSSO,3.18,13.02,0,0,0,24.8,3.7,72.1,100.6,279.3,59.7,-9995.2,0,0
DOUKOU-DOUKOU,6.32,13.85,0,0,0,46.2,16,19.7,111.7,-9774,-19959.6,-19998,0,0
DUNGASS,9.33,13.07,0,0,0,0,0,104.2,239.2,230,24.3,-9995.5,0,0
FALMEY,2.85,12.53,0,0,0,48.8,16,129,110.5,310.5,125.8,-9974,0,0
FALOUEL,3.58,13.52,0,0,0,0,0,59,59.3,284,0,-9999,0,0
FAMALE,1.07,14.55,0,0,0,-19998,-19996,-19982,-19960.8,219.2,-19978.5,-19998,0,0
FANDOU MAYAKI,2.88,13.85,0,0,0,28,21,106.7,103,-9871.2,-29997,-9995.5,0,0
FILINGUE,3.32,14.35,0,0,0,46,11,0,77.5,276.2,45.3,-9988,0,0
GABAOURI,6.12,15.03,0,0,0,0,0,26.5,78.5,257.8,11.4,-9999,0,0
GABI MAYAKI,7.05,13.23,0,0,0,0,4,32,160,-9943,66.5,-9999,0,0
GALMA.SEDENT.,5.8,14.08,0,0,0,8,11,0,-19975,-19917.4,-19998,-9999,0,0
GARHANGA,5.77,14.55,0,0,0,0,0,119,37,-19945,28.5,-9999,0,0
GAYA,3.45,11.88,0,0,0,48.9,41,134.2,138.9,220.7,101.1,-9964.6,0,0
GAYA.AGRI,3.45,11.88,0,0,0,39.4,42.5,-9959.5,81.7,-19956,75.8,-9957.7,0,0
GAZAOUA,7.92,13.85,0,0,0,9.3,3.5,7.3,212.3,271.2,48.5,-9999,0,0
GOTHEYE,1.58,13.82,0,0,0,12,0,142.5,62.2,244.1,17.2,-9989.5,0,0
GOUDOUMARIA,11.17,13.72,0,0,0,0,0,28.3,15.3,225,13.4,-9979.5,0,0
GOULA,7.23,14.65,0,0,0,10.7,5,35.5,64.8,-9915.5,-19986.5,-19998,0,0
GOURE (PTT),10.30,13.98,0,0,0,5.7,1.1,54.9,83.9,201.4,39.1,-9995.6,0,0
GUECHEME,3.88,12.92,0,0,0,21,0,38,9,-29997,0,-9999,0,0
GUESKEROU,12.85,13.60,0,0,0,0,0,0,24,121.3,67,-9999,0,0
GUIDAM ROUMDJI,6.77,13.67,0,0,0,7.3,13,28.5,80.2,246.2,34.2,-9999,0,0
GUIDIGUIR,9.83,13.67,0,0,0,0,0,13.5,104.5,137,3,-9967.5,0,0
GUIDIMOUNI,9.55,13.68,0,0,0,0,0,5,-9917,95,30,-9999,0,0
HAMDALLAYE,2.40,13.55,0,0,0,21,-29997,56,-9981,380.8,-29997,-9999,0,0
IFEROUANE,8.38,19.08,0,0,0,19.3,0,0,49.8,43.1,0,-9999,0,0
ILLELA,5.25,14.47,0,0,0,0,5,76,72.5,269,77,-9995.5,0,0
IN GALL,6.90,16.78,0,0,0,0,0,39.5,36.5,156,34,-9999,0,0
ISSAWAN,8.45,13.53,0,0,0,-29997,-19995.5,-9986,-19981.8,180.4,-29997,-19998,0,0
KABELAWA,5.67,14.47,0,0,0,0,0,0,-9975,-19879.5,-29997,-19998,0,0
KALA-PATE (IRAT),2.93,13.23,0,0,0,0,0,83,124,231,-29997,-19998,0,0
KANEMBAKATCHE,7.92,13.52,0,0,0,14.5,38,0,-19992.2,188.6,-19998,-9999,0,0
KANTCHE,6.15,14.30,0,0,0,0,0,6,-9954.5,-9944.9,46,-9999,0,0
KARA - KARA,3.63,12.80,0,0,0,83.8,13,79.7,112.2,232.3,25,-9985,0,0
KARMA,1.82,13.67,0,0,0,-29997,-29997,-9960,-19982,-19923,-19967,-19998,0,0
KAROUFANE,6.150,14.300,0,0,0,28,1.5,43,85,216,25,-9999,0,0
KEITA,5.77,14.77,0,0,0,7,13.7,44.6,120,154.8,10.2,-9979,0,0
KILAKAM,11.73,13.55,0,0,0,0,0,13.2,44,194,-19947.5,-19998,0,0
KODJIMERI,11.10,13.42,0,0,0,0,0,18.5,39.4,91,-19995.4,-9997.4,0,0
KOLO,2.35,13.30,0,0,0,0,0,32.9,119.9,300.9,11.6,-9998,0,0
KONA,8.07,13.57,0,0,0,5.5,16,12.5,158.3,-9753,83,-9999,0,0
KORE MAIROUA,3.95,13.33,0,0,0,0,10,70.5,32,-19947,0,-9999,0,0
KORNAKA,6.90,14.10,0,0,0,0,0,18.5,86,137.5,-9978.4,-19998,0,0
KOYGOLO,3.017,13.483,0,0,0,52,0,68,108,249,11,-9995.5,0,0
LOGA,3.23,13.60,0,0,0,0,0,84.8,97.8,217.4,14.2,-9999,0,0
MADAOUA,5.98,14.12,0,0,0,22.8,12.7,40.7,84.5,248.8,51.9,-9999,0,0
MADAROUNFA,7.15,13.32,0,0,0,37,2.3,23.8,104.9,248.8,65.7,-9999,0,0
MAGARIA,8.93,12.98,0,0,0,33.2,3.5,98.1,130.6,224,89.9,-9993.8,0,0
MAINE SOROA,11.98,13.23,0,0,0,0,0.3,15.5,182.7,181.7,61,-9985,0,0
MAKALONDI .AG,1.68,12.82,0,0,0,0,0,22.4,121.4,-19925.2,-29997,-19998,0,0
MAKOURDI,4.25,14.40,0,0,0,0,13,60,42.5,204.5,-29997,-9999,0,0
MALBAZA,5.50,13.97,0,0,0,19.9,14,108.9,80.5,161.4,115.3,-9999,0,0
MALLAOUA,9.60,13.02,0,0,0,0,0,0,-29997,-9877.4,16.7,-9999,0,0
MARADI AERO,7.08,13.47,0,0,0,18.3,13,24.1,98,281.8,104.8,-9999,0,0
MARAKA,7.07,13.08,0,0,0,0,0,0,203.9,354.2,15.7,-9999,0,0
MATAMAYE,8.47,13.42,0,0,0,0,0,27.6,61.6,268.8,32.3,-9996,0,0
MATANKARI,3.73,12.90,0,0,0,0,0,0,149.2,-9886.8,-9961,-9999,0,0
MAYAHI,7.70,13.98,0,0,0,3.5,6.7,37.5,62.9,217.9,44.9,-9999,0,0
MYRRIAH,9.15,13.72,0,0,0,20.5,0,47.6,180.1,247.9,38.7,-9999,0,0
NGOURTI,13.20,15.30,0,0,0,0,0,0,24,87.3,7.1,-9999,0,0
NGUIGMI,13.12,14.25,0,0,0,0,0,0.5,14.2,139.6,54.4,-9998.3,0,0
NIAMEY AERO,2.17,13.48,0,0,0,56.4,4.5,50.5,89.1,302.2,24.5,-9991.8,0,0
NIAMEY VILLE,2.13,13.50,0,0,0,28,9.2,41.3,82.5,260.1,43.7,-9998.8,0,0
OLLELEOUA,8.63,14.35,0,0,0,0,0,25,173,172,17,-9999,0,0
OUALLAM,2.08,14.32,0,0,0,0,15.5,25,24.7,255,33.2,-9999,0,0
OUNA,3.15,12.17,0,0,0,0,0,93.2,156.1,204,92,-9885.5,0,0
OURAFANE,8.13,14.02,0,0,0,4.5,27,10.2,-9972.6,190.3,16.5,-9999,0,0
OURNO,6.45,14.3,0,0,0,-9954,-29997,-9981.5,33.6,-9915.3,-19987,-19998,0,0
