Nom,Lon,Lat,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
KOULIKORO,-7.37,12.97,0,0,0,67.2,77.09999999,331.3,-19940.2,-29997,-29997,-29997,-29997,-29997
BAMAKOV,-8.02,12.63,0,0,0,120.9,125.3,306.4000001,271.5,254.9,67,13.3,-19998,0
NIORO,-9.6,15.23,0,0,0,0,38,101.9,274.6,198.8,74.3,0,0,0
NARA,-7.28,15.17,0,0,0,2.8,47.49999999,193.6,111.8,95.80000001,55.90000001,0,0,0
YELIMANE,-10.57,15.12,0,0,0,9,48.3,166.9,215.8,197.6,34.3,0,0,19998
DIEMA,-9.18,14.55,0,0,0,33.5,53.5,236.1,-19942,-29997,-29997,-29997,-29997,-29997
MOPTI,-4.1,14.52,0,0,0,9.100000001,89.29999999,172.3,288.4,112.7,6.600000001,0,0,0
KAYES,-11.43,14.43,0,0,0,12.9,59.90000001,175.6,307,297.3,36.1,0,-19998,0
NIONO,-5.98,14.25,-19998,-29997,-29997,15,70,189.5,194.4,173.4,20,0,0,0
KE-MACINA,-5.37,13.95,0,0,0,6,47.9,197.6,-19966.7,-29997,-29997,-29997,-29997,-29997
BAFOULABE,-10.83,13.8,0,0,0,15.9,55.8,291.4,-19963.6,-29997,-29997,-29997,-29997,-29997
KOLOKANI,-8.03,13.58,0,0,0,53.3,75.5,253.2,-19915,-29997,-29997,-29997,-29997,-29997
BANAMBA,-7.45,13.55,0,0,0,83.2,26.2,207.6,-19992.2,-29997,-29997,-29997,-29997,-29997
SEGOU,-6.15,13.4,0,0,0,61.60000002,106.9,184.3,182.4,229.5,12.7,0,0,0
SAN,-4.9,13.28,0,0,0,54.4,157.6,195.5,335.4999999,255.2,27.5,1,0,0
TOMINIAN,-4.6,13.28,0,0,0,95.5,164,201.1,-19905.5,-29997,-29997,-29997,-29997,-29997
KITA,-9.45,13.07,0,0,0,20.6,84.5,246.9,315.1,233.5,100.8,12.7,0,0
BAROUELI,-6.83,13.07,0,0,0,42.6,57.9,260.1,-19993.5,-29997,-29997,-29997,-29997,-29997
BLA,-5.77,12.95,0,0,0,29,173,195.5,-19948,-29997,-29997,-29997,-29997,-29997
KATIBOUGOU,-7.53,12.93,0,0,0,55.8,123.8,279.8,219,255.8,20022.2,9999,-29997,-29997
KENIEBA,-11.35,12.8,0,0,0,49.90000001,59.4,291,278.8999999,390.9,231.5,76.10000001,0,0
NTARLA ,-5.75,12.7,-29997,-29997,-29997,57,133,160,-19976,-29997,-29997,-29997,-29997,-29997
KATI-HAUT,-8.07,12.73,0,0,0,110.1,124.1,214,-19896.8,-29997,-29997,-29997,-29997,-29997
SOTUBA,-7.93,12.65,0,0,0,75.19999999,64.9,290.3,252.3,321.2999999,36,12,0,0
BAMAKO SENOU,-7.95,12.53,0,0,0,27.2,176.9,294.3,364.9,122.3,37.4,6.199999999,0,0
BAGUINEDA,-7.78,12.62,0,0,0,155,49,263,-19977,-29997,-29997,-29997,-29997,-29997
DIOILA,-6.8,12.48,0,0,0,61.59999999,146.7,241,417.2,144.9,33.1,2.2,0,0
KOUTIALA,-5.47,12.4,0,0,37.2,75.30000001,127.6,153.4,279.4,287.2,72.29999998,6.3,0,0
YOROSSO,-4.78,12.37,0,0,0,55,94,191,-19925,-29997,-29997,-29997,-29997,-29997
OUELESSEBOUGOU,-7.92,11.98,-29997,-29997,-29997,93.5,115.6,221.2,-19958.2,-29997,-29997,-29997,-29997,-29997
KANGABA,-8.42,11.93,0,0,0,51.00000001,189.5,399.7000001,228.5,272.1,99.69999999,15.6,0,0
BOUGOUNI,-7.5,11.42,0,0,0,97.99999999,173.3,331.7,250.5,287,48.10000001,25.2,0,0
SIKASSO,-5.68,11.35,0,0,0,39.8,124.3,225.5,415.8,242.5,72.4,58.7,0,0
YANFOLILA,-8.15,11.18,-29997,-29997,-29997,58,153,223,-19959,-29997,-29997,-29997,-29997,-29997
KOLONDIEBA,-6.9,11.1,0,0,0,36,166.2,292.7000001,-19959.4,-29997,-29997,-29997,-29997,-29997
KADIOLO,-5.77,10.55,0,0,0,37,99,310,-19982,-29997,-29997,-29997,-29997,-29997
MAHINA,-10.83,13.73,0,0,0.3,20.9,128.1,276.2,315.3000001,216.9,124,36.59999999,0,-19998
SELINGUE,-8.23,11.65,-29997,-29997,-29997,82,202.9,229.7,-19959,-29997,-29997,-29997,-29997,-29997
