Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
ABALA,3.43,14.95,0,0,0,0,4.2,35,49.2,100,48.9,0,0,0
ABALAK,6.25,15.47,0,0,0,0,4.5,40.5,75,119.9,59.6,26.6,0,0
ADERBISSINAT,7.85,15.62,0,0,0,0,29.5,24.4,84.9,54.1,7.6,1.1,0,0
ADJE KORIA,6.78,14.33,0,0,0,0,0,60.4,141,58.3,53.7,0,0,0
AGADEZ,7.98,16.97,0,0,0,0,35.8,11.1,25.1,59.6,20.7,0,0,0
AGUIE,7.77,13.50,0,0,0,0,8.4,115.3,129.5,159.5,133.7,14.5,0,0
AKOKAN,1.58,13.92,0,0,0,0,8.9,4.9,0,27,7.5,0,0,0
AREWA(MADAOUA,5.8838,14.0506,0,0,0,0,7,135.5,212,221,76.6,0,0,0
ARLIT,7.33,18.50,0,0,0,0,9.8,7,0,11.8,10,0,0,0
ARZERORI(NOMA,5.92,14.15,0,0,0,0,10,112,167,54,8,0,0,0
ATCHIDA KOFATO,6.92,13.43,0,0,0,0,0,108.8,142.7,104.3,103.6,0,0,0
AYOROU,0.85,14.75,0,0,0,0,12,75.1,121.8,81.5,47,24,0,0
BADEGUICHIRI,5.37,14.52,0,0,0,0,29.6,-9923.7,-9921.5,-9925.8,-29997,-19998,0,0
BAGAROUA,3.30,14.12,0,0,0,0,21.3,86.4,120.9,104.2,69.2,0,0,0
BAGGA,5.33,14.67,0,0,0,0,0,50.9,187.3,144.4,113.7,6.3,0,0
BALLEYARA,2.97,13.77,0,0,0,23,60,69.1,161,155.5,97.5,0,0,0
BAMBEYE,5.08,14.72,0,0,0,0,37.7,43.5,163.8,127.5,58.5,0,0,0
BANGUI,6.10,13.72,0,0,0,0,8.5,77.9,156.7,247.6,130,0,0,0
BANIBANGOU,2.50,15.05,0,0,0,0,17.5,12,28.6,121.4,42.7,18,0,0
BANKILARE,0.72,14.57,0,0,0,0,18,59.3,71.9,95.4,39.4,9.3,0,0
BELBEDJI,8.07,14.65,0,0,0,0,0,33.7,68.7,95.5,70,14.5,0,0
BENGOU,3.57,11.98,0,0,0,18.9,97.8,126.8,187.8,135.9,210.4,33,0,0
BERMO,6.684167,14.674167,0,0,0,0,5.5,17.5,142.8,116.8,-29997,0,0,0
BEYLANDE,2.87,12.75,0,0,0,0,45.3,127.5,240.9,138.9,60.3,35,0,0
BILMA,12.92,18.68,0,0,0,0.5,0,3.2,1,5.2,0,0,0,0
BIRNI NGAOUR,2.90,13.08,0,0,0,0,57,128.5,178.5,92.3,47,41,0,0
BIRNI NKONNI,5.28,13.80,0,0,0,3,42.9,121.2,167.5,116.4,127.4,0,0,0
BONKOUKOU,3.07,14.00,0,0,0,0,38.2,53,113.2,149.6,34.6,52.6,0,0
BOSSO,13.32,13.72,0,0,0,0,19.9,48.7,55.7,220.2,26.5,0,0,0
BOUTTI,11.33,13.65,0,0,0,0,0,14.8,104.3,143.8,17,0,0,0
BOUZA,6.05,14.42,0,0,0,0,11.5,107.8,133.2,118,41,2,0,0
CHADAKORI,6.98,13.73,0,0,0,0,2,85,78.2,197.9,144.2,0,0,0
CHETIMARI,12.50,13.30,0,0,0,0,2.9,106.8,36.1,128.2,32.8,5.8,0,0
CHIKAL,3.43,14.42,0,0,0,0,12.5,47.4,114.6,125.3,43.4,0,0,0
DAIKAINA,1.48,14.18,0,0,0,-99,-93.1,-29997,145.5,215.7,32.5,-19998,0,0
DAKORO,6.75,14.52,0,0,0,0,4.5,46.8,124,150,97.5,11,0,0
DAMAGARAM-TAKAYA,9.47,14.17,0,0,0,0,0.8,72.3,120.5,138,44.6,20.5,0,0
DAMANA,3.067,13.900,0,0,0,28,43.3,66.9,150.2,106.2,40.3,14,0,0
DAN BARTO,8.33,13.17,0,0,0,0,0,140,183.2,197.7,105.8,-9999,0,0
DAN ISSA,7.25,13.17,0,0,0,0,17,41.7,147.8,143.1,171.1,19.1,0,0
DAN MEIRO,7.32,13.88,0,0,0,0,0,-297,147.7,121.5,46.2,0,0,0
DANGONA,5.02,14.27,0,0,0,0,3.8,84.3,225.9,91.3,91.2,0.9,0,0
DANTCHANDOU,2.75,14.40,0,0,0,2.4,45,108,188.9,74.5,100.5,0,0,0
DARGOL,1.82,13.92,0,0,0,1.6,12.1,104.7,136.6,269.2,37,11.8,0,0
DEYTEGUI,3.17,13.42,0,0,0,0,48,71,195,108.5,15,9,0,0
DIFFA,12.62,13.42,0,0,0,0,8.1,78.3,59.1,134.8,32.2,0,0,0
DIOUNDIOU,3.53,12.55,0,0,0,0,49.9,119.1,260.1,183,94.3,53.7,0,0
DODORI,8.23,13.30,0,0,0,-9999,-29997,-29997,209,139,-29997,0,0,0
DOGO,9.33,12.90,0,0,0,0,110.6,114,54.1,192.6,54.4,1.7,0,0
DOGONDOUTCHI,4.00,13.63,0,0,0,0,28.6,97.3,106.8,100.6,49.9,4.5,0,0
DOGONKIRIA,4.35,14.07,0,0,0,0,76.4,111.2,152.7,68.1,68.3,0,0,0
DOLBEL,0.28,14.68,0,0,5.3,0,31,165.1,90.8,101.4,87.5,22.9,0,0
DOSSO,3.18,13.02,0,0,0,0,96,125.8,218.5,159.2,43,34.6,0,0
DOUKOU-DOUKOU,6.32,13.85,0,0,0,0,0,105,244.4,239.1,-297,0,0,0
DUNGASS,9.33,13.07,0,0,0,1.6,48.8,127.8,165.5,163.1,103.9,10.9,0,0
FALMEY,2.85,12.53,0,0,4.5,0,46.5,142.5,300.5,210.5,126,9.5,0,0
FALOUEL,3.58,13.52,0,0,0,0,26.3,81,172.9,120.6,-297,0,0,0
FAMALE,1.07,14.55,0,0,0,0,12,87.6,104.3,-17.5,9.5,0,0,0
FANDOU MAYAKI,2.88,13.85,0,0,0,0,0,104.2,184.5,173.8,67.2,0,0,0
FILINGUE,3.32,14.35,0,0,0,0,59,77.5,141.4,92,49.4,0,0,0
GALMA.SEDENT.,5.8,14.08,0,0,0,0,-19978.6,-29997,-29997,-9924,-29997,-9999,0,0
GALMI,5.5,13.97,0,0,0,7,42.5,75.5,215.9,240.2,65,0,0,0
GARAGOUMSA,8.382098198,13.6739042,0,0,0,0,-19998,-29997,-9861,-9882.9,-19987.4,-9999,0,0
GARHANGA,5.77,14.55,0,0,0,0,29,73.2,266,-10197,64.5,0,0,0
GAYA,3.45,11.88,0,0,0,12.7,49.8,126.2,143,222.1,195,20.9,0,0
GAZAOUA,7.92,13.85,0,0,0,6.5,4.5,55.3,111.3,106.3,86.6,0,0,0
GOTHEYE,1.58,13.82,0,0,0,0,43.7,71.4,169.2,181.5,87.5,18.5,0,0
GOUBE,2.070556,13.867778,0,0,0,0,23,64,122.3,192.4,16.7,45.2,0,0
GOUDOUMARIA,11.17,13.72,0,0,0,0,3.7,38.2,138.7,215.8,12,0,0,0
GOULA,7.23,14.65,0,0,0,0,5.8,49.3,152.9,133,-72.5,0,0,0
GOURE (PTT),10.30,13.98,0,0,0,0,0,156.2,74.1,204.7,67.2,1.6,0,0
GUECHEME,3.88,12.92,0,0,0,0,28,166,238.8,242.6,52,0,0,0
GUESKEROU,12.85,13.60,0,0,0,0,2.2,51.5,36,177.5,-297,0,0,0
GUIDAM ROUMDJI,6.77,13.67,0,0,0,0,4.6,93.1,102.6,121.6,89.3,8.2,0,0
GUIDAN IDDER,5.32,14.02,0,0,0,0,8.9,191.4,161.4,181.9,83,2.3,0,0
GUIDIGUIR,9.83,13.67,0,0,0,0,12.3,35.2,72.6,136.1,-29997,0,0,0
GUIDIMOUNI,9.55,13.68,0,0,0,0,109,94.2,160.7,34.1,25,12.6,0,0
HAMDALLAYE,2.40,13.55,0,0,0,0,17,112,68.7,38.2,21.2,0,0,0
IBECETANE,5.85,15.25,0,0,0,0,5.7,3.9,-9900.8,-71.6,24,0,0,0
IFEROUANE,8.38,19.08,0,0,0,0,2.8,20,11.5,6,3.2,0,0,0
ILLELA,5.25,14.47,0,0,0,0,45,84.5,124.5,101.3,71.6,0,0,0
IN GALL,6.90,16.78,0,0,0,0,32.7,15,105.1,126.3,48,4.4,0,0
KALA-PATE (IRAT),2.93,13.23,0,0,0,0,82,209.3,158,148.5,74.2,25.5,0,0
KANEMBAKATCHE,7.92,13.52,0,0,0,0,18,62,77.7,134,43.2,10,0,0
KANTCHE,6.15,14.30,0,0,0,1.2,19.9,128.7,111.7,170.6,73.1,0,0,0
KAO,5.75,15.23,0,0,0,0,0,44.1,78.9,76.1,47,30,0,0
KARMA,1.82,13.67,0,0,0,0,60,58.5,159.3,-29997,92.5,26.5,0,0
KAROUFANE,6.150,14.300,0,0,0,0,7.2,104.2,155.5,106.2,-171,0,0,0
KEITA,5.77,14.77,0,0,0,0,19.3,32.1,132.5,112.5,43.5,0,0,0
KOLO,2.35,13.30,0,0,0,0,0,77.4,167.3,124.8,65.3,30.4,0,0
KONA,8.07,13.57,0,0,0,0,0,85.5,98.1,124,71.4,0,0,0
KORE MAIROUA,3.95,13.33,0,0,0,0,3.5,98.5,362.4,115.4,111,0,0,0
KORNAKA,6.90,14.10,0,0,0,0,0,73.7,74.6,105.1,100.6,0,0,0
KOUKA,4.33,11.90,0,0,0,0,1.4,44.6,165.8,116,73.4,0,0,0
KOYGOLO,3.017,13.483,0,0,0,0,75.3,49.6,132.7,67,25.5,3,0,0
LABA(PLATEAU),5.94,14.6224,0,0,0,0,44.8,28.4,208.4,97.5,41.5,0,0,0
LIDO,3.733,12.900,0,0,0,0,16.2,148.4,201,267,59.8,51.4,0,0
LOGA,3.23,13.60,0,0,0,0,62.7,76.9,156.7,219.2,78.1,18.6,0,0
MADAOUA,5.98,14.12,0,0,0,0,1.5,70.9,163,247.6,47.5,0,0,0
MADAROUNFA,7.15,13.32,0,0,0,0,3.8,98.1,129.5,157,112.6,16.2,0,0
MAGARIA,8.93,12.98,0,0,0,1.6,32.3,159.2,188.2,118.9,106,4.4,0,0
MAGARIA(MADAOUA),5.786381,14.02311,0,0,0,0,-9999,68.8,-9819.4,-9902.7,-29997,0,0,0
MAINE SOROA,11.98,13.23,0,0,0,0,12.4,103.6,74,233,35.3,0,0,0
MAKALONDI .AG,1.68,12.82,0,0,0,12,52.5,99.2,211.5,203.8,51.8,7.1,0,0
MAKOURDI,4.25,14.40,0,0,0,0,4,98,104,98.5,-29997,0,0,0
MALBAZA,5.50,13.97,0,0,0,0,62.4,149.7,176.2,196.9,69.7,0,0,0
MALLAOUA,9.60,13.02,0,0,0,0,8.6,58.1,170.4,138.2,85.8,0,0,0
MARADI AERO,7.08,13.47,0,0,0,0,7.8,118.6,134.6,147.3,136.4,13.8,0,0
MARADI VILLE,7.08,13.47,0,0,0,0,3.6,111,110.2,133.5,151.1,26.6,0,0
MARAKA,7.07,13.08,0,0,0,0,31.1,36.8,168,156.9,176.6,35.3,0,0
MATAMAYE,8.47,13.42,0,0,0,3.5,17.7,83.4,114.6,213,75.9,1.3,0,0
MATANKARI,3.73,12.90,0,0,0,0,5,112,178.5,69.9,54.2,1,0,0
MAYAHI,7.70,13.98,0,0,0,0,18,70.6,122.6,101.6,43.2,10,0,0
MEHANA,1.13,14.40,0,0,0,0,12.5,75,102.9,89.8,13.5,0,0,0
MYRRIAH,9.15,13.72,0,0,0,0,33.4,105.2,88.4,147.7,27.1,4.5,0,0
NGOURTI,13.20,15.30,0,0,0,0,0,1.4,2.7,42.3,2.5,0,0,0
NGUIGMI,13.12,14.25,0,0,0,0,5.7,42.2,24.9,114.6,43.6,7.6,0,0
NIAMEY AERO,2.17,13.48,0,0,0,0,29.7,154.9,185.4,154.4,83.2,38.2,0,0
NIAMEY AGRHYMET,2.13,13.47,0,0,0,5.5,32.4,184.1,207.8,194.7,124.5,21.6,0,0
NIAMEY VILLE,2.13,13.50,0,0,0,7,40.3,190.7,193,203.6,132.2,23,0,0
OUALLAM,2.08,14.32,0,0,0,0,0,101.7,111.7,156.2,42.5,19.5,0,0
OUNA,3.15,12.17,0,0,0,6.3,84,167.7,182.1,158,172.2,27.2,0,0
OURAFANE,8.13,14.02,0,0,0,0,3.9,72.7,186.2,94.1,54.1,0,0,0
OURNO,6.45,14.3,0,0,0,0,9,64.5,134,102.7,81.5,0,0,0
SABON BIRNI,3.58,11.90,0,0,0,0,15.5,56.7,147.3,323.6,-29997,0,0,0
SABON GUIDA,5.9,13.93,0,0,0,0,15,94,142.5,166.5,58.5,0,0,0
SABONKAFI,8.73,14.63,0,0,0,0,5.2,54,105.5,118.9,25.4,0,0,0
SAE SABOUA,7.35,13.57,0,0,0,0,4.1,158.9,189.2,100.3,46.7,0,0,0
SAFO,7.12,13.40,0,0,0,0,0,81.1,134.1,229.1,-29997,0,0,0
SANAM,3.92,14.67,0,0,0,0,7.3,33,71,67.5,30,0,0,0
SANSANE HAOUSSA,1.60,13.83,0,0,0,1.3,44.4,84.5,131.1,217.2,99,14,0,0
SAOUNI,8.45,13.35,0,0,0,3,17.5,80.5,190.8,156,154.5,0,0,0
SAY,2.35,13.10,0,0,0,2.5,63.3,88.7,295.3,106.5,111.7,37,0,0
SERKIN YAMMA,6.92,13.37,0,0,0,0,2.9,92.6,129.8,215.8,70.6,0,0,0
SIA,3.28,12.10,0,0,0,0,8.2,180.4,160.8,232.6,155.5,31.7,0,0
SIMIRI,2.13,14.13,0,0,0,0.8,9.8,92.5,117.8,112.2,-29997,0,0,0
SOKORBE,3.173611,13.508056,0,0,0,0,37.2,70.1,153.3,124.1,18.3,19.5,0,0
SOLI,7.52,14.70,0,0,0,0,0,72.9,139.1,203.1,65.2,0,0,0
SOULOULOU,6.42,13.60,0,0,0,0,-9999,111.8,-9878.3,-9925.6,-19965.8,0,0,0
TABELOT,8.93,17.42,0,0,0,0,0,6.1,38.4,27.6,0,0,0,0
TABOTAKI,5.18,13.5,0,0,0,0,29.5,56.8,160.9,178,35.8,0,0,0
TAHOUA,5.30,14.90,0,0,0,0,24.5,46.8,143.8,173.6,26.5,24.1,0,0
TAKIETA,8.52,13.67,0,0,0,0,20,85.1,142.2,221.8,43.5,15.2,0,0
TAKORKA(MADAO,6.15,13.87,0,0,0,0,-29997,-19942.5,-45.8,-29997,-19926.5,0,0,0
TAMASKE,5.65,14.82,0,0,0,0,18.1,60,130.4,108.1,50.7,16,0,0
TANOUT,8.82,14.95,0,0,0,0,44.7,21,76.2,76.8,24.3,1.4,0,0
TAPOA,2.40,12.47,0,0,0,3,44,204.9,176.2,-297,91.5,0,0,0
TASSARA,5.70,16.87,0,0,0,0,6.4,22.4,83.4,105.9,20.5,9,0,0
TCHADAOUA,7.45,13.55,0,0,0,0,10.5,109.5,170.5,122.3,61.3,0,0,0
TCHINTABARADEN,5.80,15.88,0,0,0,0,61.6,56.7,60.8,65.7,46.9,5.3,0,0
TEBARAM,4.45,14.82,0,0,0,0,9.7,57.2,95.4,90.5,-29997,0,0,0
TERA,0.82,14.03,0,0,0,14.3,21.5,53.1,120.2,258.8,16.2,5.1,0,0
TESKER,10.72,15.13,0,0,0,0,11,27.3,76.1,113.1,6.7,2,0,0
TESSA,3.40,12.77,0,-9999,0,0,37.8,101.2,234.5,209.5,42,20.5,0,0
TESSAOUA,7.98,13.75,0,0,0,0,75,132.8,126.5,220.8,61.5,5.2,0,0
TESSAOUA(GEND,7.98,13.75,0,0,0,0,69.1,118.2,126.5,220.9,61.2,5.2,0,0
TIBIRI (DOUTCHI),4.00,13.10,0,0,0,0,0.7,148.7,260.1,156.3,133.6,0,0,0
TIBIRI MARADI,7.03,13.58,0,0,0,0,67,81.5,60,186,125,13,0,0
TILEMSES,4.75,15.60,0,0,0,0,0,12,56.6,57.4,94.6,5,0,0
