STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
ABECHE,0.0,0.0,0.0,0.0,7.8,6.0,134.5,34.6,61.2,47.0,0.0,0.0
AM TIMAN CT,0.0,0.0,9.0,1.1,69.8,96.1,190.6,222.9,170.1,0.0,0.0,0.0
AM-TIMAN,0.0,0.0,0.0,0.0,78.5,93.4,215.4,260.9,149.4,0.0,0.0,0.0
BAIBOKOUM,0.0,0.0,0.0,81.5,71.0,315.5,347.3,148.0,285.0,70.8,0.0,0.0
BANDA SONASUT,0.0,0.0,0.0,20.5,151.3,150.8,375.7,174.3,184.3,42.5,0.0,0.0
BEBEDJIA,0.0,0.0,0.7,17.4,143.8,91.9,278.4,228.4,209.1,82.0,0.0,0.0
BEBORO,0.0,0.0,10.0,21.3,92.5,145.5,233.1,44.4,119.6,77.2,0.0,0.0
BEDJONDO,0.0,0.0,0.0,0.0,128.5,52.9,161.5,272.2,151.0,67.0,0.0,0.0
BEKAMBA,0.0,0.0,0.0,0.0,24.4,31.4,169.1,208.9,158.7,8.0,0.0,0.0
BEKOUROU,0.0,0.0,28.7,45.3,132.8,180.0,460.6,305.4,69.4,24.0,0.0,0.0
BENOYE ONDR,0.0,0.0,0.0,10.0,99.5,100.0,325.0,323.3,264.0,72.8,0.0,0.0
BESSADA,0.0,0.0,0.0,21.0,94.8,89.2,100.8,250.3,292.4,39.5,0.0,0.0
BOKORO,0.0,0.0,0.0,0.0,8.0,51.2,216.2,242.9,76.5,13.5,0.0,0.0
BOL BERIM,0.0,0.0,**,**,**,1.9,127.2,45.1,119.0,0.0,0.0,0.0
BOL-MATAFO,0.0,0.0,0.0,0.0,0.0,0.0,176.0,46.5,101.5,0.0,0.0,0.0
BONGOR PREFEC.,0.0,0.0,0.0,8.2,51.5,85.3,287.9,257.8,64.5,74.5,0.0,0.0
DADOUAR,0.0,0.0,0.0,10.0,85.0,46.0,176.1,184.6,141.0,31.5,0.0,0.0
DANMADJI,0.0,0.0,0.0,12.7,51.7,48.0,200.1,40.6,8.7,67.6,0.0,0.0
GOUNOU-GAYA,0.0,0.0,0.0,0.8,35.5,110.4,242.2,173.2,182.0,0.0,0.0,0.0
GUELENDENG,0.0,0.0,0.0,0.0,30.5,34.8,147.3,156.5,119.6,29.0,0.0,0.0
KOUMRA S/P,0.0,0.0,4.1,5.5,36.3,68.8,362.3,258.3,201.4,0.0,0.0,0.0
KYABE CT,0.0,0.0,10.0,8.0,89.0,155.5,389.4,266.4,113.9,0.0,0.0,0.0
LAI ORSTOM,0.0,0.0,0.0,4.6,53.5,148.7,291.1,251.0,53.2,0.0,0.0,0.0
LERE CT,0.0,0.0,0.0,10.0,83.0,222.1,182.5,339.6,191.5,28.0,0.0,0.0
MANGALME,0.0,0.0,3.0,0.0,6.5,24.1,360.6,194.7,35.0,0.0,**,**
MAO,0.0,0.0,0.0,0.0,0.0,3.0,95.0,59.0,16.0,0.0,0.0,0.0
MARO,0.0,0.0,6.3,7.6,101.9,165.2,398.7,224.6,196.5,119.8,0.0,0.0
MELFI,0.0,0.0,0.0,0.0,0.0,93.0,208.8,186.4,137.3,41.9,0.0,0.0
MOISSALA CT,0.0,0.0,2.1,46.2,75.0,179.3,405.0,250.8,209.8,85.6,0.0,0.0
MOITO,0.0,0.0,0.0,0.0,9.9,5.1,71.0,228.2,201.5,0.0,0.0,0.0
MONGO,0.0,0.0,0.0,0.0,3.9,111.4,196.1,281.5,108.2,0.0,0.0,0.0
MOUNDOU METEO,0.0,0.0,0.0,14.8,103.5,130.8,347.5,299.2,7.8,18.2,0.0,0.0
MOUSSORO,0.0,0.0,0.0,0.0,0.0,41.0,131.8,22.5,25.3,0.0,0.0,0.0
N'DJAMENA AERO,0.0,0.0,0.0,0.3,0.7,60.8,107.3,102.0,72.4,18.6,0.0,0.0
NGALO,0.0,0.0,0.0,5.5,72.1,216.7,139.0,65.0,194.0,25.0,0.0,0.0
NGOURA,0.0,0.0,0.0,0.0,0.0,44.3,155.9,154.3,0.0,0.0,0.0,0.0
NGOURI,0.0,0.0,0.0,0.0,0.0,52.0,69.5,20.5,**,**,**,**
PALA AERO,0.0,0.0,4.5,16.8,59.4,138.5,154.7,243.1,180.1,30.8,0.0,0.0
SARH METEO,0.0,0.0,0.2,11.1,110.7,156.5,456.3,302.9,45.0,56.3,0.0,0.0
