Nom,Lon,Lat,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
KOULIKORO,-7.37,12.97,-29997,-29997,-29997,17,68,24,151,163,6,-9999,-29997,-29997
BAMAKOV,-8.02,12.63,-29997,0,-9999,115.3,125.5,202.9,427.1,288.7,75.00000001,-9937.2,-9999,0
NIORO,-9.6,15.23,3.2,0,0,21.2,75.69999999,37.89999999,193.9,126.2,19.6,0,0,0
NARA,-7.28,15.17,1.6,0,0,4.9,40,39.89999999,152.9,75,17,0,0,0
YELIMANE,-10.57,15.12,-29997,-29997,-29997,-9998.6,91.79999999,48.4,197.9,253.4,10.2,-9997,-29997,-29997
DIEMA,-9.18,14.55,29997,29997,-9999,-9992.5,59.6,61,269,98,16,-9999,-29997,-29997
MOPTI,-4.1,14.52,0,0,0,12,23.9,50.39999999,147.8,199.4,2.8,-9998,-9999,0
KAYES,-11.43,14.43,0.3,0,0,0,57.8,34.7,180.7,174.9,24.8,0,0,0
NIONO,-5.98,14.25,9999,0,0,0,45.3,59.6,93.5,170.6,14.5,1.1,0,0
KE-MACINA,-5.37,13.95,0,0,0,3,5,-9971,237,192,40,-9999,-29997,-29997
BAFOULABE,-10.83,13.8,-29997,-29997,-29997,-9999,63,66,250,43,62,-9991,-29997,-29997
KOLOKANI,-8.03,13.58,-29997,-29997,-29997,-9984,49,75,219.4,267,18,-9984,-29997,-29997
BANAMBA,-7.45,13.55,-29997,-29997,-29997,-9995,53,-9977,145,70,14,-9987,-29997,-29997
SEGOU,-6.15,13.4,0,0,0.8,0,51.89999999,78.49999999,274.7,157.8,45.1,0,0,0
SAN,-4.9,13.28,0,0,0,15.6,81.19999999,115.7,160.2,272.8,60.8,13,0,0
TOMINIAN,-4.6,13.28,-29997,-29997,-29997,-9965,34,96,115,171,53,-9999,-29997,-29997
KITA,-9.45,13.07,0,0,5.299999999,10.2,76.60000001,101,184.2,211.6,83.79999999,4.199999999,0,0
BAROUELI,-6.83,13.07,0,0,0,46,49,87,141,240,12,-9997,-29997,-29997
BLA,-5.77,12.95,-29997,-29997,-29997,-9983,13,73,288,226,22,-9987,-29997,-29997
KATIBOUGOU,-7.53,12.93,-29997,-29997,-29997,32.8,64.1,119.3,116.7,216.7,61.6,-9996,-29997,-29997
KENIEBA,-11.35,12.8,0,0,0,45.09999999,125.7,271.2,178,300.5,123.8,4.1,0,0
NTARLA ,-5.75,12.7,-9999,-29997,-29997,66.2,117.9,178.4,271.3,286.1,63.1,-9982,-29997,-29997
KATI-HAUT,-8.07,12.73,-29997,-29997,-29997,18,88,119,191,188,69,-9961,-29997,-29997
SOTUBA,-7.93,12.65,0,0,16.8,43.79999999,155.6,156.5,222.4,186.1,68.50000001,52,0,0
BAMAKO SENOU,-7.95,12.53,0,0,7.5,107.5,139.8,145,222.5,357.6,93.49999998,2,0,0
BAGUINEDA,-7.78,12.62,-29997,-29997,-29997,-9956,-9953,-29997,171.4,-9844,-9997,-9999,-29997,-29997
DIOILA,-6.8,12.48,0,0,0,48.89999999,123,179.8,200.5,221.1,23.5,27,0,0
KOUTIALA,-5.47,12.4,0,0,1,83.30000001,92.39999999,261.7,287.9000001,221.9,105.7,10.1,0,0
YOROSSO,-4.78,12.37,-29997,-29997,-29997,-9951,60.39999999,152.5,112,199,68,-9982,-29997,-29997
OUELESSEBOUGOU,-7.92,11.98,-29997,-29997,-29997,49,152,185,15,115,-9920,-9999,-29997,-29997
KANGABA,-8.42,11.93,-29997,-29997,-29997,18,257,80,180,321,97,-9985,-29997,-29997
BOUGOUNI,-7.5,11.42,0,0,3.3,47.2,92.9,180.3,194,200.3,162,19.2,0,0
SIKASSO,-5.68,11.35,0,0,39.1,131,88.79999999,130.3,259.3,228.8,250.3,1.4,0,0
YANFOLILA,-8.15,11.18,-29997,-29997,-29997,94,114,170,189,336,165,-9993,-29997,-29997
KOLONDIEBA,-6.9,11.1,-29997,-29997,-29997,61,102,131,311,210,219,-9974,-29997,-29997
KADIOLO,-5.77,10.55,-29997,-29997,-29997,83,153,126,85,167,111,-9999,-29997,-29997
MAHINA,-10.83,13.73,-9999,-29997,-29997,-9999,68.50000001,96.7,256.6,64.00000001,72.09999999,13.7,0,0
SELINGUE,-8.23,11.65,-9999,0,0.4,102.9,-9902.3,-29997,-29997,-29997,-29997,-29997,-29997,-29997
