Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
ARIBINDA,-0.87,14.23,0,0,0.9,0,0.9,112.5,131,64.8,117.6,3.5,0,0
BAGUERA,-5.42,10.53,16,0,12.2,32,51.1,66.5,203.2,164.9,325.1,65.5,8.6,0
BANFORA AGRI,-4.77,10.62,0,0,6.2,31.2,79.6,108.4,162.8,200,220.5,60.1,0,0
BARABOULE,-1.85,14.22,0,0,28.2,0,24,70.1,118.7,106.6,138.9,8.5,0,0
BARSALOGHO,-1.07,13.42,0,0,0,9.5,0,110.7,207.9,305.6,145.3,40.3,0,0
BATIE,-2.92,9.88,4.4,0,63.2,79.6,45.4,159.9,116.3,140.1,157.9,85.3,0,0
BEREBA,-3.68,11.62,0,0,50,13.5,20,137.1,172.8,178.6,238.2,31.9,0,0
BEREGADOUGOU,-4.73,10.75,0,2,5.1,96,114.2,130.1,133.3,127,190.9,44.5,0,0
BETARE,-1.37,11.43,0,0,0,16.7,43.6,159.3,243.5,197.6,134.8,34.3,0,0
BILANGA,-0.02,12.55,0,0,0,4.1,107.7,81.2,208.9,197.5,103.8,28.6,0,0
BONDOUKUY,-3.77,11.85,0,0,0,44.9,32.7,81.5,141.4,198.9,162.7,37,0,0
BOTOU,2.05,12.67,0,0,0,3.5,96.1,120.5,-29997,97.7,123.5,27,0,0
BOULBI,-1.53,12.23,0,0,0,0,15.5,57.1,237,262,160.7,26.5,0,0
BOULSA,-0.57,12.65,0,0,0,0,69,93.5,149,356,124.5,4,0,0
BOURA,-2.5,11.05,0,0,10.7,11.1,104.4,148.9,106.6,111,160.7,28,0,0
BOURZANGA,-1.55,13.68,0,0,8.3,24.3,-29997,27.5,148.7,117.2,67.6,0.5,0,0
BOUSSE,-1.88,12.67,0,0,30.2,35.4,37.9,158.3,167,230.1,92.9,11,0,0
DAKIRI,-0.23,13.28,0,0,0,0,45.2,54.6,191.8,266,41.5,0,0,0
DANO,-3.07,11.15,0,0,47.6,29.9,56.8,108.2,162.8,118.6,179.1,12.6,0,0
DI-SOUROU,-3.42,13.17,0,0,0,11.3,31.7,57.8,160.7,150.5,176.9,1.7,0,0
DIDYR,-2.62,12.57,0,0,0,16.5,30.2,76,123.4,292.2,120.8,-19998,0,0
DIEBOUGOU,-3.25,10.97,0,0,22.2,64.6,86.2,141.2,152.4,-29997,-29997,-19998,0,0
DJIBO,-1.62,14.1,0,0,3.4,14,20.6,92.9,-29997,-29997,-29997,-19998,0,0
FARA,-2.77,11.52,0,0,4,67.3,101.5,-29997,126.4,146.8,151.2,32,0,0
GARANGO,-0.57,11.8,0,0,0,17.7,47.2,86.7,122.5,202.1,77.1,43.8,0,0
GAYERI,0.48,12.65,0,0,0,17.6,38.9,128.8,156.7,134.2,100.7,50.7,0,0
GORGADJI,-0.52,14.03,0,0,2.5,20.9,0,153.8,150.5,115.6,101,32.4,0,0
GOROM-GOROM,-0.23,14.45,0,0,5.3,0,37.7,211.7,127.4,162.8,47.7,0,0,0
GOURCY,-2.35,13.2,0,0,0,0,45.7,199,204.5,176.5,73.8,13.4,0,0
GUILONGOU,-1.3,12.62,0,0,0,0,28.6,169.4,193.5,294.3,82.7,36.7,0,0
HOUNDE,-3.52,11.48,0,0,5.9,15.1,31.4,85.7,93.9,76.9,139.7,21.6,0,0
IMANSGHO,-2.33,12.43,0,0,8.3,42.3,40,138.9,181,278.4,96,6.6,0,0
KAMBOINCE,-1.55,12.47,0,0,0,33.1,25.9,140.2,227.7,169.3,95.9,39,0,0
KAMPTI,-3.47,10.13,0,0,15.9,130.8,158,131.7,84.7,169,210.7,34.9,0,0
KANTCHARI,1.52,12.47,0,0,0,10.3,79.8,134.5,247.1,148.5,-29997,-29997,0,0
KASSOUM,-3.3,13.08,0,0,0,0,-29997,97.8,171.9,147,124.1,0,0,0
KIEMBARA,-2.72,13.25,0,0,0,16,16,158.8,147.5,121.9,137.7,5.3,0,0
