STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
TAKANAMATT,**,**,**,**,**,26.0,149.0,88.0,**,29.0,0.0,0.0
TAKIETA,0.0,0.0,0.0,0.0,0.0,43.0,168.3,190.9,52.9,3.0,0.0,0.0
TAMASKE,**,**,**,**,30.5,29.0,150.0,230.0,135.0,3.0,0.0,0.0
TAMOU,0.0,0.0,0.0,0.0,5.5,51.5,204.0,165.9,86.0,18.0,0.0,0.0
TANDA,0.0,0.0,0.0,13.0,0.0,55.0,145.0,344.0,156.0,10.0,0.0,0.0
TANOUT,0.0,0.0,0.0,0.0,1.3,0.0,79.1,154.8,129.1,**,0.0,0.0
TERA,0.0,0.0,0.0,0.0,2.4,47.8,156.0,447.8,243.5,37.0,0.0,0.0
TESSA,0.0,0.0,0.0,0.0,8.0,67.0,118.0,361.3,203.0,62.0,0.0,0.0
TIBIRI (DOUTCH,0.0,0.0,0.0,0.0,11.0,50.2,182.1,301.5,259.9,35.0,0.0,0.0
TILLIA,0.0,0.0,0.0,0.0,0.4,9.4,149.7,157.9,132.9,1.5,0.0,0.0
TIRMINI,0.0,0.0,0.0,0.0,0.0,7.6,83.2,165.3,92.6,**,0.0,0.0
TORODI (AGRI),0.0,0.0,0.0,0.0,0.0,90.5,565.8,236.2,193.0,34.0,0.0,0.0
ZABORI_GAYA,**,**,**,**,27.5,74.0,128.0,193.0,171.0,45.0,0.0,0.0
ZINDER AERO,0.0,0.0,0.0,0.0,2.7,68.4,264.8,176.7,144.1,1.3,0.0,0.0
