Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
ARIBINDA,-0.87,14.23,0,0,0,0,15.1,109.9,130.4,155.5,166.7,16,0,0
BAGASSI,-3.3,11.75,0,0,0,3,53.1,144.4,148.5,150.9,210.2,88.6,20.6,0
BAGUERA,-5.42,10.53,0,24.8,12.5,63.2,71.7,138.4,315.1,240.4,384.6,215.1,57.2,0
BANFORA AGRI,-4.77,10.62,0,0,24.2,6,46.8,82.1,127.2,154,170.2,126.7,0,0
BANI,-0.17,13.72,0,0,0,1,25.9,26,114.3,108.4,98.1,27.1,0,0
BARABOULE,-1.85,14.22,0,0,0.2,0,20.7,88.5,115,102.9,98.3,2.2,0,0
BARSALOGHO,-1.07,13.42,0,8,0,13,22.2,54,201.1,159.5,68.2,26.2,0,0
BATIE,-2.92,9.88,0,3.2,79.5,37.8,84.8,106.9,195.3,199,243.7,61.1,13.7,1.3
BEREBA,-3.68,11.62,0,0,6.4,7,10.5,147.9,137.1,186.9,187.8,44.5,-9999,0
BEREGADOUGOU,-4.73,10.75,0,3.2,33.1,30.8,90.4,132.9,135,106.3,164.9,164.8,15.4,0
BETARE,-1.37,11.43,0,3.5,0,7.5,187.4,294,185.5,411.7,284,49.4,0,0
BILANGA,-0.02,12.55,0,0,7.3,0.7,36.5,83.7,140,263.8,99.7,17,0,0
BOMBOROKUY,-3.98,13.05,0,0,15.7,8.3,10.1,51.3,198.3,226.7,248,58.1,-9999,0
BONDOUKUY,-3.77,11.85,0,0,0,0,50.9,140.2,141.3,208.7,99.3,72,0,0
BOTOU,2.05,12.67,0,0,0,3.7,10.4,103.5,155.5,272.3,74.6,41.2,0,0
BOULBI,-1.53,12.23,0,0,0,3.5,20.7,74.4,85.1,207.8,312.9,9,0,0
BOULSA,-0.57,12.65,0,0.7,1.1,0,87.1,86.5,124.8,331.4,85.9,19.1,0,0
BOURA,-2.5,11.05,0,42,34.3,13.5,108.5,92.8,99.9,324.8,161.3,42,0,0
BOUROUM,-0.65,13.6,0,0,0,0,10,88,173,206.5,116.5,52,0,0
