STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
ANSONGO,0.0,0.0,0.0,0.0,0.0,**,**,104.0,**,0.0,0.0,0.0
BAFOULABE,0.0,0.0,0.0,0.0,2.0,178.5,135.0,307.7,175.5,25.0,0.0,0.0
BAGUINEDA,0.0,0.0,0.0,0.0,51.0,98.0,236.0,247.0,123.0,29.4,0.0,0.0
BAMAKO SENOU,0.0,0.0,4.2,4.2,50.3,71.1,265.3,287.6,133.5,19.2,0.0,0.0
BAMAKO VILLE,0.0,0.0,0.0,0.0,116.7,97.5,295.7,413.5,121.6,78.9,0.0,0.0
BANAMBA,0.0,0.0,0.0,0.0,11.5,7.0,280.0,281.0,140.5,21.6,0.0,0.0
BANDIAGARA,0.0,0.0,0.0,0.0,5.7,34.7,160.5,206.5,52.1,7.6,0.0,0.0
BANKASS,0.0,0.0,0.0,0.0,26.1,136.0,105.5,198.3,78.2,20.0,0.0,0.0
BANKOUMANA,0.0,0.0,0.0,0.0,46.0,118.0,325.0,409.0,213.0,46.6,0.0,0.0
BAROUELI,0.0,0.0,0.0,0.0,22.7,127.5,288.3,184.1,53.1,53.0,0.0,0.0
BLA,0.0,0.0,0.0,0.0,30.0,155.0,95.5,151.0,109.0,1.1,0.0,0.0
BOUGOUNI,0.0,0.0,0.0,0.0,116.7,163.1,382.2,223.5,213.9,54.2,0.0,0.0
DIEMA,0.0,0.0,0.0,0.0,2.1,37.8,159.2,237.5,68.1,17.0,0.0,0.0
DIOILA,0.0,0.0,0.0,0.0,57.2,164.6,228.2,164.5,112.2,92.9,0.0,0.0
DJENNE,0.0,0.0,0.0,0.0,0.0,41.2,253.0,244.8,60.4,16.8,0.0,0.0
KADIOLO,0.0,0.0,0.0,0.0,48.2,217.1,257.6,287.0,185.5,108.5,0.0,0.0
KANGABA,0.0,0.0,0.0,0.0,80.3,128.1,197.4,430.6,191.0,70.2,0.0,0.0
KATI-HAUT,0.0,0.0,0.0,0.0,129.5,132.0,255.0,323.0,165.0,52.6,0.0,0.0
KATIBOUGOU,0.0,0.0,0.0,0.0,40.8,121.0,214.7,245.7,63.3,57.1,0.0,0.0
KAYES,0.0,0.0,0.0,0.0,0.0,49.2,97.8,280.8,129.1,42.2,0.0,0.0
KE-MACINA,0.0,0.0,0.0,0.0,3.3,36.3,133.5,171.7,44.9,12.6,0.0,0.0
KENIEBA,0.0,0.0,0.0,0.0,68.4,116.9,166.0,682.3,201.8,166.0,0.0,0.0
KITA,0.0,0.0,0.0,0.0,71.0,87.9,205.6,369.3,221.0,16.8,0.0,0.0
KOLOKANI,0.0,0.0,0.0,0.0,17.5,42.6,181.7,138.8,134.7,53.5,0.0,0.0
KOLONDIEBA,0.0,3.4,2.1,31.9,6.9,165.9,317.5,322.4,196.5,57.5,0.0,0.0
KONOBOUGOU,0.0,0.0,0.0,0.0,16.0,94.0,241.5,191.0,93.0,7.8,0.0,0.0
KORO,0.0,0.0,0.0,0.0,1.5,122.3,177.3,170.7,111.2,3.4,0.0,0.0
KOULIKORO,0.0,0.0,0.0,0.0,42.1,113.7,181.8,220.4,99.5,56.5,0.0,0.0
MAHINA,0.0,0.0,0.0,0.0,13.3,121.2,86.6,299.9,108.5,10.0,0.5,0.0
MOPTI,0.0,0.0,0.0,3.7,14.9,45.2,156.5,347.3,37.8,54.8,0.0,0.0
N'TARLA  I.R.C,0.0,0.0,0.0,0.0,47.5,**,193.0,211.5,186.0,56.4,0.0,0.0
NARA,0.0,0.0,0.0,2.6,6.4,33.7,119.9,78.1,71.6,4.3,0.0,0.0
NIONO,0.0,0.0,0.0,0.0,6.5,122.8,137.8,161.4,40.5,4.4,0.0,0.0
NIORO DU SAHEL,0.0,2.8,0.0,0.3,14.4,41.0,201.4,175.2,79.5,11.6,0.0,0.0
OUELESSEBOUGOU,0.0,0.0,0.0,0.0,45.7,74.7,279.7,310.4,257.6,76.7,0.0,0.0
SAN,0.0,0.0,0.0,0.2,33.2,119.8,134.9,199.5,64.5,10.3,0.2,0.0
SEGOU,0.0,0.0,0.0,5.8,21.3,116.7,174.9,132.7,114.8,14.6,0.0,0.0
SELINGUE,0.0,4.8,0.0,25.7,107.9,135.2,323.8,323.6,228.2,104.2,0.0,0.0
SIKASSO,0.0,5.3,18.3,44.1,155.2,148.9,329.4,361.4,207.2,87.1,0.0,0.0
SOTUBA,0.0,0.0,0.0,0.0,59.8,96.1,237.0,427.5,93.5,55.9,0.0,0.0
TENENKOU,0.0,0.0,0.0,0.0,3.5,48.0,164.2,172.0,75.0,6.0,0.0,0.0
TOMINIAN,0.0,0.0,0.0,0.0,28.5,115.7,166.0,222.0,127.0,35.0,0.0,0.0
YANFOLILA,0.0,0.0,0.0,0.0,78.2,212.7,347.5,170.8,238.2,84.8,0.0,0.0
YELIMANE,0.0,0.0,0.0,0.8,68.6,84.1,104.0,118.0,40.9,4.8,0.0,0.0
YOROSSO,0.0,0.0,0.0,0.0,33.8,111.3,232.5,185.2,72.7,104.1,0.0,0.0
