Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
ABALA,3.43,14.95,0,0,0,0,0,61.9,94.2,186.9,33.2,0,0,0
ABALAK,6.25,15.47,0,0,0,0,7.8,84.5,30.4,105.5,26.7,0,0,0
ADERBISSINAT,7.85,15.62,0,0,0,0,0,32.6,113.8,70.1,6.2,0,0,0
ADJE KORIA,6.78,14.33,0,0,0,0,0,29.6,168.8,91.9,49.7,0,0,0
ADJIRI,13,14.5,0,0,0,0,0,48,148,115.9,15,0,0,0
AGADEZ,7.98,16.97,0,0,0,0,8.9,19.6,37.4,55.2,13.8,0,0,0
AGUIE,7.77,13.50,0,0,0,0,3.2,84.3,121.7,122.1,85.2,0,0,0
AKOKAN,1.58,13.92,0,0,0,0,0,0,31,57,15,0,0,0
AREWA(MADAOUA,5.8838,14.0506,0,0,0,0,15.5,33.1,68.8,91,55.1,19.5,0,0
ARLIT,7.33,18.50,0,0,0,0,0,0,25.7,35.9,7.5,0,0,0
AYOROU,0.85,14.75,0,0,0,0,40,20.5,56,283,16,0,0,0
B.NGAOURE(AG),2.883,13.067,0,0,0,0,52.3,86.4,262.6,209.6,76.6,0,0,0
BADEGUICHIRI,5.37,14.52,0,0,0,0,4.7,63.8,107.7,110.2,33.2,0,0,0
BAGAROUA,3.30,14.12,0,0,0,0,10.5,88.3,182,251.9,25.4,0,0,0
BAKIN-BIRGI,8.78,14.27,0,0,0,0,14,65.6,-189.8,42.6,27.8,0,0,0
BALLEYARA,2.97,13.77,0,0,0,0,15.2,39.5,122.5,305.6,74.3,14.5,0,0
BALLEYARA . A,2.97,13.77,0,0,0,0,14,90,130.4,322,77.5,13,0,0
BANIBANGOU,2.50,15.05,0,0,0,0,4,32.6,14.2,141,5,1,0,0
BANKILARE,0.72,14.57,0,0,0,0,20,87.4,114.9,209,12,7.5,0,0
BELBEDJI,8.07,14.65,0,0,0,0,0,53.4,36.8,179.5,53.2,13,0,0
BENGOU,3.57,11.98,0,0,0,2.9,106.5,126.4,155.6,232.7,138.4,49,0,0
BERMO,6.684167,14.674167,0,0,0,0,2,23.7,38.2,136.9,42.2,1.4,0,0
