Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
IRIBA,22.25,15.12,0,0,0,0,0,56,216.9,75.9,0,0,0,0
MAO,15.32,14.12,-29997,-29997,-29997,-29997,-29997,-9971,-29997,-29997,-29997,-29997,-29997,-29997
BILTINE,20.92,14.52,0,0,0,0,40,104.1,138.5,138.5,-19988,-9999,-29997,-9999
AMZOER,21.37,14.22,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
NGOURI,15.38,13.63,0,0,0,0,8.5,37,186.9,50.5,40.8,0,0,-29997
ATI,18.32,13.22,0,0,0,0,16.5,117.4,33,22.6,18,0,0,-29997
DJEDAA,18.58,13.52,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
OUMHADJ,19.7,13.3,0,0,0,0,34.5,187.6,257.2,153.3,43.7,-29997,-29997,-29997
ABECHE,20.85,13.85,0,0,0,0,9.7,134.5,28,29.3,22.6,0,0,0
ADRE,22.2,13.47,0,0,0,0,12.9,189.6,161.8,113.8,44.3,0,0,0
NDJAMENA ,15.03,12.13,0,0,0,0,9,143.7,159.1,188.5,52.6,0,0,0
TOURBA,15.3,12.87,0,0,0,0,31,123.5,102.7,168.7,-29997,-29997,-29997,-9999
MASSAGUET,15.42,12.5,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
KOUNDOUL,15.15,11.98,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BOKORO,17.05,12.38,0,0,0,0,74.6,153.5,288.9,77.5,68.4,0,0,0
DADOUAR,18.45,12.13,0,0,4,19.7,71.7,170,275,245.6,39.6,32.3,0,0
MONGO,18.68,12.18,0,0,1,21,49.1,147,223,193.5,49.5,0,0,-29997
BARO,18.97,12.2,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MANGALME,19.62,12.37,0,0,0,15.5,42.1,220.3,311.1,124.5,104.5,0,0,-29997
GOZBEIDA,21.42,12.23,-29997,-29997,-9999,1.2,25.6,252.9,235.1,117.1,54.1,0,0,0
AMDAM,20.48,12.77,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MANDALIA,15.25,11.73,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MASSENYA,16.17,11.4,0,0,5,0,23.8,207.3,266,205.3,73.5,0,0,0
MELFI,17.93,11.07,0,0,0,41,168.7,83.2,271.4,370.8,64,0,0,0
BITKINE,18.22,11.98,0,0,4.5,12.5,85.5,158,242.3,138.9,56.1,7.4,0,-29997
ABOUDEIA,19.28,11.48,0,0,4.5,39.2,158.9,161.9,319.5,370.4,161.6,0,0,-29997
AMTIM,20.28,11.03,0,0,0,9,90,206.3,243.9,209.6,44.5,0,0,0
BILLIAM,15.25,10.58,-29997,-29997,-9997.9,42.1,98.5,219.2,196.5,342.2,53.3,-29997,-29997,-9999
BONGOR ,15.37,10.28,0,0,5.5,48.6,40.1,175.4,274.5,185.7,50.2,2.1,0,0
