Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
ABALA,3.43,14.95,0,0,0,0,0.5,39.3,61.7,64.8,28.7,0,0,0
ABALAK,6.25,15.47,0,0,0,0,0,9.7,15.6,179.6,21.9,0,0,0
ADERBISSINAT,7.85,15.62,0,0,0,0,10,54,52.1,48.4,58.8,0,0,0
ADJE KORIA,6.78,14.33,0,0,0,0,9.3,81.4,83.3,130.1,41.2,9,0,0
ADJIRI,13,14.5,0,0,0,0,22.5,80.3,53.6,175.6,0,0,0,0
AGADEZ,7.98,16.97,0,0.6,0,0,41.6,17.7,22,63.1,4,0.3,0,0
AGUIE,7.77,13.50,0,0,0,0,24.6,108.8,38.2,149.8,25,17,0,0
AREWA(MADAOUA,5.8838,14.0506,0,0,0,0,6,-9964,-9933.5,135,129,-19998,0,0
ARLIT,7.33,18.50,0,0,0,0,0,6,21.8,26.3,1.5,0,0,0
ARZERORI(NOMA,5.92,14.15,0,0,0,0,26,121.2,85.6,201.2,93.9,0,0,0
ATCHIDA KOFATO,6.92,13.43,0,0,0,0,22,50.6,121,141.4,61.6,0,0,0
AYOROU,0.85,14.75,0,0,0,0,4,13.5,86,138.5,140,0,0,0
B.NGAOURE(AG),2.883,13.067,0,0,0,0,0,133,82.8,136.8,34.7,-29997,0,0
BADEGUICHIRI,5.37,14.52,0,0,0,0,29.4,123.2,94,164.5,45.4,0,0,0
BAGAROUA,3.30,14.12,0,0,0,0,5,59.2,103.6,115.1,86.3,0,0,0
BAKIN-BIRGI,8.78,14.27,0,0,0,0,2,59.3,-9954.5,169.1,-19975.1,-19998,0,0
BALLEYARA,2.97,13.77,0,0,0,0,12.5,61.6,134.2,134.9,64.9,3.3,0,0
BALLEYARA . A,2.97,13.77,0,0,0,0,5.5,52,110,112,45.5,-29997,0,0
BAMBEYE,5.08,14.72,0,0,0,0,11.9,115.6,39.8,93.1,19.1,0,0,0
BANDE HAOUSSA,8.88,13.18,0,0,0,0,27.1,40.8,98.3,229,90,15.5,0,0
BANGUI,6.10,13.72,0,0,0,0,68.7,143,29.7,99.5,34.2,5.2,0,0
BANIBANGOU,2.50,15.05,0,0,0,0,0.5,33.4,124.3,177.9,44.1,0,0,0
BANKILARE,0.72,14.57,0,0,0,0,0,27.2,105.1,109.5,48.1,0,0,0
BELBEDJI,8.07,14.65,0,0,0,0,11,47,30.2,96.3,19.5,1.5,0,0
BENGOU,3.57,11.98,0,0,0,0,149.2,52,60.6,349.7,134.6,4,0,0
