Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
ARIBINDA,-0.87,14.23,0,0,0,0,0.8,46.1,172.5,155.6,85.8,89.5,0,0
BAGASSI,-3.3,11.75,0,0,0,92.7,123.2,95.8,157.3,223.2,266.7,40.8,0,0
BAGUERA,-5.42,10.53,0,18.9,0,95.2,89,230.9,148.2,239.6,325.8,139.2,6.6,0
BANFORA AGRI,-4.77,10.62,0,26.3,0,98.1,148.8,62.3,157,301.3,331.9,73.6,0,0
BANI,-0.17,13.72,0,0,0,0,10,51.4,206.7,129.9,118.7,57.1,0,0
BARABOULE,-1.85,14.22,0,0,0,12.1,0,49.6,153.2,214.3,96.8,33,0,0
BARSALOGHO,-1.07,13.42,0,0,0,0,1.1,84.1,255,217.1,139.2,56.9,0,0
BATIE,-2.92,9.88,0,13.7,0,140.1,48.7,84,82.7,256.6,190.4,231.1,15.3,0
BEREBA,-3.68,11.62,0,0,0,29,113.5,79.2,152.9,407.9,211.6,140.8,0,0
BEREGADOUGOU,-4.73,10.75,0,7.2,0,107.5,160.7,180.8,108.8,218.4,237.5,69.5,19.1,0
BETARE,-1.37,11.43,0,0,0,49.9,139.1,199.6,234.1,546.2,298.2,66.3,4.2,0
BILANGA,-0.02,12.55,0,0,0,18.9,46.8,83.8,138.5,228.5,108,68,0,0
BOMBOROKUY,-3.98,13.05,0,0,0,0,10.8,165.3,-29997,-29997,-29997,54.9,0,0
BONDOUKUY,-3.77,11.85,0,0,0,18.8,29.2,83.4,174.4,343.4,148.1,189.5,0,0
BOTOU,2.05,12.67,0,0,0,23.8,37.7,149.9,142.7,250.9,106,63.1,0,0
BOULBI,-1.53,12.23,0,0,0,0,61.9,100.8,177.7,272.3,-29997,87,0,0
BOULSA,-0.57,12.65,0,0,0,30.9,79,106.1,322.1,237.4,149.8,48.8,0,0
BOURA,-2.5,11.05,0,1,0,50.2,121.3,93.6,126,287,185.6,94.9,0,0
BOUROUM,-0.65,13.6,0,0,0,0,9.5,121.6,300.1,164.1,96.6,59.1,0,0
BOURZANGA,-1.55,13.68,0,0,0,7.5,78.4,22.5,157.9,214.1,65.4,68.3,0,0
BOUSSE,-1.88,12.67,0,0,0,33.6,35.2,149.5,161,249,309.6,78.3,0,0
DAKIRI,-0.23,13.28,0,0,0,0,55.9,67.6,190.8,289,50.9,0,0,0
