Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
ARIBINDA,-0.87,14.23,0,0,0,1.5,25.2,6,174,187.8,59.3,11.1,0,0
BAGUERA,-5.42,10.53,0,0,0,-29997,-29997,-29997,-29997,582.4,220.8,125.7,0,0
BANFORA AGRI,-4.77,10.62,0,0,8.7,176.8,55.4,55.4,106.4,543,91.1,57.5,13.2,0
BANI,-0.17,13.72,0,0,0,0,67.5,19.5,143.5,147,127.5,10,0,0
BARABOULE,-1.85,14.22,0,0,0,0,13.3,126.7,165.1,246.2,42.8,0,0,0
BARSALOGHO,-1.07,13.42,0,0,0,0,26.7,32.8,173,255.5,96,0,0,0
BATIE,-2.92,9.88,0,0,22.2,228.3,112.7,102.9,115.4,218.9,163.5,112.5,18.4,0
BEREBA,-3.68,11.62,0,0,0,87.1,45.2,84.4,167.1,264.9,68.2,123,0,0
BEREGADOUGOU,-4.73,10.75,0,0,1.5,136.1,50.2,137.7,75.4,543.5,99.6,26.4,-9999,0
BETARE,-1.37,11.43,0,0,0,17.8,12.9,160.9,250.2,603,167.4,69.2,4.5,0
BILANGA,-0.02,12.55,0,0,0,21.7,52.9,167.2,150,315.8,195.1,0,0,0
BOMBOROKUY,-3.98,13.05,0,0,0,8,54.7,84.2,127.3,324,40.2,0,0,0
BONDOUKUY,-3.77,11.85,0,0,0,47.5,6,104.3,80.9,289.6,154,3.5,0,0
BOTOU,2.05,12.67,0,0,0,0,64.3,85.4,141.5,285.4,141.4,0,0,0
BOULBI,-1.53,12.23,0,0,0,19.7,54.9,-29997,-29997,-29997,201.2,0,0,0
BOULSA,-0.57,12.65,0,0,0,37.5,19.1,51.9,166.6,170.1,110.1,0,0,0
BOURA,-2.5,11.05,0,0,0,97.1,113.5,117.3,230.4,255,166,14.4,0,0
BOURZANGA,-1.55,13.68,0,0,0,0,13.5,81.3,135.8,268,77.9,0,0,0
BOUSSE,-1.88,12.67,0,0,0,28.8,3.8,34.8,134.8,388.2,150.5,0,0,0
DAKIRI,-0.23,13.28,0,0,0,0,0,89.4,258.9,194.1,54,0,0,0
DANO,-3.07,11.15,0,0,2,33.3,57.2,132,245,204.5,111.9,-9999,0,0
DI-SOUROU,-3.42,13.17,0,0,0,15.9,1.1,76.6,178.5,311.3,142.3,15.1,0,0
DIAPAGA,1.78,12.07,0,0,0,6.5,116.1,75.3,264.8,248.4,84.9,15.6,0,0
DIDYR,-2.62,12.57,0,0,0,23,47,62,172.8,320.7,97.4,0,0,0
DIEBOUGOU,-3.25,10.97,0,0,0,55.4,40.5,156.3,199.9,319.1,96.4,62.2,0,0
DISSIN,-2.93,10.93,0,0,0,145.5,54.5,84.5,217.6,266.5,139.5,6,1,0
DJIBO,-1.62,14.1,0,0,0,0,0,54.6,263.6,322.3,30.3,4.2,0,0
FARA,-2.77,11.52,0,0,0,29.4,4.2,105.5,171.1,317.8,171.4,5.1,0,0
GAYERI,0.48,12.65,0,0,0,12.1,31.9,144.2,96.3,239,116.8,0,0,0
GORGADJI,-0.52,14.03,0,0,0,0,71.7,68.6,160.9,246.6,123.2,0,0,0
GOROM-GOROM,-0.23,14.45,0,0,0,0,0,20,265.6,155.2,29.7,0,0,0
GOURCY,-2.35,13.2,0,0,0,0,4.6,84.8,334.7,237.8,80.9,0,0,0
GUILONGOU,-1.3,12.62,0,0,0,15.8,40.4,97.4,168.7,217.9,104.8,0,0,0
HOUNDE,-3.52,11.48,0,0,0,69.8,12,123.6,-29997,221.7,59.9,33.7,0,0
IMANSGHO,-2.33,12.43,0,0,0,43.3,88.6,42.4,-29997,395.7,145.6,-29997,0,0
KAMPTI,-3.47,10.13,0,6,4,90.2,72.2,87.8,176.3,329.2,261.6,-29997,0,0
KANTCHARI,1.52,12.47,0,0,0,-29997,19.2,-29997,242.6,293.9,-29997,-29997,0,0
KASSOUM,-3.3,13.08,0,0,0,5.2,30,75.7,213.3,370.3,117.7,9.1,0,0
KIEMBARA,-2.72,13.25,0,0,0,0.4,17.5,177.4,213.1,292.3,110.3,5.4,0,0
KINDI,-2.03,12.43,0,0,0,19.8,20,29.2,115.7,350.6,265.4,0.1,0,0
KOKOLOGHO,-1.88,12.18,0,0,0,-9999,21.5,20.9,222.2,-29997,122.1,-29997,0,0
KOMBISSIRI,-1.33,12.07,0,0,0,62.2,0,44.2,77,185.9,157.2,0,0,0
KOMIN-YANGA,0.13,11.73,0,0,6.4,86,14,126.5,260.5,380.7,69,-29997,0,0
KORSIMORO,-1.07,12.82,0,0,0,19,0,51,174.5,239,-29997,-29997,0,0
KOUDOUGOU,-2.37,12.27,0,0,0,20,47,26,-9917,403.6,87.4,0,9.3,0
KOUKA,-4.33,11.9,0,0,1.1,19.5,58.1,61.9,259.9,438.3,151.2,64.1,-9999,0
KOUMBIA,-3.7,11.23,0,0,0,84.1,84.6,85.3,135.6,272.1,106.5,-29997,-9999,0
KOUPELA,-0.35,12.18,0,0,0,17.8,73.9,-9810.6,202.5,246.8,213.9,0,-9999,0
KOUROUMA,-4.8,11.62,0,0,0,42.8,98.5,134.4,276.1,370.3,-29997,-29997,-9999,0
LEO,-2.1,11.1,0,0,0.8,107.2,40.8,83.9,322.2,373,159.3,25.9,8.3,0
LERI,-3.38,12.77,0,0,0.4,7.8,30.6,111,237.3,327.1,94.5,41.7,0,0
MAHADAGA,1.75,11.7,0,0,0,14.4,83,135.9,195.7,330.7,160,7.8,13.7,0
MANE,-1.33,12.98,0,0,0,0,17.7,66.5,198.1,-29997,125.1,0,0,0
MANGODARA,-4.35,9.9,0,0,7,0,32.6,60.5,-29997,182.7,265.8,153.8,0,0
MARKOYE,0.07,14.63,0,0,0,0,12,0,240,139.3,57,0,0,0
MATIAKOUALY,1.03,12.37,0,0,0,52.5,37.5,78,221.4,230.4,151.7,0,0,0
N'DOROLA,-4.82,11.77,0,0,10.1,60.7,81.8,171,232,372.7,83.8,13.4,0.1,0
NAMOUNOU,1.7,11.87,0,0,1.5,4.5,78.6,160.7,191.2,239.3,148.4,25.7,0,0
NANORO,-2.18,12.68,0,0,0,12.4,7.2,23.9,167.6,260.6,-29997,-29997,0,0
NASSO,-4.43,11.2,0,0,4,51.7,8.2,121.3,319.6,228.4,199.8,55.5,24.6,0
NIANGOLOKO,-4.92,10.27,0,0,12,66.3,91.2,75.2,177.2,279.2,185.3,56.2,0,0
NIAOGHO,-0.77,11.77,0,0,0,24,31.1,285.7,-29997,-29997,183.3,46.7,0,0
ORODARA,-4.92,10.98,0,0,3.1,103.2,96.4,158.8,158.6,358.4,130,117.6,0,0
OUARGAYE,0.02,11.53,0,0,0,77.8,21.2,99.6,198.5,403.1,101.9,9.4,0,0
OUO,-3.83,10.4,0,0,-19998,112.5,58.5,46,266.7,237.4,177,76.4,3.7,0
PABRE,-1.57,12.52,0,0,0,-29997,64.4,35,111,258.8,-29997,-29997,-9999,0
PAMA,0.7,11.25,0,0,6.6,60.3,133,144.1,194.6,362.2,89.1,15.9,1.9,0
PIELA,-0.13,12.7,0,0,0,24.1,26.7,93.7,130.4,209,127.6,0.3,0,0
POBE,-1.77,13.9,0,0,0,0,0,57.4,146.4,169.1,109.5,3.2,0,0
REO AGRI,-2.37,12.32,0,0,0,44.9,6.2,32.6,194.4,464.6,83.4,0,0,0
SABA,-1.42,12.37,0,0,0,24,-29997,-29997,132.1,269.5,130.3,-29997,-19998,0
SAFANE,-3.22,12.13,0,0,3.8,38.1,17.8,99.3,221.1,320.6,-29997,9,0,0
SAMOROGOUAN,-4.93,11.4,0,0,0,115,75.4,224.1,225.5,341.2,155.4,36.7,35.5,0
SAPOUY,-1.77,11.55,0,0,0,130.5,30.6,111.8,208,396.2,96.3,10,0,0
SEBBA,0.52,13.43,0,0,0,0,31.9,144.5,200.3,131.7,123.1,0,0,0
SEGUENEGA,-1.97,13.43,0,0,0,19.8,52.5,55.5,141.7,256.3,92.7,-29997,0,0
SIDERADOUGOU,-4.25,10.68,0,0,10.1,94,25.7,121.7,94.8,215.1,129.9,32.5,-19998,0
SINDOU,-5.17,10.67,0,0,0,81,65.1,121.9,289,-29997,139.9,113,8.4,0
SOLENZO,-4.08,12.18,0,0,0,56.5,55.4,94.5,289.9,400.4,100.8,7.1,0,0
SOUROU-GASSAN,-3.22,12.82,0,0,3.2,13.1,30.8,139.9,356.4,315.9,144.1,40.8,0,0
TANSILA,-4.38,12.42,0,0,0,24.8,20.3,103.2,151.1,414.5,81.2,2.3,0,0
TEMA,-1.77,13.05,0,0,0,0,20.3,84.2,203.4,225.3,85.2,0.9,0,0
TENKODOGO,-0.38,11.77,0,0,0,29,59,155,182.2,380.6,106.4,40.7,0,0
TIEBELE,-0.97,11.1,0,0,0,81.1,67.6,128.9,273.9,396.5,99.3,9.6,0,0
TIKARE,-1.73,13.28,0,0,0,6.6,116.1,119.4,260,168.8,85.9,0.9,0,0
TIOGO,-2.68,12.18,0,0,0,33.6,79.4,60,133,395.2,140.9,1.6,0,0
TITAO,-2.07,13.77,0,0,0,0,17,86.5,195.5,224.2,124,6.5,0,0
TOENI,-3.18,13.43,0,0,0,0,9,127.5,166.5,262.5,138.4,19,0,0
TOMA,-2.9,12.77,0,0,0,-19998,51.2,81.2,237,320.8,121.4,0,0,0
TOUGAN,-3.07,13.08,0,0,0,2.7,31,88.2,278.1,389.2,125.3,4.7,0,0
TOUGOURI,-0.5,13.32,0,0,0,4,10,73,185.5,161,139,4,0,0
VALLEE DU KOU,-4.38,11.37,0,0,9,46.2,45.1,184.3,309.2,316.6,70.7,56.8,0.8,0
WONA,-3.43,11.97,0,0,0,64.5,-29997,-29997,132.5,297.2,227.6,25,0,0
YAKO,-2.27,12.97,0,0,0,0,38.8,51.8,143.8,211.8,123.5,0.6,0,0
YAMBA,0.33,12.3,0,0,0.4,34.4,27.2,65.6,187.5,281.6,114.2,0,18.5,0
ZABRE,-0.6,11.17,0,0,11.5,99.4,172.5,87.6,-29997,-29997,121.5,40.9,0,0
ZORGHO,-0.62,12.25,0,0,0,23.4,65.6,171.8,181.8,307.1,100.6,15.8,0,0
BITOU,-0.306111,11.258056,0,0,0,122.4,51.1,72,290.7,534.8,179.5,27,0,0
BOBO-DIOULASS,-4.30,11.17,0,0,2.6,94.1,13.9,133.1,304.9,251.2,95.3,24.3,14.4,0
BOGANDE,-0.13,12.98,0,0,0,27.3,32.6,56.1,110.3,180.5,94.6,0,0,0
BOROMO,-2.92,11.73,0,0,0.3,112.6,35,72.7,150.5,350.8,88.2,28,0.6,0
DEDOUGOU,-3.48,12.47,0,0,2.9,45.3,33.3,73.4,193.2,302,91.4,16.8,0,0
DORI,-0.03,14.03,0,0,0,1.4,75.6,29.4,134.7,162.7,114.1,1,0,0.2
FADA N'GOURMA,0.35,12.07,0,0,5.3,57,34.8,137.2,128.7,301,83.4,9.3,0,0
