STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
BAMAKO SENOU,0.0,0.0,0.0,6.3,142.9,95.0,374.1,258.4,139.1,27.4,0.0,0.0
BAMAKO VILLE,0.0,0.0,0.0,0.0,115.3,107.3,345.4,328.4,158.6,29.4,0.0,0.0
BANAMBA,0.0,0.0,0.0,0.0,25.6,164.0,304.0,403.0,246.0,61.0,0.0,0.0
BANKASS,0.0,0.0,0.0,0.0,14.1,139.9,151.0,228.2,159.9,11.6,0.0,0.0
BANKOUMANA,0.0,0.0,0.0,0.0,113.0,147.0,374.3,289.0,222.0,129.0,0.0,0.0
BAROUELI,0.0,0.0,0.0,0.0,75.4,89.7,231.2,311.0,193.8,53.8,0.0,0.0
BLA,0.0,0.0,0.0,0.0,35.0,96.0,199.0,281.5,117.5,33.5,0.0,0.0
BOUGOUNI,0.0,0.0,0.0,0.0,132.3,85.7,211.3,239.8,386.3,107.9,0.0,0.0
DIDIENI,0.0,0.0,0.0,1.3,39.1,74.8,197.8,318.6,222.2,68.7,0.0,0.0
DIEMA,0.0,0.0,0.0,0.0,2.7,134.8,209.2,255.9,123.0,56.1,0.0,0.0
DIOILA,0.0,0.0,0.0,0.0,48.1,89.5,164.7,270.3,222.0,108.0,0.0,0.0
KADIOLO,0.0,0.0,0.0,0.0,105.7,146.1,284.4,283.0,208.3,62.4,0.0,0.0
KANGABA,0.0,0.0,0.0,0.0,212.7,218.6,244.3,278.8,221.2,108.6,0.0,0.0
KATI-HAUT,0.0,0.0,0.0,0.0,46.5,107.6,304.5,430.0,212.5,33.0,0.0,0.0
KATIBOUGOU,0.0,0.0,0.0,0.0,62.4,117.7,263.3,328.7,154.4,93.5,0.0,0.0
KAYES,0.0,0.0,0.0,0.0,0.0,75.8,203.5,209.1,346.1,36.1,0.0,0.0
KE-MACINA,0.0,0.0,0.0,0.0,13.1,106.6,178.1,231.6,154.6,2.9,0.0,0.0
KENIEBA,0.0,0.0,0.0,0.0,27.0,155.3,256.2,279.0,448.4,44.0,0.0,0.0
KITA,0.0,0.0,0.0,0.0,119.6,149.9,193.6,233.1,251.5,20.3,0.0,0.0
KOLOKANI,0.0,0.0,0.0,0.0,7.5,126.0,**,303.7,173.5,52.5,0.0,0.0
KOLONDIEBA,0.0,0.0,22.2,7.6,201.2,129.2,341.2,342.2,248.7,137.0,0.0,0.0
KONOBOUGOU,0.0,0.0,0.0,0.0,70.0,31.0,188.0,232.0,153.0,57.0,0.0,0.0
KORO,0.0,0.0,0.0,0.0,8.3,115.6,233.4,228.4,22.0,63.0,0.0,0.0
KOULIKORO,0.0,0.0,0.0,0.0,37.0,64.0,217.7,348.3,268.4,127.2,0.0,0.0
KOUTIALA,0.0,0.0,3.2,27.2,56.3,77.6,221.5,408.4,212.8,97.2,0.0,0.0
MAHINA,0.0,0.0,0.0,6.0,1.2,101.7,170.1,164.2,256.2,84.6,0.0,0.0
MOPTI,0.0,0.0,0.0,27.8,5.2,93.3,137.7,390.1,75.7,19.6,0.0,0.0
N'TARLA  I.R.C,0.0,0.0,0.0,0.0,30.0,79.5,194.5,282.5,149.5,56.0,0.0,0.0
NARA,0.0,0.4,0.0,3.5,9.1,25.1,132.5,156.8,80.8,7.0,0.0,0.0
NIONO,0.0,0.0,0.0,0.0,37.4,78.5,177.5,442.4,149.8,14.7,0.0,0.0
NIORO DU SAHEL,0.0,0.0,0.0,0.0,26.6,75.6,125.0,302.9,276.8,71.4,0.0,0.0
OUELESSEBOUGOU,0.0,0.0,0.0,0.0,74.0,137.2,359.5,269.0,331.3,101.4,0.0,0.0
SAN,0.0,0.0,0.0,0.4,11.0,128.4,271.2,297.7,155.7,14.3,0.0,0.0
SEGOU,0.0,0.0,0.0,0.3,49.6,105.2,183.9,313.0,121.1,18.3,0.0,0.0
SELINGUE,0.0,0.0,24.1,26.5,92.9,141.3,259.7,320.5,372.0,102.0,0.0,0.0
SIKASSO,0.0,0.0,28.9,8.4,98.4,235.0,259.4,230.9,224.5,104.7,0.0,0.0
SOTUBA,0.0,0.0,0.0,0.0,150.9,87.3,333.7,314.5,174.9,39.2,0.0,0.0
YANFOLILA,0.0,0.0,0.0,0.0,84.9,183.3,205.0,291.3,291.4,134.4,0.0,0.0
YELIMANE,0.0,0.0,0.0,0.2,0.0,38.9,288.3,178.9,167.4,49.8,0.0,0.0
YOROSSO,0.0,0.0,0.0,0.0,112.9,71.1,237.1,355.2,153.1,95.5,0.0,0.0
