Nom,Lon,Lat,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
KOULIKORO,-7.37,12.97,-29997,-29997,-29997,13,3,246,-9882.5,190.7,88.79999999,-19998,-29997,-29997
BAMAKOV,-8.02,12.63,0,0,68.20000002,81.5,79.59999999,364.9000001,338.2,261,199,0,0,-19998
NIORO,-9.6,15.23,0,4.1,0,2.2,87.29999999,121.9,184.5,272.5,30,0,0,0
NARA,-7.28,15.17,0,0,0,5.5,52.7,207.1,107.8,151.5,23.3,0,0,0
YELIMANE,-10.57,15.12,0,0.2,0,0.2,39,-9979,-9940.8,205.9,70.9,0,-19998,-9999
DIEMA,-9.18,14.55,-29997,-29997,-29997,10,7,89,10152,94,32,-19998,-29997,-9999
MOPTI,-4.1,14.52,0,0,0,30.1,62.2,183.5,163.8,95.49999997,28.6,0,0,0
KAYES,-11.43,14.43,0,0,0,5.000000001,80,106.9,239.6,222.3,73.69999999,0,0,0
NIONO,-5.98,14.25,0,0,0,3.8,13,207.8,151.8,194,35,0,3,0
KE-MACINA,-5.37,13.95,-29997,-29997,-29997,0,0,83,-9924,142,60,-19998,-29997,-29997
BAFOULABE,-10.83,13.8,-29997,-29997,-29997,5,136,116,173,130,65,-19994,-29997,-29997
KOLOKANI,-8.03,13.58,-29997,-29997,-29997,21,74,185,224.9,-9738.4,6,-19998,-29997,-29997
BANAMBA,-7.45,13.55,-29997,-29997,-29997,9,40,126,202.3,173,33.2,-19998,-29997,-29997
SEGOU,-6.15,13.4,0,0,1.9,6.6,31.2,118.8,230.5,142.1,27,0,0,0
SAN,-4.9,13.28,0,0,3.3,15.2,63.6,148.7,105.7,121,77.30000001,0,0,0
TOMINIAN,-4.6,13.28,-29997,-29997,-29997,24,11,182,90,103,56,-19998,-29997,-29997
KITA,-9.45,13.07,0,7.5,21.3,21.2,95.89999999,214.6,209.3,164.5,103,0,1,0
BAROUELI,-6.83,13.07,-29997,-29997,-29997,17,12,84,113,52,7.5,-19998,-29997,-29997
BLA,-5.77,12.95,-29997,-29997,-29997,36,68.5,44,-9975,89,44,-19998,-29997,-29997
KATIBOUGOU,-7.53,12.93,-29997,-29997,-29997,89.20000002,36.4,339.9,155,162.8,75.4,-19998,-29997,-9999
KENIEBA,-11.35,12.8,-29997,-29997,-29997,0,59.59999999,196.8,268.5,-9837.1,62,-19998,-29997,-9999
NTARLA ,-5.75,12.7,-29997,-29997,-29997,0,28,182.5,-9789.6,213,83,-19998,-29997,-29997
KATI-HAUT,-8.07,12.73,-29997,-29997,-29997,72,0,62,-9880.3,227.9,111,-19998,-29997,-29997
SOTUBA,-7.93,12.65,-19998,-29997,-29997,68.40000001,45.6,242.2,166.7,133.4,147.2,-19998,-29997,-9999
BAMAKO SENOU,-7.95,12.53,0,0,30.8,92.7,35.9,261.4,405.7,199.7,195.3,0,0,0
BAGUINEDA,-7.78,12.62,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
DIOILA,-6.8,12.48,0,0,8.100000001,27.9,127,279.5,213.8,214.2,54.6,0,0,0
KOUTIALA,-5.47,12.4,0,3,3.3,16.9,103.2,210.4,159.6,136.4,87,0.7,0,0
YOROSSO,-4.78,12.37,-29997,-29997,-29997,43,90,148,222,117,53,-19998,-29997,-29997
OUELESSEBOUGOU,-7.92,11.98,-29997,-29997,-29997,70,81,255,-9795.9,249.4,29.4,-19998,-29997,-29997
KANGABA,-8.42,11.93,-29997,-29997,-29997,0,25,282.2,176.7,-9908.5,20.4,-19998,0,0
BOUGOUNI,-7.5,11.42,0,0,18.2,61.99999999,160.5,381.2,374.2,213.5,96.40000002,1.3,0,0
SIKASSO,-5.68,11.35,0,0.3,20.8,79.80000001,59.8,231.9,247.4,116.7,115.7,0,0,0
YANFOLILA,-8.15,11.18,-29997,-29997,-29997,-9918,61,251,314,140,197,-19995,-29997,-29997
KOLONDIEBA,-6.9,11.1,-29997,-29997,-29997,66,132,407,459,137,143,-19998,0,0
KADIOLO,-5.77,10.55,-29997,-29997,-29997,56,70,313,118,188,55,-19998,-29997,-29997
MAHINA,-10.83,13.73,0,0,0,12.3,94.40000001,222.2,173.4,238.3,117.2,-19998,-29997,-9999
SELINGUE,-8.23,11.65,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
