Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
IRIBA,22.25,15.12,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999,0,-29997
MAO,15.32,14.12,0,0,0,0,41.6,151.8,130,13.1,0,0,0,0
BILTINE,20.92,14.52,0,0,0,0,0,84.3,55.6,43.5,0,0,0,0
AMZOER,21.37,14.22,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999,0,-29997
NGOURI,15.38,13.63,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999,0,-29997
ATI,18.32,13.22,0,0,0,1.7,-29997,-29997,-29997,-29997,-29997,-9999,0,0
DJEDAA,18.58,13.52,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999,0,-29997
OUMHADJ,19.7,13.3,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999,0,-29997
ABECHE,20.85,13.85,0,0,0,7.3,4.2,114.7,189.9,75.6,0,0,0,0
ADRE,22.2,13.47,0,0,1,0,57.1,-29997,-29997,-29997,-29997,-9999,0,-29997
NDJAMENA ,15.03,12.13,0,0,0,1.6,49,102.9,317,128.9,13.8,0,0,0
TOURBA,15.3,12.87,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999,0,-29997
MASSAGUET,15.42,12.5,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999,0,-29997
KOUNDOUL,15.15,11.98,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999,0,-29997
BOKORO,17.05,12.38,0,0,3.5,13,46.6,138.9,91.4,19.1,18.8,0,0,0
DADOUAR,18.45,12.13,-29997,-29997,-9999,18,-29997,-29997,-9770.6,-29997,-29997,-9999,0,-29997
MONGO,18.68,12.18,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999,0,-29997
BARO,18.97,12.2,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999,0,-29997
MANGALME,19.62,12.37,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999,0,-29997
GOZBEIDA,21.42,12.23,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999,0,0
AMDAM,20.48,12.77,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999,0,-29997
MANDALIA,15.25,11.73,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999,0,-29997
MASSENYA,16.17,11.4,0,0,0,48,127.1,186.4,178.5,-29997,-29997,-9999,0,-29997
