STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
ABECHE,0.0,0.0,0.0,0.0,0.0,96.0,35.4,114.3,10.0,0.0,0.0,0.0
ABOU-DEIA,0.0,0.0,2.5,0.7,18.9,92.6,222.0,241.8,166.7,15.7,0.0,0.0
AM-TIMAN,0.0,0.0,0.0,0.0,41.6,192.1,149.4,217.7,201.9,31.8,0.0,0.0
ATI,0.0,0.0,0.0,0.0,5.6,87.7,94.5,172.5,89.5,0.0,0.0,0.0
BA-ILLI,0.0,0.0,0.0,0.0,41.7,153.0,107.5,248.7,327.4,56.5,0.0,0.0
BAIBOKOUM,0.0,0.0,34.5,93.5,126.5,134.0,119.0,268.5,229.5,61.5,29.0,0.0
BAKI-MALARAM,0.0,0.0,0.0,2.7,31.2,54.2,54.2,230.5,215.5,26.5,0.0,0.0
BANDA SONASUT,0.0,0.0,0.0,53.4,121.2,117.5,162.7,154.2,137.5,32.3,0.0,0.0
BANDARO,0.0,0.0,10.3,1.0,16.9,137.8,253.6,247.5,161.6,0.7,0.0,0.0
BAO,0.0,0.0,1.9,21.8,130.8,292.6,262.4,302.7,142.3,38.5,1.6,0.0
BEBEDJIA,0.0,0.0,0.7,15.2,93.7,89.1,314.1,220.4,95.0,0.0,0.0,0.0
BEBOTO,0.0,0.0,0.0,25.5,96.0,159.5,275.5,192.0,103.0,51.0,0.0,0.0
BEKAN,0.0,0.0,4.5,45.5,164.0,142.5,238.0,172.0,140.5,32.5,0.0,0.0
BEKAO,0.0,0.0,15.5,51.4,104.1,165.7,195.3,287.1,176.2,85.8,0.0,0.0
BENOYE S/P,0.0,0.0,0.0,29.0,103.0,286.0,249.0,291.0,134.0,13.0,0.0,0.0
BERE S/P,0.0,0.0,0.0,76.7,120.8,163.0,281.5,251.9,130.3,0.0,0.0,0.0
BILLIAM-OURSY,0.0,0.0,0.0,1.3,28.8,224.1,112.6,277.6,245.5,67.5,0.0,0.0
BILTINE,0.0,0.0,0.0,0.0,18.0,25.1,28.9,196.6,19.8,0.0,0.0,0.0
BITKINE,0.0,0.0,0.0,15.0,17.0,133.4,238.0,167.4,127.4,21.3,0.0,0.0
BOKORO,0.0,0.0,1.7,6.0,17.5,162.7,119.9,287.7,88.5,0.0,0.0,0.0
BONGOR PREFEC.,0.0,0.0,0.0,1.4,76.7,193.2,128.5,329.5,171.1,51.5,0.0,0.0
DADOUAR,0.0,0.0,13.7,4.4,45.8,95.7,308.8,294.8,166.2,0.0,0.0,0.0
DELI,0.0,0.0,5.9,53.4,95.8,162.8,195.7,273.5,162.0,0.0,0.0,0.0
DOBA AERO,0.0,0.0,12.8,41.7,103.3,150.0,167.7,202.4,89.2,12.7,0.0,0.0
DOBA PREFECTUR,0.0,0.0,0.0,0.0,118.0,124.8,183.5,65.3,88.7,15.2,0.0,0.0
DONIA,0.0,0.0,2.9,63.5,93.0,111.2,183.1,425.5,148.4,5.8,0.0,0.0
FIANGA CFPA,0.0,0.0,0.0,15.1,48.8,237.8,114.1,370.5,109.6,0.0,0.0,0.0
GORE,0.0,0.0,0.7,55.4,151.6,166.7,264.4,265.1,67.5,0.0,0.0,0.0
GOUNOU-GAYA,0.0,0.0,2.0,19.5,62.5,167.6,235.4,329.3,148.0,4.8,0.0,0.0
GUELENDENG,0.0,0.0,0.0,10.1,59.3,219.2,92.1,289.7,118.1,16.0,0.0,0.0
HAM,0.0,0.0,0.0,34.1,45.5,160.5,192.9,230.1,234.5,12.0,0.0,0.0
KAIROUAL,0.0,0.0,13.0,3.0,45.5,96.0,108.0,238.5,137.5,20.0,0.0,0.0
KELO CT,0.0,0.0,0.0,2.6,44.8,20.8,217.5,330.3,430.5,29.5,0.0,0.0
KIM,0.0,0.0,0.0,0.0,72.8,131.5,197.4,317.7,239.4,34.0,0.0,0.0
KOUMRA CT,0.0,0.0,4.5,53.2,111.8,166.3,225.2,280.8,164.2,28.0,0.0,0.0
KOUNDJOUROU,0.0,0.0,0.0,0.0,5.6,87.7,94.5,172.5,89.5,0.0,0.0,0.0
KRIM-KRIM,0.0,0.0,0.0,38.5,134.0,174.0,321.0,262.3,279.5,0.0,0.0,0.0
KYABE CT,0.0,0.0,0.0,0.0,109.5,30.5,231.2,107.2,260.6,21.4,0.0,0.0
LAGON,0.0,0.0,9.0,60.4,76.2,162.7,182.7,404.1,231.5,19.5,7.5,0.0
LAI ORSTOM,0.0,0.0,0.5,32.1,158.8,199.2,193.3,228.2,244.7,8.0,13.2,0.0
LAOUKASSY,0.0,0.0,0.0,3.0,132.0,284.9,242.1,213.3,160.8,16.2,0.0,0.0
LARAMANAYE,0.0,0.0,13.5,24.0,177.9,130.5,197.3,214.5,237.7,47.9,61.6,0.0
LERE CT,0.0,0.0,0.0,13.5,135.5,160.5,147.0,344.3,128.9,48.8,0.0,0.0
LERE PREFECTUR,0.0,0.0,0.0,2.9,93.6,138.8,151.3,380.7,138.2,33.5,0.0,0.0
MADANA,0.0,0.0,0.0,56.5,123.0,253.5,86.0,157.0,174.0,7.0,0.0,0.0
MANGALME,0.0,0.0,0.0,0.0,5.0,194.6,255.0,172.0,152.0,8.0,0.0,0.0
MAO,0.0,0.0,0.0,0.0,0.0,75.9,36.4,141.5,0.0,0.0,0.0,0.0
MASSAKORY CLIM,0.0,0.0,0.0,0.0,3.2,71.1,80.5,250.7,43.8,6.6,0.0,0.0
MBALKABRA,0.0,0.0,0.0,19.3,60.7,160.0,254.0,199.7,249.5,16.0,0.0,0.0
MELFI,0.0,0.0,0.0,17.3,73.8,227.7,106.4,72.9,198.6,54.4,0.0,0.0
MOITO,0.0,0.0,2.6,22.2,76.9,209.5,180.4,381.8,198.1,22.0,0.0,0.0
MONGO,0.0,0.0,0.0,15.6,35.9,150.5,330.1,253.8,186.2,0.5,0.0,0.0
MOUNDOU METEO,0.0,0.0,0.0,0.0,150.2,187.6,19.2,213.2,227.1,28.4,0.0,0.0
MOUSSORO,0.0,0.0,0.0,0.0,0.0,0.0,89.0,88.0,0.0,0.0,0.0,0.0
N'DJAMENA AERO,0.0,0.0,0.0,0.0,49.8,58.7,300.7,227.5,74.3,16.2,0.0,0.0
N'DJAMENA CHAG,0.0,0.0,0.0,0.0,15.5,36.5,330.5,167.7,80.4,19.5,0.0,0.0
NGOURA,0.0,0.0,0.0,0.0,10.0,54.9,153.1,191.4,51.2,1.2,0.0,0.0
NOKOU,0.0,0.0,0.0,0.0,0.0,35.0,61.5,145.6,54.5,2.0,0.0,0.0
PALA AERO,0.0,0.0,0.0,0.0,135.3,148.5,158.1,159.8,196.2,32.7,0.0,0.0
PONT-KAROL,0.0,0.0,0.0,31.6,125.5,197.4,166.9,232.0,251.1,42.1,0.0,0.0
SARH METEO,0.0,0.0,0.0,0.0,97.2,177.1,88.0,133.3,30.7,20.9,0.0,0.0
TAPOL,0.0,0.0,9.5,10.5,44.7,183.6,239.6,316.5,140.0,0.0,0.0,0.0
