Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
ARIBINDA,-0.87,14.23,0,0,0,4.4,22.5,45.4,97.6,315.3,40.7,27.7,0,0
BAGUERA,-5.42,10.53,0,0,115,167,105.1,243.6,298,289.8,288,104.2,0,0
BANFORA AGRI,-4.77,10.62,0,0,47.6,25.6,165.9,110.8,315.9,355.6,159.2,119.4,0,0
BANI,-0.17,13.72,0,0,0,12,52,99,90,140.5,54.5,9.5,0,0
BARABOULE,-1.85,14.22,0,0,0,7.5,22.8,52.6,142.6,167.7,58,16.6,0,0
BARSALOGHO,-1.07,13.42,0,0,0,9.5,15,118.7,130.9,179,126.3,37.1,0,0
BATIE,-2.92,9.88,0,0,73.8,26.8,95,242.2,211.8,446.7,189.5,55,0,0
BEREBA,-3.68,11.62,0,0,3.6,0.7,14.3,84.4,138.7,300.5,68.2,48.5,0,0
BEREGADOUGOU,-4.73,10.75,0,0,74.2,4.1,126.9,141.6,182,386.4,118.9,73.7,0,0
BETARE,-1.37,11.43,0,0,7.7,29.1,71.6,168.6,369,356.7,229.5,74.7,0,0
BILANGA,-0.02,12.55,0,0,18.1,-29997,49.3,269.1,182.4,194.6,145.9,50.9,0,0
BOMBOROKUY,-3.98,13.05,0,0,15,26.6,10.2,89,128.1,241,110.8,60.5,0,0
BONDOUKUY,-3.77,11.85,0,0,0,17.5,52.7,155.3,142.6,426,171,64.6,0,0
BOTOU,2.05,12.67,0,0,0,0,77.5,46.6,122.3,158.6,123.5,0,0,0
BOULBI,-1.53,12.23,0,0,0,0,35.3,91.7,244,236.7,136.8,105.1,0,0
BOULSA,-0.57,12.65,0,0,0,8.5,35.7,115.1,222,129.7,134.1,17.2,0,0
BOURA,-2.5,11.05,0,0,16,11.3,26.7,174.4,303.9,267.8,124.6,24.5,0,0
BOURZANGA,-1.55,13.68,0,0,0,5.2,33.8,112.1,173.2,233.3,55.9,27.3,0,0
BOUSSE,-1.88,12.67,0,0,0,6.5,42,178.8,199.5,194,153.1,29.3,0,0
DAKIRI,-0.23,13.28,0,0,0,0,24.4,268.1,284.6,243.5,57.7,0,0,0
DI-SOUROU,-3.42,13.17,0,0,0,5.4,14.5,108.7,144.2,211.2,60.5,47.5,0,0
DIALGAYE,-0.38,11.97,0,0,0,0,80,114,245.2,234.9,241.5,68.8,0,0
DIAPAGA,1.78,12.07,0,0,0,37.7,58.7,151.1,286,161.2,161.7,50.5,0,0
DIDYR,-2.62,12.57,0,0,0,0,0,102.9,161.4,304.6,62.1,77.4,0,0
DIEBOUGOU,-3.25,10.97,0,0,36.5,0,85.5,261.8,179.3,213.8,272.4,41.5,0,0
DISSIN,-2.93,10.93,0,0,22,8,63.3,161.3,221,350.5,376,35.5,0,0
DJIBO,-1.62,14.1,0,0,0,0,5.3,79.7,118.3,179.5,76.4,69.3,0,0
