STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
ARIBINDA,0.0,0.0,1.9,0.0,6.4,102.4,137.9,82.6,56.7,6.0,0.0,0.0
BAGUERA,0.0,5.4,0.0,0.0,99.8,118.3,196.0,465.1,305.1,105.0,16.9,0.0
BANFORA AGRI,0.0,0.0,8.4,6.9,127.6,96.5,236.8,278.3,218.6,98.8,0.0,0.0
BARABOULE,0.0,0.0,0.0,0.0,16.2,117.5,113.5,223.2,63.0,48.9,0.0,0.0
BARSALOGHO,0.0,0.0,0.0,0.0,4.0,116.5,106.0,205.5,149.3,45.4,0.0,0.0
BEREBA,0.0,0.0,0.0,0.0,19.3,39.6,202.5,326.2,224.6,60.0,3.0,0.0
BEREGADOUGOU,0.0,0.0,0.8,0.6,107.8,131.7,128.5,186.9,237.5,132.0,9.6,0.0
BETARE,0.0,17.9,0.0,6.3,115.1,190.5,236.2,359.8,236.8,135.8,0.0,0.0
BILANGA,0.0,0.0,0.0,4.1,19.3,85.5,266.6,349.2,123.1,22.0,0.0,0.0
BITOU,0.0,0.0,0.0,20.8,53.3,114.4,90.7,407.4,138.7,39.9,0.0,0.0
BOBO-DIOULASSO,0.0,0.1,12.1,0.0,38.9,94.7,228.2,291.8,429.3,64.3,13.7,0.0
BOGANDE,0.0,0.0,0.0,0.0,24.1,71.4,127.0,168.9,152.9,39.2,0.0,0.0
BOMBOROKUY,0.0,0.0,0.0,0.0,5.0,85.9,258.7,234.0,145.7,73.9,0.0,0.0
BONDOUKUY,**,0.0,0.0,0.0,26.5,105.9,179.4,237.4,223.5,82.7,0.0,0.0
BOROMO,0.0,1.9,1.9,0.0,16.1,93.4,145.9,328.1,195.4,49.0,1.1,0.0
BOTOU,0.0,0.0,0.0,0.0,15.7,51.3,195.6,308.6,129.1,0.0,0.0,0.0
BOULBI,0.0,0.0,0.0,5.9,2.3,95.5,127.9,316.4,154.9,**,**,**
BOULSA,0.0,1.1,0.0,0.0,3.2,165.2,164.7,307.8,141.0,71.3,0.0,0.0
BOURA,0.0,0.0,0.0,0.0,66.9,67.1,129.2,155.3,228.6,51.4,0.0,0.0
BOUROUM,0.0,0.0,0.0,0.0,5.5,71.5,155.6,153.8,120.1,23.9,0.0,0.0
BOURZANGA,0.0,0.0,0.0,0.0,0.0,44.2,112.1,196.8,146.1,29.8,0.0,0.0
