Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
ABALA,3.43,14.95,0,0,0,6,0,36.9,67.6,39.7,132.6,2.2,0,0
ABALAK,6.25,15.47,0,0,0,0,20,64.7,66.8,124.8,69.8,0,0,0
ADERBISSINAT,7.85,15.62,0,0,0,0,2.3,16.4,115.7,74,5,6.5,0,0
ADJE KORIA,6.78,14.33,0,0,0,0,0,73.5,87.9,214.2,85.4,4,0,0
ADJIRI,13,14.5,0,0,0,0,56,-29997,133.5,177.3,-29997,-19998,0,0
AGADEZ,7.98,16.97,0,0,0,0,0.3,6.4,124.9,49.3,13.8,0,0,0
AGUIE,7.77,13.50,0,0,0,0.5,4.4,47.2,275.1,102.2,73.2,25.6,0,0
AKOKAN,1.58,13.92,0,0,0,0,0,0,35.2,44.7,11.2,0,0,0
AREWA(MADAOUA,5.8838,14.0506,0,0,0,0,3,57.8,61.5,141,65.2,39,0,0
ARLIT,7.33,18.50,0,0,0,0,0,0,75,46.8,62,7,0,0
ATCHIDA KOFATO,6.92,13.43,0,0,0,0,2.6,72.1,158.7,112,144.3,-29997,0,0
AYOROU,0.85,14.75,0,0,0,0,0,38.1,70.3,41.5,95,20,0,0
B.NGAOURE(AG),2.883,13.067,0,0,0,0,52,105,108.6,220.7,92.8,9,0,0
BADEGUICHIRI,5.37,14.52,0,0,0,0,21.1,88,115.3,100.5,110.7,12.6,0,0
BAGAROUA,3.30,14.12,0,0,0,0,7.8,43,107,130.4,76.9,13.5,0,0
BAKIN-BIRGI,8.78,14.27,0,0,0,0,0,-9996.1,-9956,-19965,-9932,-19975,0,0
BALLEYARA,2.97,13.77,0,0,0,9.5,12.6,66.3,113.7,120.3,98.4,8,0,0
BALLEYARA . A,2.97,13.77,0,0,0,9.6,31,72,109.5,116,106.5,9.5,0,0
BAMBEYE,5.08,14.72,0,0,0,4.1,41.5,60.6,54.7,111.6,61.1,15,0,0
BANDE HAOUSSA,8.88,13.18,0,0,0,7.2,8.5,48.5,153,-9842,107.5,0,0,0
BANGUI,6.10,13.72,0,0,0,26,63.5,48.5,164.5,192.2,60.5,43.8,0,0
BANIBANGOU,2.50,15.05,0,0,0,0,1,59.9,90.5,43.5,37,1.5,0,0
BANKILARE,0.72,14.57,0,0,0,0,1,41.4,161.9,59.8,60.9,22.1,0,0
BELBEDJI,8.07,14.65,0,0,0,0,25.7,27,165.4,124.7,68.1,0,0,0
BENGOU,3.57,11.98,0,0,0,2.9,81.2,144.5,161.6,231.9,102.9,98.7,0,0
BERMO,6.684167,14.674167,0,0,0,0,0,69.2,142.6,151.5,24.9,7.2,0,0
BEYLANDE,2.87,12.75,0,0,0,0,7.3,110.4,67.2,183.3,55.3,72.5,0,0
BILMA,12.92,18.68,0,0,0,0,0,2.4,4.8,2.9,0.5,0,0,0
BIRNI NGAOUR,2.90,13.08,0,0,0,0,56.5,87.5,105.5,208,63,13,0,0
BIRNI NKAZOE,10.00,14.18,0,0,0,0,0,39,223.6,148.3,53.1,28.5,0,0
BIRNI NKONNI,5.28,13.80,0,0,0,14.6,6,106.8,162.9,195.9,79.1,61.4,0,0
BONKOUKOU,3.07,14.00,0,0,0,8.7,35.5,62.7,172,93.4,131.3,33,0,0
BOSSO,13.32,13.72,0,0,0,0,0,40,97.6,162,40,0,0,0
BOUTTI,11.33,13.65,0,0,0,0,0,8.3,124.6,81.7,53.1,0,0,0
BOUZA,6.05,14.42,0,0,0,0.5,6.2,92.5,84,186,15.5,30,0,0
CHADAKORI,6.98,13.73,0,0,0,0,2.7,111.2,90.3,142.6,76.9,47.9,0,0
CHETIMARI,12.50,13.30,0,0,0,0,0,18.5,181.2,201.4,112.5,12.5,0,0
CHIKAL,3.43,14.42,0,0,0,0,0,56.5,173.8,112.7,51,0,0,0
DAIKAINA,1.48,14.18,0,0,0,0,0,51.9,117.9,195.9,73.3,9.3,0,0
DAKORO,6.75,14.52,0,0,0,0,0,55.2,118.1,192.5,37.3,7,0,0
DAMAGARAM-TAKAYA,9.47,14.17,0,0,0,0,6.7,43.7,163.1,220.8,67.5,1.7,0,0
DAMANA,3.067,13.900,0,0,0,4,22.5,63,131.5,139.5,89,19.3,0,0
DAN BARTO,8.33,13.17,0,0,0,5.6,22.2,83.6,229.6,157.7,133.5,25,0,0
DAN ISSA,7.25,13.17,0,0,0,37.3,34.6,85.3,223.8,149,42.7,54.9,0,0
DAN MEIRO,7.32,13.88,0,0,0,0,-19984,-9958.6,-9930.4,-29997,-29997,-19973.8,0,0
DAN TCHIAO,9.08,12.87,0,0,0,1,4,54.5,-9950.5,-19998,-9969,0,0,0
DANGONA,5.02,14.27,0,0,0,0,27,72.5,63.4,179.1,89,0,0,0
DANKOULOU,5.02,14.27,0,0,0,-9999,-19995,-9923,33,122,84,0,0,0
DANTCHANDOU,2.75,14.40,0,0,0,0,0,69.8,88.5,183.9,61.2,28.1,0,0
DARGOL,1.82,13.92,0,0,0,0,0,79.1,85.2,155.5,32.5,14.1,0,0
DIFFA,12.62,13.42,0,0,0,0,0.1,12.2,141.3,162.6,59.6,8.9,0,0
DIOUNDIOU,3.53,12.55,0,0,0,0,41.4,180.8,175,322,79.4,36.4,0,0
DJIRATAWA,7.13,13.40,0,0,0,0,51.8,92.4,144.5,269.5,30.5,36.5,0,0
DODORI,8.23,13.30,0,0,0,0,6,51.5,363.5,197.5,83.5,73,0,0
DOGONDOUTCHI,4.00,13.63,0,0,0,5.2,10,111.5,42.9,218.3,71.3,29.7,0,0
DOGONKIRIA,4.35,14.07,0,0,0,13,39.5,53.5,98.5,219,96.8,14,0,0
DOLBEL,0.28,14.68,0,0,0,0,2.8,94.8,244,68.9,24.6,0,0,0
DOSSO,3.18,13.02,0,0,0,0,47.9,126.9,59.7,265.5,68.3,22,0,0
DOUKOU-DOUKOU,6.32,13.85,0,0,0,0,19,13,167.6,100.7,21.2,35,0,0
DROUM MALORI,9.32,13.57,0,0,0,0,2,82,-19988,-19938,-19998,-29997,0,0
DUNGASS,9.33,13.07,0,0,0,0,0,124.6,113.2,130.3,95.2,8.7,0,0
FALMEY,2.85,12.53,0,0,0,0,15.5,197,150.3,250,152.5,40,0,0
FALOUEL,3.58,13.52,0,0,0,0,11,165.2,131.1,226.4,31.4,21.2,0,0
FANDOU MAYAKI,2.88,13.85,0,0,0,0,17.3,84.9,120.5,110.3,84.5,30,0,0
FILINGUE,3.32,14.35,0,0,0,6,14.5,40.5,184,105.5,58.5,12.5,0,0
GABAOURI,6.12,15.03,0,0,0,0,0,97.8,144.5,-19982,-19998,0,0,0
GABI MAYAKI,7.05,13.23,0,0,0,5,32.5,89,192.5,-9768.8,-19998,0,0,0
GALMA.SEDENT.,5.8,14.08,0,0,0,0,2.4,102.5,90.5,191.5,93,3.5,0,0
GALMI,5.5,13.97,0,0,0,25,7,55.7,44.9,144.2,97.9,25.6,0,0
GARADOUME,5.8888,14.3679,0,0,0,24.5,27.5,122,62,-9912,-19998,0,0,0
GARAGOUMSA,8.382098198,13.6739042,0,0,0,0,0,-19989.1,74.6,-29997,-9952,27,0,0
GARHANGA,5.77,14.55,0,0,0,9.5,15.3,111,142,225,13,33,0,0
GAYA,3.45,11.88,0,0,4.4,0,131.7,146.4,173.9,216.5,73.8,121.5,0,0
GAYA.AGRI,3.45,11.88,0,0,4.4,0,152,152.5,174.4,185.3,76.1,123.8,0,0
GAZAOUA,7.92,13.85,0,0,0,0,8,93.5,236.5,103.3,80,31.7,0,0
GOTHEYE,1.58,13.82,0,0,0,16.2,0,45.7,98.9,237.8,59.3,13.2,0,0
GOUBE,2.070556,13.867778,0,0,0,8,0,54,57.8,159.5,73.8,0,0,0
GOUDOUMARIA,11.17,13.72,0,0,0,0,0,31.6,174.6,179.3,107.1,0.1,0,0
GOULA,7.23,14.65,0,0,0,-9999,-29997,-19981.7,77.1,-9883,-9963.7,-29997,0,0
GOURE (PTT),10.30,13.98,0,0,0,0,7,69.7,155.6,115.1,88.7,23.2,0,0
GUECHEME,3.88,12.92,0,0,0,0,24,140.5,94,133,31,121.5,0,0
GUESKEROU,12.85,13.60,0,0,0,0,0,0,151,119,30.5,0,0,0
GUIDAM ROUMDJI,6.77,13.67,0,0,0,0,30.2,69.5,156.5,119.9,58.7,40.9,0,0
GUIDAN IDDER,5.32,14.02,0,0,0,0,10,97.3,109.2,160.5,68.4,27.7,0,0
GUIDIGUIR,9.83,13.67,0,0,0,0,3.5,87.3,148.2,141,123,40,0,0
GUIDIMOUNI,9.55,13.68,0,0,0,0,3,59,-9958,-29997,98,0,0,0
HAMDALLAYE,2.40,13.55,0,0,0,0,5.5,28,81.5,179.5,70.3,29.5,0,0
IFEROUANE,8.38,19.08,0,0,0,0,0,0,19.4,53.6,18.6,12,0,0
ILLELA,5.25,14.47,0,0,0,0,7.5,94.5,99,206.5,103.4,22,0,0
IN GALL,6.90,16.78,0,0,0,0,18,53.5,103.6,87.2,11,0,0,0
KALA-PATE (IRAT),2.93,13.23,0,0,0,0,84,92,127.6,292,125.4,17,0,0
KANEMBAKATCHE,7.92,13.52,0,0,0,0,3,42.8,27.6,-9904.2,-9992.3,-19996,0,0
KANTCHE,6.15,14.30,0,0,0,2.7,23.2,63.8,246.7,131.3,90.3,59.4,0,0
KAO,5.75,15.23,0,0,0,0,15.4,65.8,63.3,77.5,34.2,0,0,0
KAOURA-ABDOU,5.37,14.5,0,0,0,0,0,64,91,91,32,9,0,0
KARA - KARA,3.63,12.80,0,0,0,0,36,161.3,196,220,40,57,0,0
KARMA,1.82,13.67,0,0,0,20,10,57,127,179,107,0,0,0
KAROUFANE,6.150,14.300,0,0,0,8,1.5,32,132,-9929,-19998,0,0,0
KEITA,5.77,14.77,0,0,0,0,17,94.8,144.2,261,136.4,28.1,0,0
KILAKAM,11.73,13.55,0,0,0,0,2.2,37,96.1,-29997,77.9,-29997,0,0
KOLO,2.35,13.30,0,0,0,0,8,69.7,111.5,206.7,138.3,40.8,0,0
KONA,8.07,13.57,0,0,0,0,13.5,91.5,117.5,142,87,13.5,0,0
KORE MAIROUA,3.95,13.33,0,0,0,15,26.5,120,67.9,218.9,36,18,0,0
KORGOM,8.42,13.45,0,0,0,0,0,78.3,172.7,160.1,70.4,38.7,0,0
KOURE,2.57,13.30,0,0,0,0,0,48,59,148,60,0,0,0
KOYGOLO,3.017,13.483,0,0,0,0,0,75.2,97.5,-9832.5,83,13,0,0
LABA(VILLAG),5.94,14.6224,0,0,0,0,0,139.7,-19942.6,356.6,184.6,15,0,0
LIDO,3.733,12.900,0,0,0,0,14,67.6,98.7,290.8,44.3,-29997,0,0
LOGA,3.23,13.60,0,0,0,35,40.8,67.9,150,153,44,18.2,0,0
MADAOUA,5.98,14.12,0,0,0,8.8,18.2,44,110.5,247.7,66.8,35,0,0
MADAROUNFA,7.15,13.32,0,0,0,19.2,57.2,76.5,223.1,227.9,60.3,45.2,0,0
MAGARIA,8.93,12.98,0,0,0,7.6,25.9,106.8,88.6,217.1,127.8,28.3,0,0
MAGARIA-MAKER,5.786381,14.02311,0,0,0,0,55.7,84.8,109.6,203.2,83.3,39.9,0,0
MAINE SOROA,11.98,13.23,0,0,0,0,0,62.6,166.2,155.1,93.9,0,0,0
MAKALONDI .AG,1.68,12.82,0,0,0,26,64.4,150,135,381,165.7,26,0,0
