STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
ABALA,**,**,**,**,0.0,21.0,102.5,118.0,48.5,0.0,**,**
ABALAK,**,**,**,**,0.0,5.5,60.8,73.2,33.3,10.0,**,**
ADERBISSINAT,**,**,**,**,0.0,28.3,21.7,77.3,29.3,0.0,**,**
ADJE KORIA,**,**,**,**,0.0,43.7,46.4,73.8,110.6,0.0,**,**
AGADEZ,**,**,**,**,0.0,2.2,78.0,114.6,13.8,0.0,**,**
AGUIE,**,**,**,**,0.0,5.5,75.5,166.1,121.5,0.0,**,**
ALBERKARAM_MYR,**,**,**,**,0.0,19.1,135.8,173.0,126.5,0.0,**,**
ALLELA,**,**,**,**,0.0,29.0,135.2,94.9,69.7,0.0,**,**
ARLIT,**,**,**,**,0.0,9.5,4.0,46.9,8.0,0.0,**,**
ARZERORI(NOMAD,**,**,**,**,0.0,60.0,146.0,288.7,98.0,0.0,**,**
AYOROU_PT,**,**,**,**,0.0,64.5,128.5,208.5,48.0,39.0,**,**
AYOUROU PA,**,**,**,**,0.0,52.5,131.5,222.5,43.5,44.0,**,**
BADEGUICHIRI,**,**,**,**,0.0,34.5,115.2,69.3,35.4,13.0,**,**
BAGAGI,0.0,0.0,0.0,0.0,0.0,54.8,140.4,168.1,53.9,0.0,0.0,0.0
BAGAROUA,**,**,**,**,0.0,18.2,80.2,194.2,17.5,0.0,**,**
BALLEYARA,**,**,**,**,0.0,66.5,157.0,140.4,60.5,25.0,**,**
BANA PLUVIO,**,**,**,**,12.5,18.0,138.5,308.7,267.0,30.5,**,**
BANDE HAOUSSA,**,**,**,**,0.0,0.0,135.0,189.1,89.5,0.0,**,**
BANGUI,0.0,0.0,0.0,0.0,7.8,42.0,144.2,213.2,134.1,19.0,0.0,0.0
BANIBANGOU,0.0,0.0,0.0,0.0,0.0,1.6,106.5,73.1,49.2,0.0,0.0,0.0
BANKILARE,0.0,0.0,0.0,0.0,0.0,65.0,116.2,170.5,50.6,37.3,0.0,0.0
BELBEDJI,0.0,0.0,0.0,0.0,0.0,21.0,62.2,72.5,35.0,0.0,0.0,0.0
BENGOU_INRAN,0.0,0.0,0.0,0.0,19.3,53.5,184.7,280.0,236.0,12.0,0.0,0.0
BERMO,0.0,0.0,0.0,0.0,0.0,15.0,87.8,72.5,49.1,11.5,0.0,0.0
BEYLANDE,**,**,**,**,0.0,88.7,73.2,323.3,110.0,0.0,**,**
BILMA,**,**,**,**,0.0,0.0,0.4,6.6,0.3,0.0,**,**
