STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
AB-TOUYOUR,0.0,0.0,0.0,75.7,55.3,160.0,115.9,260.8,239.0,26.9,0.0,0.0
ABECHE,0.0,0.0,0.0,0.0,0.0,13.7,14.0,225.3,6.5,16.2,0.0,0.0
ABOU-DEIA,0.0,0.0,0.0,14.5,8.5,171.1,87.7,219.2,130.6,6.7,0.0,0.0
ADRE,0.0,0.0,0.0,0.0,0.0,21.7,122.3,75.1,38.5,8.5,0.0,0.0
AM TIMAN CT,0.0,0.0,0.0,0.0,26.8,188.5,129.6,182.1,121.7,182.1,0.0,0.0
AM-DJAMENA BIL,0.0,0.0,0.0,0.0,27.0,11.0,150.0,309.0,81.0,10.0,0.0,0.0
AM-TIMAN,0.0,0.0,0.0,0.0,62.4,123.3,90.9,69.5,238.2,3.5,22.6,0.0
ATI,0.0,0.0,0.0,0.0,6.9,59.2,163.5,168.0,14.0,0.0,0.0,0.0
BAIBOKOUM,0.0,0.0,0.0,70.1,120.3,102.7,275.8,334.6,463.0,98.0,35.3,0.0
BAINAMAR,0.0,0.0,0.0,10.5,117.0,133.4,228.0,126.5,208.0,141.0,0.0,0.0
BANDA SONASUT,0.0,0.0,0.0,0.0,41.8,125.5,36.0,77.5,188.5,161.0,2.5,0.0
BANDARO,0.0,0.0,0.0,16.3,14.3,66.0,35.0,61.3,25.9,20.5,0.0,0.0
BEBEDJIA,0.0,0.0,0.0,0.0,0.0,38.0,106.4,1.8,31.3,42.1,0.0,0.0
BEBORO,0.0,0.0,0.0,45.0,64.7,40.7,67.3,9.7,162.9,67.3,38.0,0.0
BEDAYA CFPA,0.0,0.0,14.0,14.8,84.3,113.4,98.7,14.0,44.8,50.6,0.0,0.0
BEDJONDO,0.0,0.0,0.0,0.0,148.0,95.5,53.5,94.0,119.5,35.0,0.0,0.0
BEKAMBA,0.0,0.0,0.0,24.9,107.5,43.6,58.3,29.5,62.1,57.6,0.0,0.0
BEKAN,0.0,0.0,2.0,22.5,131.5,124.5,328.5,241.0,204.0,114.5,0.0,0.0
BENOYE ONDR,0.0,0.0,0.0,75.0,127.0,131.5,439.5,333.7,247.4,64.8,1.0,0.0
BESSADA,0.0,0.0,0.0,2.6,136.8,115.0,168.9,11.2,259.3,143.9,7.6,0.0
BILLIAM-OURSY,0.0,0.0,0.0,0.0,33.2,101.9,213.6,223.0,97.3,39.2,0.0,0.0
BILTINE,0.0,0.0,0.0,0.0,0.0,21.0,38.0,220.7,114.5,0.0,0.0,0.0
BITKINE,0.0,0.0,0.0,0.0,42.4,165.4,29.0,46.0,108.4,40.3,0.0,0.0
BOKORO,0.0,0.0,0.0,0.0,1.6,64.2,275.9,259.1,83.0,0.0,0.0,0.0
BOL BERIM,0.0,0.0,0.0,0.0,9.2,3.6,154.7,354.7,77.2,0.0,0.0,0.0
DADOUAR,0.0,0.0,0.0,0.0,31.0,78.5,114.5,231.3,191.2,0.0,0.0,0.0
DANMADJI,0.0,0.0,0.0,47.5,29.6,226.6,38.0,61.5,14.0,0.0,0.0,0.0
DELEP,0.0,0.0,0.0,0.0,6.3,55.4,154.9,332.2,208.4,1.8,0.0,0.0
DELI,0.0,0.0,0.0,26.4,122.2,134.1,238.7,211.1,231.3,46.6,0.0,0.0
DEMBO,0.0,0.0,0.0,26.4,64.0,47.0,304.2,117.8,255.1,83.0,18.5,0.0
DIBININTCHI,0.0,0.0,0.0,0.0,0.0,0.0,30.0,83.5,28.5,28.0,0.0,0.0
DJIGUIDADA,0.0,0.0,0.0,0.0,0.0,0.0,79.5,196.0,76.5,11.0,0.0,0.0
DOBA PREFECTUR,0.0,0.0,0.0,36.3,171.7,204.2,253.7,141.6,195.6,0.0,0.0,0.0
DONIA,0.0,0.0,13.4,0.0,101.5,71.9,306.6,149.0,138.2,43.6,20.1,0.0
DOURBALI,0.0,0.0,0.0,0.0,0.0,37.0,95.0,20.0,48.0,0.0,0.0,0.0
FIANGA CFPA,0.0,0.0,0.0,55.5,103.5,166.7,257.4,269.5,179.9,51.7,0.0,0.0
GASSI,0.0,0.0,0.0,0.0,21.0,131.0,75.0,280.5,22.5,0.0,0.0,0.0
GOUNOU-GAYA,0.0,0.0,0.0,55.5,97.5,166.7,245.7,231.7,170.9,0.0,0.0,0.0
GUELENDENG,0.0,0.0,0.0,6.5,17.1,90.0,161.2,247.7,248.8,41.2,0.0,0.0
HARAZE-MANGUEI,0.0,0.0,0.0,29.9,44.8,129.3,214.6,304.2,86.4,101.6,0.0,0.0
KOUMRA S/P,0.0,0.0,0.0,38.4,110.9,88.4,334.8,316.5,175.1,131.1,0.0,0.0
KOUNDOUL,0.0,0.0,0.0,15.0,19.1,47.3,106.1,241.0,176.4,70.3,0.0,0.0
KYABE CT,0.0,0.0,0.0,0.0,42.9,63.1,183.0,293.0,187.6,137.1,0.0,0.0
KYABE ONDR,0.0,0.0,0.0,2.3,50.6,142.7,192.6,289.6,294.2,124.3,0.0,0.0
LERE PREFECTUR,0.0,0.0,0.0,0.0,56.5,140.4,320.9,247.7,183.1,68.7,0.0,0.0
MANGALME,0.0,0.0,0.0,0.0,26.0,102.6,170.9,536.0,85.0,0.0,0.0,0.0
MAO,0.0,0.0,0.0,0.0,11.0,0.0,80.5,135.0,58.3,43.0,0.0,0.0
MARO,0.0,0.0,0.0,19.0,74.0,157.1,312.3,215.6,222.8,139.3,12.0,0.0
MASSAKORY CLIM,0.0,0.0,0.0,0.0,28.2,65.3,117.8,260.1,155.9,17.5,0.0,0.0
MASSENYA,0.0,0.0,0.0,0.0,0.0,60.2,134.7,317.1,347.8,22.7,0.0,0.0
MELFI,0.0,0.0,0.0,0.0,74.5,88.5,198.3,270.9,252.9,4.1,0.0,0.0
MOISSALA S/P,0.0,0.0,4.0,32.1,85.9,218.9,201.6,334.9,133.6,97.4,21.1,0.0
MOITO,0.0,0.0,2.1,0.9,170.8,14.2,67.0,1.2,95.0,78.2,0.0,0.0
MOMBAROUA,0.0,0.0,0.0,0.0,3.0,17.0,191.5,311.7,110.5,21.0,0.0,0.0
MOUNDOU METEO,0.0,0.0,0.0,26.3,122.7,231.9,231.5,273.7,192.6,33.6,0.0,0.0
MOUSSORO,0.0,0.0,0.0,0.0,2.0,0.5,113.8,135.8,22.4,56.5,0.0,0.0
N'DJAMENA AERO,0.0,0.0,0.0,0.0,4.4,31.6,271.9,334.1,195.0,0.0,0.0,0.0
NGALO,0.0,0.0,0.0,0.0,57.5,105.0,135.0,110.5,234.0,0.0,0.0,0.0
NGOURA,0.0,0.0,0.0,0.0,3.0,16.0,105.2,308.8,82.5,18.7,0.0,0.0
NGOURI,0.0,0.0,0.0,0.0,0.0,0.0,71.0,132.0,82.5,55.0,0.0,0.0
OUM-HADJER,0.0,0.0,0.0,0.0,18.4,21.5,67.5,344.3,321.5,0.0,0.0,0.0
PALA AERO,0.0,0.0,3.2,17.6,75.9,113.5,208.5,192.5,287.9,70.6,21.2,0.0
SARH METEO,0.0,0.0,0.0,11.4,108.7,218.7,292.2,297.4,300.3,161.8,2.5,0.0
TOURBA,0.0,0.0,0.0,0.0,0.0,40.5,186.7,130.7,49.7,0.0,0.0,0.0
