Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
IRIBA,22.25,15.12,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MAO,15.32,14.12,0,0,0,0.2,-29997,-29997,-19900.5,-9999,-29997,-29997,-29997,-29997
BILTINE,20.92,14.52,-29997,-29997,-29997,-19998,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
AMZOER,21.37,14.22,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
NGOURI,15.38,13.63,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
ATI,18.32,13.22,-29997,-29997,-29997,-9999,-19996.1,-9913.8,137.4,-9945.7,-29997,-29997,-29997,-29997
DJEDAA,18.58,13.52,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
OUMHADJ,19.7,13.3,-29997,-29997,-9977.5,20,0,93,237.6,-29997,-29997,-29997,-29997,-29997
ABECHE,20.85,13.85,-29997,-29997,-29997,-9999,16.8,10,208.9,-19957.6,-29997,-29997,-29997,-29997
ADRE,22.2,13.47,0,0,0,18.9,5.3,-29997,-29997,-29997,-29997,-29997,-29997,-29997
NDJAMENA ,15.03,12.13,0,0,0,26.9,4.6,123,188.3,72.4,-29997,-29997,-29997,-29997
TOURBA,15.3,12.87,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MASSAGUET,15.42,12.5,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
KOUNDOUL,15.15,11.98,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BOKORO,17.05,12.38,-29997,-29997,-29997,-9998.9,48.6,-19979.9,77.3,-19909.9,-29997,-29997,-29997,-29997
DADOUAR,18.45,12.13,-29997,-29997,-9995,9,22,108.6,189.8,-29997,-29997,-29997,-29997,-29997
MONGO,18.68,12.18,0,4,9.4,0.4,47.3,101.4,240,-9890.8,-29997,-29997,-29997,-29997
BARO,18.97,12.2,0,0,0,21.8,13.6,83.3,243.2,-29997,-29997,-29997,-29997,-29997
MANGALME,19.62,12.37,0,0,0,9,51.5,151.5,-29997,-29997,-29997,-29997,-29997,-29997
GOZBEIDA,21.42,12.23,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
AMDAM,20.48,12.77,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MANDALIA,15.25,11.73,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MASSENYA,16.17,11.4,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MELFI,17.93,11.07,-29997,-29997,-29997,-9960.2,70.4,91.9,-29997,-29997,-29997,-29997,-29997,-29997
BITKINE,18.22,11.98,0,0,23,33.5,45.5,94,136.8,-29997,-29997,-29997,-29997,-29997
ABOUDEIA,19.28,11.48,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
AMTIM,20.28,11.03,-29997,-29997,-9999,38.2,123.3,-19927.8,164.5,171.7,-29997,-29997,-29997,-29997
BILLIAM,15.25,10.58,0,0,1.2,-29997,-9967.3,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BONGOR ,15.37,10.28,-29997,-29997,-29997,-9997.2,-19946.7,89.8,230.5,-9834.8,-29997,-29997,-29997,-29997
GUELENDE,15.55,10.92,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BAILLI,16.43,10.52,0,0,11,16.3,124.5,112.7,183,-29997,-29997,-29997,-29997,-29997
BOUSSO,16.72,10.48,-29997,-29997,-29997,-9989.7,25,-19951.5,199.2,-19922.6,-29997,-29997,-29997,-29997
DAGUELA,18.45,10.73,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
HARAZEM,21.32,10.5,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
LERE,14.15,9.63,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BADJE,14.58,9.15,0,0,0,72.5,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
PALA ,14.92,9.37,-29997,-29997,-29997,-19979.6,-9904.8,-19979.8,156.9,228.2,-29997,-29997,-29997,-29997
TORROCK,15.02,9.67,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
TIKEM,15.05,9.82,-29997,-29997,-9982,70,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
KAIROUAL,15.15,9.48,0,0,42,59.7,231.4,60.3,289.4,-29997,-29997,-29997,-29997,-29997
FIANGA ,15.13,9.93,0,0,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
KELO ,15.77,9.32,0,0,23.7,90.2,135,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BERE,16.15,9.32,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
DOHER ,16.28,9.05,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
LAI,16.3,9.4,-29997,-29997,-29997,-19984.8,-19975.3,-29997,-29997,-29997,-29997,-29997,-29997,-29997
GUIDARI,16.67,9.27,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
DONOMA,16.92,9.23,-29997,-29997,-29997,-29997,-9878.5,-29997,-29997,-29997,-29997,-29997,-29997,-29997
TALIA,17.85,9.4,0,0,1,53.4,124.9,-29997,-29997,-29997,-29997,-29997,-29997,-29997
SARH ,18.38,9.15,0,-29997,-9996.8,-29997,-9917.1,159.1,335.3,165.3,-29997,-29997,-29997,-29997
KYABE ,18.93,9.43,0,9.5,40,68.5,115.1,273.4,-29997,-29997,-29997,-29997,-29997,-29997
BAINAMAR,15.38,8.67,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
DELI,15.87,8.72,0,5,20.5,112,122.7,168.3,-19893.5,-29997,-29997,-29997,-29997,-29997
BEKOUROU,17.5,8.12,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MOUNDOU ,16.07,8.62,0,-29997,-9999,72.9,163,187.8,207.3,-9864.9,-29997,-29997,-29997,-29997
DONIA,16.42,8.4,0,0,78.4,89.5,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BEBEDJIA,16.57,8.67,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
DOBA ,16.85,8.67,-29997,-29997,-29997,-9884.5,68.2,240.4,-19792.5,-29997,-29997,-29997,-29997,-29997
BEKAMBA,17.35,8.72,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
KOUMRA,17.53,8.92,0,0,16.3,8.9,4,235.4,-29997,-29997,-29997,-29997,-29997,-29997
MOISSALA ,17.78,8.38,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MOUSSAFO,18.72,8.85,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MARO,18.78,8.4,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BAIBOK,15.68,7.73,0,6.5,56,82.5,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
PANDZANG,15.8,7.95,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BEKAO,16.07,7.92,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BEKAN,15.68,7.73,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
GORE,16.63,7.93,0,3.4,35.9,58.6,206.4,-29997,-29997,-29997,-29997,-29997,-29997,-29997
GOUNDI ,17.37,9.37,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MOUSSORO,16.5,13.65,0,0,6,1,20.5,11.1,-29997,-29997,-29997,-29997,-29997,-29997
BOL,14.72,13.47,0,0,0,1,3,31,-29997,-29997,-29997,-29997,-29997,-29997
MANDE,16.27,9.58,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BANDARO,18.72,12.23,-29997,-29997,-9998.8,29,41.1,-29997,-9840.5,-29997,-29997,-29997,-29997,-29997
MASSAKORY,15.72,13,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BONGOR ,15.4,10.27,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MOULKOU,15.58,10.53,0,0,-29997,-29997,-29997,-9950,94,-29997,-29997,-29997,-29997,-29997
