Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
GALMA.SEDENT.,5.8,14.08,0,0,0,0,18.8,156.9,116.2,155,25,0,0,0
GALMI,5.5,13.97,0,0,0,0,14.6,53.5,69.7,162.4,48.2,23.5,0,0
GARADOUME,5.8888,14.3679,0,0,0,0,56,57.5,105,102,31.5,0,0,0
GARAGOUMSA,8.382098198,13.6739042,0,0,0,-9999,-29997,-9957.5,80.3,97.3,31.1,0,0,0
GARHANGA,5.77,14.55,0,0,0,0,91.5,107.5,65.1,-9970,65,43.1,0,0
GAYA,3.45,11.88,0,0,0,0.3,25.7,179.4,193.6,265.3,149.4,31.7,0,0
GAYA.AGRI,3.45,11.88,0,0,0,0.6,25.7,176,229.4,270.4,158.4,33.1,0,0
GAZAOUA,7.92,13.85,0,0,0,0,45,30.5,137.5,102.7,34,10,0,0
GOTHEYE,1.58,13.82,0,0,0,0,23.5,129.1,103.2,174.8,89.6,18.5,0,0
GOUDOUMARIA,11.17,13.72,0,0,0,0,2.2,4.5,79.1,121.6,15.9,0,0,0
GOULA,7.23,14.65,0,0,0,0,7.5,15.7,29.5,104.5,30.3,34.1,0,0
GOURE,10.30,13.98,0,0,0,0,1.9,25.5,72.9,26.9,44.7,0,0,0
GOURE (PTT),10.30,13.98,0,0,0,2,11.6,28.8,73.2,39.6,43.2,0.3,0,0
GUECHEME,3.88,12.92,0,0,0,0,7,142,91.5,97,65.5,23,0,0
GUESKEROU,12.85,13.60,0,0,0,0,17,-9999,80.5,94.9,68.2,-9999,0,0
GUIDAM ROUMDJI,6.77,13.67,0,0,0,0,54.9,13.7,118.2,121.3,33.5,21.6,0,0
GUIDAN IDDER,5.32,14.02,0,0,0,0,5.3,76.9,88.7,141.8,70.9,-9999,0,0
GUIDAM ROUMDJI,6.77,13.67,0,0,0,0,-19961.5,-9985.8,60.4,60.9,24.3,19.8,0,0
GUIDIGUIR,9.83,13.67,0,0,0,0,13,38,46.8,54,0,0,0,0
GUIDIMOUNI,9.55,13.68,0,0,0,0,0,-9971.5,-9977.5,-9990,11.6,0,0,0
IFEROUANE,8.38,19.08,0,0,0,0,2,0.1,2,1.7,9.9,4.2,0,0
ILLELA,5.25,14.47,0,0,0,0,15,120.5,51.7,87.5,106.1,35,0,0
IN GALL,6.90,16.78,0,0,0,0,5,12,44.5,124.1,64,7,0,0
INTOUILA,6.62,14.70,0,0,0,0,0,34,92.4,-29997,-19998,0,0,0
KABELAWA,5.67,14.47,0,0,0,0,2,0,36,19,0,0,0,0
KALA-PATE (IRAT),2.93,13.23,0,0,0,0,0,61.9,198.9,176.2,74,0,0,0
KANTCHE,6.15,14.30,0,0,0,0,33.5,40.6,75.5,140.6,48.5,28.2,0,0
KAO,5.75,15.23,0,0,0,0,11,0,102.8,77.6,54.5,21.9,0,0
KAOURA-ABDOU,5.37,14.5,0,0,0,0,34.5,127,53,105,62,53,0,0
KAROUFANE,6.150,14.300,0,0,0,0,0,73,134,58,2,84,0,0
KEITA,5.77,14.77,0,0,0,0,25,37.9,49.2,159,65.6,32.9,0,0
KEITA.BRIG.,5.77,14.77,0,0,0,0,0,23,53.9,48.1,58.1,2.1,0,0
KILAKAM,11.73,13.55,0,0,0,0,20.9,11.9,143,64.2,11.6,-29997,0,0
KODJIMERI,11.10,13.42,0,0,0,0,0,27.7,132.3,45.6,5.6,1.2,0,0
KOLO,2.35,13.30,0,0,0,0,7.4,39.9,107.2,223.5,50.1,28.5,0,0
KONA,8.07,13.57,0,0,0,0,80.5,20,115.5,121,22,0,0,0
KORE MAIROUA,3.95,13.33,0,0,0,0,10.5,20.2,137.5,128.4,141,30.8,0,0
KORGOM,8.42,13.45,0,0,0,0,70,30,45.3,107.5,70.7,0,0,0
KOURE,2.57,13.30,0,0,0,0,0,57.5,160,248,-19989,-29997,0,0
KOURE,2.57,13.30,0,0,0,0,31,19.9,56.5,61.7,16.5,0,0,0
KOYGOLO,3.017,13.483,0,0,0,0,11,60,137,205,102,36.5,0,0
LOGA,3.23,13.60,0,0,0,0,19.3,94,120.6,138.8,80.2,21,0,0
MADAOUA,5.98,14.12,0,0,0,0,12.6,88.8,84.2,122.2,43.3,50.5,0,0
MADAROUNFA,7.15,13.32,0,0,0,4,3.8,53.5,128.8,131.7,88.7,23.2,0,0
MAGARIA,8.93,12.98,0,0,0,0,56.1,49.8,216.6,201.3,63.4,11,0,0
MAGARIA-MAKER,5.786381,14.02311,0,0,0,-9999,-29997,124.6,-9910,-9848.6,-19976,-29997,0,0
MAINE SOROA,11.98,13.23,0,0,0,0,26.1,3,129,104.7,35.1,12.8,0,0
MAKALONDI .AG,1.68,12.82,0,0,0,0,21.6,95.1,-9917.6,284.2,169.7,-19998,0,0
MALBAZA,5.50,13.97,0,0,0,0,1,83.7,73,102.2,45.3,26.6,0,0
MALLAOUA,9.60,13.02,0,0,0,0,42.9,15.4,146.5,62.3,94.9,0,0,0
MANGAIZE,2.03,14.80,0,0,0,0,2,10.2,40.9,118.3,-19974.5,-29997,0,0
MARADI AERO,7.08,13.47,0,0,0,1.6,28.5,37.6,128.8,141.2,108.1,45.6,0,0
MARAKA,7.07,13.08,0,0,0,7.5,28.6,73.2,102.1,16,48.4,0,0,0
MATAMAYE,8.47,13.42,0,0,0,0,93.2,51.5,113.9,146.9,37.1,1,0,0
MATANKARI,3.73,12.90,0,0,0,0,30.4,114.3,115.7,144.6,81.5,22.2,0,0
MAYAHI,7.70,13.98,0,0,0,3,5,36.8,107.2,105.7,37.5,0,0,0
MEHANA,1.13,14.40,0,0,0,0,14.8,69,68.7,70,15,32.7,0,0
MIRRIAH.GEND,9.15,13.72,0,0,0,0,15.9,35,77,163.6,28.1,0,0,0
