Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
IRIBA,22.25,15.12,0,0,0,0,0,21,77.6,117.5,0,0,0,0
MAO,15.32,14.12,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
BILTINE,20.92,14.52,0,0,0,0,4,27,151.4,160.5,8.8,0,0,0
AMZOER,21.37,14.22,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
NGOURI,15.38,13.63,0,0,0,0,58.5,42.7,96.7,56.4,0,0,0,0
ATI,18.32,13.22,0,0,0,0,20.4,135.9,169,220.4,10.3,0,0,0
DJEDAA,18.58,13.52,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
OUMHADJ,19.7,13.3,0,0,0,0,12.5,135.7,137.5,244.4,0,0,0,0
ABECHE,20.85,13.85,0,0,0,0,50,6.6,54.8,51.8,0,0,0,0
ADRE,22.2,13.47,0,0,0,4.2,2.5,81.2,179.8,176.2,4.8,0,0,0
NDJAMENA ,15.03,12.13,0,0,0,39.7,45.6,162.4,275.5,124.1,8,0,0,0
TOURBA,15.3,12.87,0,0,0,30,21.5,163.8,150.2,78.2,8,0,-29997,-29997
MASSAGUET,15.42,12.5,-19998,-9999,-19998,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
KOUNDOUL,15.15,11.98,0,0,0,5,65.7,162.7,256.2,-19876,-29997,-9999,0,0
BOKORO,17.05,12.38,0,0,0,20.7,24.1,111,167.1,76.6,7,0,0,0
DADOUAR,18.45,12.13,0,13.2,0,16.9,109.5,99.8,367.9,196,64,0,0,0
MONGO,18.68,12.18,0,0,0,4.5,71.5,111.8,384.1,277.5,37.6,0,-9999,0
BARO,18.97,12.2,0,15,0,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MANGALME,19.62,12.37,0,0,0,18.5,65.4,191.8,215,180.5,8.9,0,0,0
GOZBEIDA,21.42,12.23,0,0,0,26.4,36.4,138.1,166.6,159.9,22.5,0,0,0
AMDAM,20.48,12.77,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MANDALIA,15.25,11.73,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MASSENYA,16.17,11.4,0,-9999,0,31.2,81.2,131.3,144.9,191.1,26,0,0,-19998
MELFI,17.93,11.07,0,0,0,87.1,118.5,204.7,164.4,194.1,88.9,0,0,0
BITKINE,18.22,11.98,0,0,0,37.3,88.6,125.9,262.6,194.4,52.2,0,0,0
ABOUDEIA,19.28,11.48,0,0,0,24,67,195.1,335.8,336.4,45,0,0,0
AMTIM,20.28,11.03,0,0,0.4,22.2,86.3,135.7,130.4,137.6,76.1,0,0,0
BILLIAM,15.25,10.58,0,0,1.5,33.2,148.7,84.3,199.3,140.5,14.5,0,0,0
BONGOR ,15.37,10.28,-29997,-29997,-29997,-9988,64,-29997,-29997,-29997,-29997,-29997,-29997,-9999
GUELENDE,15.55,10.92,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
BAILLI,16.43,10.52,0,0,0,24.8,120.5,160,274.2,159.7,35,0,0,0
BOUSSO,16.72,10.48,-29997,-29997,-29997,-29997,-29997,-29997,-19935.2,-9930.2,24.3,-19998,-29997,-9999
DAGUELA,18.45,10.73,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
HARAZEM,21.32,10.5,0,0,0,38.4,40,147.3,241.8,130.1,68.8,0,0,0
LERE,14.15,9.63,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BADJE,14.58,9.15,0,0,3.8,64.3,138.5,159.7,294.8,290.5,119,0,0,0
PALA ,14.92,9.37,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
TORROCK,15.02,9.67,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
TIKEM,15.05,9.82,0,0,0,38.3,164.3,79.8,215.5,108.1,40.1,-19998,-29997,-29997
KAIROUAL,15.15,9.48,0,0,2.5,71.8,-19939.5,-9949.9,214,165.8,-29997,-29997,-29997,-9999
FIANGA ,15.13,9.93,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
KELO ,15.77,9.32,0,0,4.7,17.2,261.1,246.3,260.9,210.1,114.2,0,0,0
BERE,16.15,9.32,-19998,-9999,32,83.2,174.1,166.4,308.8,218,94.6,0,0,0
DOHER ,16.28,9.05,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
LAI,16.3,9.4,0,0,0,0,227.9,141.1,360.8,155.2,55,0,0,0
GUIDARI,16.67,9.27,0,0,0,25,132,334,230,130,112,0,0,-19998
DONOMA,16.92,9.23,0,0,-19998,-29997,-9896.2,-29997,-9804.5,252.5,-29997,-9999,0,0
TALIA,17.85,9.4,0,0,54.4,64.3,123.4,347.3,291.2,344.5,222.8,0,0,0
SARH ,18.38,9.15,0,0,0,11,117.8,287.6,244.6,100.9,229.1,0,0,0
KYABE ,18.93,9.43,0,0,40,50.2,96,196.2,234.5,302,144.9,0,0,0
BAINAMAR,15.38,8.67,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
DELI,15.87,8.72,0,0,9.5,52.4,150.9,310.3,133,197.9,213.9,0,0,0
BEKOUROU,17.5,8.12,0,20,24.5,7.8,57.6,218.5,221.6,276.5,222.8,0,0,0
MOUNDOU ,16.07,8.62,0,0,-19998,-9947.3,86.5,205,288.4,167.4,172.7,-19998,-29997,-9999
DONIA,16.42,8.4,-29997,-29997,-9987.7,155.3,225.5,360.3,199.5,360.2,-29997,-29997,-29997,-9999
BEBEDJIA,16.57,8.67,0,9.8,31,102.6,129.2,214.8,393.9,416.5,202.5,0,0,0
DOBA ,16.85,8.67,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BEKAMBA,17.35,8.72,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
KOUMRA,17.53,8.92,0,0,48.6,108.9,73,247,225.7,118.1,-29997,-9943.7,0,0
MOISSALA ,17.78,8.38,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MOUSSAFO,18.72,8.85,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MARO,18.78,8.4,0,7.1,60,113,152.5,265.5,301.7,217.6,272.1,-19998,-9999,0
BAIBOK,15.68,7.73,0,0,50,60.5,195.9,195.6,440.4,305.4,141.3,1.5,0,0
PANDZANG,15.8,7.95,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BEKAO,16.07,7.92,0,0,53.1,103.2,264,303,448.2,350.3,151.6,0,0,-19998
BEKAN,15.68,7.73,0,6,55,89,316.5,289,300.1,390,202,0,0,0
GORE,16.63,7.93,0,3.3,36.1,157.7,248.8,311.6,295.6,333.2,298.6,0,0,0
GOUNDI ,17.37,9.37,0,0,9,2,107,308.5,312.5,297,170.4,0,0,0
MOUSSORO,16.5,13.65,0,0,0,0,11,44,155,64,6,0,0,0
BOL,14.72,13.47,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MANDE,16.27,9.58,0,0,0,34.5,163.5,120.5,395,157,70,0,0,0
BANDARO,18.72,12.23,0,0,0,36.7,72,78,377.1,223.5,48.5,0,0,0
MASSAKORY,15.72,13,0,0,0,9.5,-19986,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BONGOR ,15.4,10.27,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MOULKOU,15.58,10.53,0,-9999,1.5,12.6,86.6,78.9,179.1,209.6,33.3,0,0,0
