STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
ARIBINDA,0.0,0.0,0.0,0.0,47.3,78.5,144.9,210.7,61.2,0.6,0.0,0.0
BAGASSI,0.0,0.0,0.0,5.6,53.4,142.1,194.2,220.0,142.7,11.5,0.0,0.0
BAGUERA,0.0,0.0,0.0,61.6,66.6,129.0,318.0,365.1,135.5,**,**,**
BAM,0.0,0.0,0.0,0.0,62.1,83.1,185.3,124.2,62.9,13.7,0.0,0.0
BANFORA,0.0,0.0,0.0,0.0,73.0,120.4,239.7,250.3,127.0,6.2,0.0,0.0
BANFORA AGRI,0.0,0.0,18.5,111.3,73.0,144.6,232.6,328.7,127.0,11.2,3.2,0.0
BARABOULE,0.0,0.0,0.0,0.0,3.8,36.5,117.2,167.1,32.9,4.2,0.0,0.0
BATIE,0.0,0.0,0.0,0.0,104.5,95.0,192.8,146.6,186.7,25.2,0.0,0.0
BEREBA,0.0,0.0,0.0,5.2,48.6,148.7,179.6,186.9,47.5,3.4,0.0,0.0
BEREGADOUGOU,0.0,0.0,31.2,53.0,54.1,137.4,166.8,333.6,293.9,6.6,3.8,0.0
BILANGA,0.0,0.0,0.0,0.0,99.6,122.0,180.0,215.4,201.0,0.0,0.0,0.0
BOBO-DIOULASSO,0.0,0.1,0.4,86.0,148.0,157.4,47.0,376.4,221.4,7.7,0.0,0.0
BOGANDE,0.0,0.0,0.0,12.2,58.6,174.0,216.1,172.8,130.3,2.8,0.0,0.0
BONDOUKUY,0.0,0.0,0.0,94.8,38.3,159.6,118.6,216.8,77.8,36.0,0.0,**
BOROMO,0.0,0.0,0.0,6.6,107.2,186.3,318.5,163.1,140.5,7.1,0.0,0.0
BOULSA,0.0,0.0,0.0,0.0,124.2,119.4,204.1,296.1,177.6,18.4,0.0,0.0
BOURA,0.0,0.0,13.5,8.0,125.6,137.1,129.0,284.3,139.7,0.0,0.0,**
BOURZANGA,0.0,0.0,0.0,31.8,52.4,71.9,218.9,150.2,69.2,11.3,**,**
BOUSSE,0.0,0.0,**,24.2,84.3,88.4,205.3,233.2,85.5,1.2,0.0,**
BOUSSOUMA,0.0,0.0,0.0,44.8,101.9,66.6,169.7,373.9,117.5,30.0,0.0,**
DAKIRI,0.0,0.0,0.0,0.5,31.7,91.9,136.4,148.4,92.8,30.5,0.0,0.0
DANO,0.0,0.0,0.0,0.0,0.0,155.2,282.3,223.3,208.5,0.0,0.0,0.0
DEDOUGOU,0.0,0.0,0.0,4.0,47.0,98.0,255.3,291.2,87.1,26.1,0.0,0.0
DI-SOUROU,0.0,0.0,0.0,27.1,16.8,101.2,156.5,130.6,94.2,40.1,0.0,0.0
DIAPAGA,0.0,0.0,0.0,0.0,67.0,61.8,170.0,300.8,139.0,29.3,0.0,0.0
DIDYR,0.0,0.0,0.0,56.0,92.8,71.2,287.1,188.0,99.2,5.0,0.0,**
DIEBOUGOU,0.0,0.0,0.0,0.0,132.0,55.2,215.0,178.0,230.0,10.0,0.0,0.0
DISSIN,0.0,0.0,0.0,0.0,164.5,118.4,242.6,245.6,220.4,3.5,0.0,0.0
DJIBO,0.0,0.0,0.0,0.0,27.0,51.9,213.0,136.2,48.9,1.1,0.0,0.0
DORI,0.0,0.0,0.2,0.0,22.6,78.6,147.0,185.8,72.7,11.4,0.0,0.0
