Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
IRIBA,22.25,15.12,0,0,0,-19998,-29997,-19976,171.3,59,-19988.5,-29997,-29997,-19998
MAO,15.32,14.12,0,0,0,0,0,0,97.8,0,0,-19998,-29997,-19998
BILTINE,20.92,14.52,0,0,2.4,0,33.5,69.2,258,80,2,0,0,0
AMZOER,21.37,14.22,0,0,0,0.5,22,47,-19954,-19968.5,27.5,0,0,0
NGOURI,15.38,13.63,0,0,0,0,27.5,112.5,131.6,74.7,39,0,0,0
ATI,18.32,13.22,0,0,0,0,55,112.4,120.2,114.5,28.9,0,0,0
DJEDAA,18.58,13.52,-19998,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
OUMHADJ,19.7,13.3,0,0,0,0,3.6,123.6,143.7,65,30,0,0,0
ABECHE,20.85,13.85,0,0,0,0,19.6,70.4,130.6,74.8,51.2,0,0,0
ADRE,22.2,13.47,0,0,0,21.4,91.4,179.2,131.7,99.7,16.5,0,0,0
NDJAMENA ,15.03,12.13,0,0,0,0,47.7,179.3,181.3,91.6,20.3,0,0,0
TOURBA,15.3,12.87,0,0,0,1.8,22.7,197.6,102.1,132,15.1,0,0,0
MASSAGUET,15.42,12.5,0,0,0,25,35,152.6,116.5,53,-19994.5,-19998,0,-19998
KOUNDOUL,15.15,11.98,0,-19998,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-19998
BOKORO,17.05,12.38,0,0,0,10.8,62.4,130.5,217.3,89,28.1,0,0,0
DADOUAR,18.45,12.13,0,0,0,31,15,112.2,343.6,145.7,67.2,48.5,0,0
MONGO,18.68,12.18,0,0,0,23.6,24,263.3,272.4,171.1,94.7,37,0,0
BARO,18.97,12.2,0,0,0,21.4,41.7,226.3,182.4,175.3,70,1,0,0
MANGALME,19.62,12.37,0,0,0,52.3,6.1,181.7,264.4,75.3,74.6,3.8,0,0
GOZBEIDA,21.42,12.23,0,0,0,0,40.8,141.2,169.9,130.7,135.8,0,0,0
AMDAM,20.48,12.77,0,-19998,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MANDALIA,15.25,11.73,0,0,0,8.2,67.2,129.7,261.8,101.9,67.5,0,0,-19998
MASSENYA,16.17,11.4,0,0,0,37.1,71.2,128.3,317.5,148.4,54.6,0,0,0
MELFI,17.93,11.07,0,0,0,34.9,82.7,180.2,228.2,200.9,49.2,8.5,0,0
BITKINE,18.22,11.98,0,0,0,0,122.8,101.3,220.6,115.7,42,33.4,0,-19998
ABOUDEIA,19.28,11.48,0,0,0,32.6,62.9,139.5,216,240.7,144.6,0,0,0
AMTIM,20.28,11.03,0,0,0,135.8,87.4,185.3,126,123.3,89.4,0,0,0
BILLIAM,15.25,10.58,0,0,13.1,42.8,91.9,71.9,294.3,147.5,113.7,0,0,0
BONGOR ,15.37,10.28,0,0,0.5,1.6,59.4,174.8,490.5,61.6,104.3,0,0,-19998
GUELENDE,15.55,10.92,0,0,8.6,7,103.5,71.9,258.8,158.4,45.6,0,0,0
BAILLI,16.43,10.52,0,16,0,49,72,115.9,319.5,194,66,0,0,0
BOUSSO,16.72,10.48,0,0,0,76.8,67.6,176.9,-19875.2,-19901.9,52.4,0,0,0
DAGUELA,18.45,10.73,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
HARAZEM,21.32,10.5,0,0,0,31.8,39.9,165.8,291.6,216.3,55.8,0,0,0
LERE,14.15,9.63,0,-19998,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BADJE,14.58,9.15,0,0.8,7.2,35.7,142.3,267.6,205.2,333.4,89.6,-19998,-29997,-19998
PALA ,14.92,9.37,0,0,0,38.2,123.5,184.4,123.6,42.5,26.6,-19998,-29997,-19998
TORROCK,15.02,9.67,0,0,0,41,146.6,218.2,235.2,-19899,-19979.5,0,0,0
TIKEM,15.05,9.82,0.5,0,63.1,43.8,146.8,277,335.6,123,86.5,0,0,0
KAIROUAL,15.15,9.48,0,0,0,43.5,149.3,179.9,217.5,179.2,214.7,0,0,0
FIANGA ,15.13,9.93,0,0,0.6,44.5,119.5,255.5,258.5,-19909.5,-19973,-19998,-29997,-19998
KELO ,15.77,9.32,0.3,0,0,101.3,116.3,262.2,212.5,212.4,164.1,0,0,0
BERE,16.15,9.32,0,0,0,69.5,145.7,226.9,228.5,200.8,134.7,9,0,0
DOHER ,16.28,9.05,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
LAI,16.3,9.4,0,0,0,71.2,110.1,157,317,224,50.5,11,0,0
GUIDARI,16.67,9.27,-19998,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-19998
DONOMA,16.92,9.23,0,0,4,32.5,170.5,169,278,217,52,0,0,0
TALIA,17.85,9.4,0,0,5,130.8,163.5,147.7,271,182.7,136,0,0,0
SARH ,18.38,9.15,0,12,0,89.8,197.9,84,156.9,317.6,101.8,0,0,0
KYABE ,18.93,9.43,0,0.8,0,78.2,133.1,230.6,357,211,112,0,0,0
BAINAMAR,15.38,8.67,0,-19998,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
DELI,15.87,8.72,0,4.5,0,229.4,97.3,222.3,293.5,195,112.7,47,0,0
BEKOUROU,17.5,8.12,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MOUNDOU ,16.07,8.62,0,0,0,147.5,35.8,181.5,209.3,251.7,85.7,0,0,0
DONIA,16.42,8.4,0,-19998,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-19998
BEBEDJIA,16.57,8.67,0,0,4.1,57.3,129,192.9,212.6,207.4,147,0,0,0
DOBA ,16.85,8.67,0.3,0,0,0.8,0,-19998,-29997,-29997,-29997,-29997,-29997,-29997
BEKAMBA,17.35,8.72,-19998,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
KOUMRA,17.53,8.92,0,2.3,0.1,48,161.1,136.9,141.5,219.6,76.3,0,0,0
MOISSALA ,17.78,8.38,0,-19998,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-19998
MOUSSAFO,18.72,8.85,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MARO,18.78,8.4,0,-19998,-19984,86.3,111.8,-19908,-19955,252.6,197.3,-19992,-29997,-19998
BAIBOK,15.68,7.73,0,-19998,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-19998
PANDZANG,15.8,7.95,-19998,-29997,-29997,-19918,179.6,184.1,275,387.1,-19972.8,-29997,-29997,-29997
BEKAO,16.07,7.92,0,8,4.5,71,65.3,305.7,216.2,242.9,306,3.9,0,0
BEKAN,15.68,7.73,0,42,43,112,58.5,209.5,214.5,155,132,70,0,0
GORE,16.63,7.93,-19998,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-19998
GOUNDI ,17.37,9.37,0,-19998,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-19998,0
MOUSSORO,16.5,13.65,0,0,0,34,15,145,177,117.5,5,0,0,0
BOL,14.72,13.47,0,0,0,16.5,16.2,70.9,129.9,154.3,12.9,0,0,0
MANDE,16.27,9.58,-19998,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-19998
BANDARO,18.72,12.23,0,0,0,69.5,53.6,270.5,324,133.7,103.1,28,0,0
