STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
ABALA,0.0,0.0,30.0,0.0,47.5,35.0,88.5,132.6,73.9,0.0,0.0,0.0
ABALAK,0.0,0.0,7.8,0.0,21.5,14.2,85.8,158.4,60.6,0.0,0.0,0.0
ADERBISSINAT,0.0,0.0,0.0,0.0,5.9,42.3,33.6,64.1,15.7,0.0,0.0,0.0
ADJE KORIA,0.0,0.0,0.0,0.0,30.9,28.0,174.7,60.9,48.8,0.0,0.0,0.0
AGADEZ,0.0,0.0,0.2,0.0,22.3,11.1,85.9,41.8,15.9,0.0,0.0,0.0
AGUIE,0.0,0.0,0.0,0.0,48.0,174.8,158.0,161.3,90.0,1.2,0.0,0.0
ALLELA,0.0,0.0,0.0,0.0,12.0,20.0,120.5,88.0,13.0,0.0,0.0,**
ARLIT,0.0,0.0,0.0,0.0,0.0,4.6,12.5,0.0,0.0,0.0,0.0,0.0
ARZERORI(NOMAD,0.0,0.0,0.0,0.0,34.8,69.9,127.7,116.8,43.3,0.0,0.0,0.0
AYOROU_PT,0.0,0.0,0.0,0.0,0.0,48.4,121.7,118.4,32.5,0.0,0.0,0.0
BAGAROUA,0.0,0.0,0.0,1.2,0.0,18.5,92.1,107.0,43.1,0.0,0.0,0.0
BAGAZA,0.0,0.0,0.0,0.0,25.0,58.0,143.0,203.0,69.5,0.0,0.0,**
BALLEYARA,0.0,0.0,0.0,0.0,42.0,46.8,181.3,116.2,58.8,0.0,0.0,0.0
BALLEYARA . AG,0.0,0.0,0.0,23.0,85.6,59.7,185.0,76.6,48.5,0.0,0.0,0.0
BANA PLUVIO,0.0,0.0,0.0,0.0,2.5,77.0,125.7,258.2,113.9,5.0,0.0,**
BANDE HAOUSSA,0.0,0.0,0.0,0.0,11.5,115.0,126.9,145.1,59.0,0.0,0.0,0.0
BANDJO,0.0,0.0,0.0,0.0,94.0,99.0,94.5,74.5,227.0,0.0,0.0,**
BANGUI,0.0,0.0,0.0,0.0,12.5,40.0,161.0,109.9,21.0,0.0,0.0,0.0
BANIBANGOU,0.0,0.0,0.0,26.0,13.5,74.0,172.7,69.1,47.3,0.0,0.0,0.0
BANKILARE,0.0,0.0,0.0,0.0,38.0,87.4,156.1,165.5,27.0,13.0,0.0,0.0
BELBEDJI,0.0,0.0,0.0,10.0,0.0,3.5,77.0,56.0,46.2,0.0,0.0,0.0
BENGOU,0.0,0.0,0.0,19.0,38.7,89.1,113.0,179.1,161.3,0.0,0.0,0.0
BENGOU_INRAN,0.0,0.0,0.7,23.4,72.2,82.2,119.4,175.0,77.6,17.0,0.0,**
BERMO,0.0,0.0,0.0,0.0,0.0,56.6,142.7,44.5,46.8,0.0,0.0,0.0
BEYLANDE,0.0,0.0,0.0,0.0,44.5,41.0,179.0,226.6,111.5,0.0,0.0,0.0
BILMA,0.0,0.0,0.0,0.0,1.0,0.0,3.3,12.4,0.0,0.0,0.0,0.0
BIRNI N'GAOURE,0.0,0.0,0.0,15.2,38.1,10.9,122.7,218.0,49.2,0.0,0.0,0.0
BIRNI N'KONNI,0.0,0.0,0.0,8.7,41.6,71.5,161.3,121.2,66.1,33.2,0.0,0.0
BOUDOUM,0.0,0.0,0.0,0.0,0.0,7.0,109.7,221.5,29.0,0.0,0.0,0.0
BOUTTI,0.0,0.0,0.0,0.0,0.0,19.3,124.5,100.7,0.0,0.0,0.0,0.0
BOUZA,0.0,0.0,0.0,0.0,31.2,63.7,160.6,247.2,21.0,0.0,0.0,0.0
CHADAKORI,0.0,0.0,0.0,0.0,3.5,8.5,105.0,147.5,29.5,0.0,0.0,0.0
CHERI,0.0,0.0,0.0,0.0,0.0,89.5,80.0,194.0,31.4,0.0,0.0,0.0
DAIKAINA,0.0,0.0,128.0,0.0,14.5,88.0,130.3,133.3,258.0,0.0,0.0,0.0
DAKORO,0.0,0.0,0.0,0.0,6.8,44.4,218.3,173.0,60.5,0.0,0.0,0.0
DAMAGARAM-TAKA,0.0,0.0,0.0,0.0,0.0,37.4,117.7,115.0,60.4,0.0,0.0,0.0
DAMANA,0.0,0.0,0.0,0.0,0.0,40.0,131.5,176.8,53.0,0.0,0.0,0.0
DAN BARTO,0.0,0.0,0.0,0.0,27.0,0.0,148.7,167.5,28.7,0.0,0.0,0.0
DAN ISSA,0.0,0.0,3.0,6.5,35.0,135.5,113.0,272.3,67.2,0.0,0.0,0.0
