Nom,Lon,Lat,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
KOULIKORO,-7.37,12.97,-29997,-29997,-29997,-9965,60,118,143,142,15,-9999,-29997,-29997
BAMAKOV,-8.02,12.63,0,2.9,0,7.199999999,121,254.3,347.0000001,224.5,24.8,-9995,-29997,-29997
NIORO,-9.6,15.23,0.6,13.9,0,1.1,71.8,104.6,186.3,65.6,93.89999999,0,0,0
NARA,-7.28,15.17,0.6,7.1,0,46,20.3,84.89999999,152.9,73.20000001,17.8,0,0,0
YELIMANE,-10.57,15.12,-29997,-29997,-29997,-9965.9,9999,170.2,149.4,81.70000002,93.69999999,-9998.4,-29997,-29997
DIEMA,-9.18,14.55,-29997,-29997,-29997,-9971,24,224,194.5,144,94,-9999,-29997,-29997
MOPTI,-4.1,14.52,0,0,0,11.4,24.7,86.70000001,100,102.5,57.8,9.600000001,0,0
KAYES,-11.43,14.43,0.2,23.6,0,27.2,88.20000001,207.1,197.5,202.6,214.2000001,0,0,0
NIONO,-5.98,14.25,0,1.2,0,15.6,20.7,224.9,86,95.29999999,96.39999998,0,-9999,-29997
KE-MACINA,-5.37,13.95,0,1.5,0,0,27,116.2,206.8,57,37,0,0,0
BAFOULABE,-10.83,13.8,-29997,-29997,-29997,-9919,70,48,187,101,114,-9987,-29997,-29997
KOLOKANI,-8.03,13.58,-29997,-29997,-29997,-9999,86,263,289.7,161,22,-9999,-29997,-29997
BANAMBA,-7.45,13.55,-29997,-29997,-29997,-9988,56,291,223,169,40,-9997,-29997,-29997
SEGOU,-6.15,13.4,0,5.700000001,25.3,9.2,53.8,93.59999999,140.3,197.4,30.5,0,0,0
SAN,-4.9,13.28,4.6,0.7,0,6.2,53.3,207.9,244.5,190.4000001,15,0,0,0
TOMINIAN,-4.6,13.28,-29997,-29997,-29997,9999,39,135,185,130,30,-9994,-29997,-29997
KITA,-9.45,13.07,0,18.2,0,33.9,141.3,96.49999998,167,179,78.39999999,9,0,0
BAROUELI,-6.83,13.07,0,0,0,18.6,128,178,205,141,63,-9999,-29997,-9999
BLA,-5.77,12.95,-29997,-29997,-29997,-29997,-9960,55,220,198,9,-9999,-29997,-29997
KATIBOUGOU,-7.53,12.93,0.1,-19998,-9998.3,47.5,107.6,150.6,147.5,162.4,49.70000001,0,-9999,-29997
KENIEBA,-11.35,12.8,0,30.4,0,38.50000001,137.6,156.1,257.8,248.6,144.4,24.8,0,0
NTARLA ,-5.75,12.7,0,-19998,-29997,-9977.3,45.1,126,219.1,147.6,59.4,-9999,-9999,0
KATI-HAUT,-8.07,12.73,-29997,-29997,-29997,-9998,75,134.2,266.4,138,48,-9999,-29997,-29997
SOTUBA,-7.93,12.65,0.1,1.6,17.7,16.6,123.6,253.3,192.2,274.8,13.5,0,0,0
BAMAKO SENOU,-7.95,12.53,0,3.7,5.2,18,97.7,246.6,325.6,234.9,91.49999999,21.8,0,0
BAGUINEDA,-7.78,12.62,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
DIOILA,-6.8,12.48,1,2.3,12.5,52.5,83.4,140.4,234.9,135.8,41,0,0,0
KOUTIALA,-5.47,12.4,0.5,0,43.90000001,20.9,62.2,208.5,235.2,179.8,54.1,0,0,0
YOROSSO,-4.78,12.37,-29997,-29997,-29997,-9951,55,169,210,92,43,-9999,-29997,-29997
OUELESSEBOUGOU,-7.92,11.98,-29997,-29997,-29997,-29997,-9886,317,178,115,36,-9997,-29997,-29997
KANGABA,-8.42,11.93,-29997,-29997,-29997,-9960,118.9,282,236,126,193,-9994,-29997,-29997
BOUGOUNI,-7.5,11.42,0.9,41.7,18.2,57.80000001,128.8,363.5,342.2000001,153.5,126.9,6.699999999,0,0
SIKASSO,-5.68,11.35,0,9.399999999,39.2,90.99999999,97.8,241.3,277.6,162.5,156.9,0,0,0
YANFOLILA,-8.15,11.18,-29997,-29997,-29997,-9957,208,268,378,109,101,-9995,-29997,-29997
KOLONDIEBA,-6.9,11.1,-29997,-29997,-29997,-9908,84,329,324,184,114,-9999,-29997,-29997
KADIOLO,-5.77,10.55,-29997,-29997,-29997,-9967,106,155,105,168,59,-9999,-29997,-29997
MAHINA,-10.83,13.73,0.3,48.7,0,51.7,168.7,51.6,226.9,168.8,102.2,48.3,0,0
SELINGUE,-8.23,11.65,-29997,-29997,-29997,-29997,-9910.3,244.6,261.4,207.5,131.4,12.5,0,0
