STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
ABECHE,0.0,0.0,0.0,0.0,7.9,14.4,121.6,116.8,10.4,0.0,0.0,0.0
AM-DJAMENA BIL,0.0,0.0,0.0,0.0,0.0,65.0,188.0,198.0,99.0,0.0,0.0,0.0
AM-TIMAN,0.0,0.0,0.0,4.8,133.8,173.3,203.3,246.3,14.3,8.6,0.0,0.0
ATI,0.0,0.0,1.1,10.0,0.0,26.0,78.7,76.5,99.5,0.0,0.0,0.0
BA-ILLI,0.0,0.0,0.0,0.0,0.0,152.1,171.3,124.3,203.5,0.0,0.0,0.0
BAIBOKOUM,0.0,0.0,6.5,71.0,98.0,188.0,239.0,271.0,121.0,101.5,0.0,0.0
BAKI-MALARAM,0.0,0.0,7.0,25.0,87.6,207.4,205.5,275.0,152.6,3.0,0.0,0.0
BANDARO,0.0,0.0,0.0,0.0,32.1,111.1,109.8,185.0,48.5,16.0,0.0,0.0
BARO,0.0,0.0,0.0,0.0,48.4,156.5,143.2,189.9,125.6,1.9,0.0,0.0
BEBEDJIA,0.0,0.0,35.4,20.4,97.1,170.1,179.7,371.7,138.2,119.2,0.0,0.0
BEKAN,0.0,0.0,8.0,2.0,126.5,164.5,189.5,186.0,277.5,194.0,19.0,0.0
BILTINE,0.0,0.0,0.0,0.0,12.0,30.5,139.7,150.6,13.0,0.0,0.0,0.0
BINDER,0.0,0.0,0.0,0.0,102.3,165.0,131.9,164.5,200.5,89.5,0.0,0.0
BITKINE,0.0,0.0,0.0,2.5,53.7,100.2,177.0,132.5,159.0,6.5,0.0,0.0
BOKORO,0.0,0.0,1.1,0.2,50.8,51.4,147.1,220.1,65.1,0.0,0.0,0.0
BONGOR PREFEC.,0.0,0.0,0.0,10.5,86.0,7.4,150.6,162.2,46.4,0.0,0.0,0.0
BOUGOUMENE,0.0,0.0,58.9,3.0,**,56.3,122.1,232.9,163.7,0.0,0.0,0.0
DADOUAR,0.0,0.0,0.0,0.0,31.0,111.6,110.7,147.7,114.6,13.5,0.0,0.0
DELEP,0.0,0.0,0.0,0.0,13.4,115.9,122.5,112.0,113.8,0.0,0.0,0.0
DELI,0.0,0.0,53.0,30.3,140.8,171.7,402.8,269.4,173.5,62.0,0.0,0.0
DOBA CT,0.0,0.0,4.0,40.2,163.7,201.5,189.8,351.6,131.0,28.1,0.0,0.0
DOBA PREFECTUR,0.0,0.0,0.0,21.8,116.7,176.1,173.7,431.8,185.0,31.8,0.0,0.0
FIANGA CFPA,0.0,0.0,0.0,1.2,85.5,195.3,104.0,189.2,211.5,16.0,0.0,0.0
GORE,0.0,0.0,10.2,66.9,89.6,273.5,316.2,177.3,103.4,108.3,0.0,0.0
GUELENDENG,0.0,0.0,0.0,5.1,89.0,77.5,209.6,245.9,72.1,0.0,0.0,0.0
KELO CT,0.0,0.0,7.2,7.7,71.7,176.0,352.1,173.8,194.2,0.0,0.0,0.0
KOUMRA CT,0.0,0.0,0.0,44.8,87.4,333.0,270.0,198.1,135.7,56.3,0.0,0.0
KOUNDJOUROU,0.0,0.0,0.0,0.0,15.0,92.0,118.5,76.5,99.5,0.0,0.0,**
KYABE CT,0.0,0.0,96.9,24.5,130.9,222.6,271.4,310.0,168.4,30.5,0.0,0.0
KYABE S/PREF,0.0,0.0,0.0,12.0,119.5,154.2,266.1,313.7,171.6,29.2,0.0,0.0
LAGON,0.0,0.0,0.0,0.0,76.1,114.7,216.4,150.3,288.9,59.6,0.0,0.0
MAO,0.0,0.0,0.0,0.0,0.3,0.8,62.4,80.1,5.0,0.0,0.0,0.0
MASSAGUET,0.0,0.0,0.0,0.0,52.5,37.5,128.5,232.5,45.7,31.0,0.0,0.0
MASSAKORY CLIM,0.0,0.0,0.0,0.0,45.0,40.0,70.6,210.1,43.7,2.0,0.0,0.0
MELFI,0.0,0.0,0.0,0.0,86.0,183.7,168.1,225.9,42.6,144.7,0.0,0.0
MOITO,0.0,0.0,0.0,0.0,18.0,62.5,136.0,191.0,108.5,0.0,0.0,0.0
MONGO,0.0,0.0,0.0,28.5,28.2,132.5,145.5,169.4,2.2,6.0,0.0,0.0
MOUNDOU METEO,0.0,0.0,12.9,24.5,81.6,157.4,192.8,304.6,100.3,31.8,0.0,0.0
N'DJAMENA AERO,0.0,0.0,0.0,0.0,25.8,47.9,211.2,210.4,137.7,25.2,0.0,0.0
N'DJAMENA CHAG,0.0,0.0,0.0,0.0,21.5,164.5,143.3,201.7,140.0,6.0,0.0,0.0
NDAM,0.0,0.0,0.0,0.0,100.0,136.6,223.0,181.0,123.0,18.0,0.0,0.0
NGOURI,0.0,0.0,0.0,0.0,18.4,47.9,44.7,114.9,59.6,0.0,0.0,0.0
NOKOU,0.0,0.0,0.0,0.0,0.0,1.0,77.0,67.0,17.0,0.0,0.0,0.0
OUM-HADJER,0.0,0.0,0.0,11.0,21.0,98.5,88.4,108.9,17.0,6.0,0.0,0.0
PALA AERO,0.0,0.0,0.0,5.1,163.0,48.0,66.0,227.9,214.0,0.0,0.0,0.0
SARH METEO,0.0,0.0,2.3,9.0,142.4,179.8,204.1,166.7,121.0,37.3,0.0,0.0
