Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
ABALA,3.43,14.95,0,0,0,0,0,15,84.3,159.3,108.9,0,0,0
ABALAK,6.25,15.47,0,0,0,0,19.5,9.7,52.6,105,77.7,0,0,0
ADERBISSINAT,7.85,15.62,0,0,0,0,6.3,6.8,40.4,52.9,36.9,0,0,0
ADJE KORIA,6.78,14.33,0,0,0,0,0,20,118.3,182.5,18.4,0,0,0
ADJIRI,13,14.5,0,0,0,0,20.5,49.5,68.1,175.5,-29997,0,0,0
AGADEZ,7.98,16.97,0,0,0,0,0.5,5.8,83.6,69.7,46.9,0,0,0
AGUIE,7.77,13.50,0,0,0,0,53.8,132.3,129.1,129,20.7,0,0,0
AREWA(MADAOUA,5.8838,14.0506,0,0,0,0,0,107,123,168,52,0,0,0
ARLIT,7.33,18.50,0,0,0,0,0,5.2,1.7,54.4,22.5,0,0,0
ARZERORI(NOMA,5.92,14.15,0,0,0,0,0,85.2,132.2,185.4,34,0,0,0
AYOROU,0.85,14.75,0,0,0,0,15,62.5,35.7,94.8,112.2,5,0,0
BADEGUICHIRI,5.37,14.52,0,0,0,0,18.4,37,-9945.5,91.6,131,8.6,0,0
BAGAROUA,3.30,14.12,0,0,0,0,0,30,49.7,198.4,101.1,0,0,0
BAKIN-BIRGI,8.78,14.27,0,0,0,0,37.9,64.7,82,-19954,-19964.9,0,0,0
BALLEYARA,2.97,13.77,0,0,0,0,0,35.6,148.4,173.8,92.2,9.5,0,0
BALLEYARA . A,2.97,13.77,0,0,0,0,-29997,-19991,-19991,-29997,-9962,0,0,0
BAMBEYE,5.08,14.72,0,0,0,0,0,15,37.4,145.5,-9999,0,0,0
BANDE HAOUSSA,8.88,13.18,0,0,0,0,17.8,80.5,131.3,-9916.7,-9979,0,0,0
BANGUI,6.10,13.72,0,0,0,0,4.5,70,164,-9895.5,59,0,0,0
BANIBANGOU,2.50,15.05,0,0,0,0,0,63.9,128.1,142.4,92.9,0,0,0
BANKILARE,0.72,14.57,0,0,0,0,12.5,46.6,65.1,148.7,179.4,0,0,0
BELBEDJI,8.07,14.65,0,0,0,0,12.9,79.1,103.6,170.8,37,0,0,0
BENGOU,3.57,11.98,0,0,0,1.7,81,25,-9938,-9796.9,-9925.7,15.3,0,0
BERMO,6.684167,14.674167,0,0,0,0,14.5,93.1,63.4,143.7,64.2,0,0,0
BILMA,12.92,18.68,0,0,0,0,0,2.5,0.3,2.6,4,0,0,0
BIRNI NGAOUR,2.90,13.08,0,0,0,0,2,51.6,206.3,324.1,85.5,40,0,0
BIRNI NKAZOE,10.00,14.18,0,0,0,0,91,27.2,55.8,-9907.4,40.1,0,0,0
BIRNI NKONNI,5.28,13.80,0,0,0,3.2,31.8,46.4,113.8,138.8,84.2,32.8,0,0
BONKOUKOU,3.07,14.00,0,0,0,0,4.5,37.2,57.5,186.5,128.8,0,0,0
BOSSO,13.32,13.72,0,0,0,0,0,224.9,79.4,148.4,49,0,0,0
BOUTTI,11.33,13.65,0,0,0,0,0,3,51.2,197.8,58.4,0,0,0
BOUZA,6.05,14.42,0,0,0,0,32.7,119.5,134.9,159.8,26.2,18.6,0,0
CHADAKORI,6.98,13.73,0,0,0,0,4,71,-29997,-9884,-19977.5,25,0,0
CHETIMARI,12.50,13.30,0,0,0,0,0,6,57.2,218.3,14.8,0,0,0
