Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
ABALA,3.43,14.95,0,0,0,0,23.3,0,99.1,93.5,76.3,0,0,0
ABALAK,6.25,15.47,0,0,0,0,0,3.5,44.8,86.5,13.1,17,0,0
ADERBISSINAT,7.85,15.62,0,0,0,0,0,3.7,83.2,128.4,52.4,0,0,0
ADJE KORIA,6.78,14.33,0,0,0,0,5.2,37.1,98.4,99.4,44.4,0,0,0
AGADEZ,7.98,16.97,0,0.8,0,0,4.2,5.2,8.4,47.2,16.9,0,0,0
AGUIE,7.77,13.50,0,0,0,0,0,64.2,118.5,182.9,0,0,0,0
ARLIT,7.33,18.50,0,0,0,0,0,0,1.9,19.2,2.7,0,0,0
ARZERORI(NOMA,5.92,14.15,0,0,0,0,7,77.5,182.4,298,66,0,0,0
AYOROU,0.85,14.75,0,0,0,0,35,28.1,47,187,56.5,0,0,0
B.NGAOURE(AG),2.883,13.067,0,0,0,0,58,76.9,246.3,262.6,-29997,-9999,0,0
BADEGUICHIRI,5.37,14.52,0,0,0,0,45.5,27,82,133.8,93.7,0,0,0
BAGAROUA,3.30,14.12,0,0,0,0,20.2,86.2,94.5,75,42.5,11.5,0,0
BALLEYARA,2.97,13.77,0,0,0,0,14.9,33.6,124.6,266,30.9,0,0,0
BANDE HAOUSSA,8.88,13.18,0,0,0,0,8,28,114,140.5,-9994.8,5,0,0
BANGUI,6.10,13.72,0,0,0,0,-19973.3,-9973.1,96.3,-9897.8,-29997,-9999,0,0
BANIBANGOU,2.50,15.05,0,0,0,0,0,8.5,45.2,136.5,29.9,3.2,0,0
BANKILARE,0.72,14.57,0,0,0,0,7.4,39,73,238.7,23,0,0,0
BELBEDJI,8.07,14.65,0,0,0,54,11,2,162.2,195,0,0,0,0
BENGOU,3.57,11.98,0,0,0,12,76.2,78.8,83.1,209.2,183.7,0,0,0
BERMO,6.684167,14.674167,0,0,0,0,3,35,195.7,178.8,12.5,50,0,0
BEYLANDE,2.87,12.75,0,0,0,14,63.2,36.5,162.8,146.3,36,0,0,0
BILMA,12.92,18.68,0,0,0,0.7,11.7,0,0,0,1.5,0,0,0
BIRNI NGAOUR,2.90,13.08,0,0,0,0,18.1,69.3,246.3,116.5,57,2.5,0,0
BIRNI NKONNI,5.28,13.80,0,0,0,27.1,69.9,58.6,198.6,169.9,60.9,0,0,0
BONKOUKOU,3.07,14.00,0,0,0,0,24,4,119.7,54.6,0,0,0,0
BOSSO,13.32,13.72,0,0,0,0,0,0,41.5,134.5,0,0,0,0
BOUTTI,11.33,13.65,0,0,0,0,0,0,19.6,46,54.7,10,0,0
BOUZA,6.05,14.42,0,0,0,3.9,37.2,55.7,130,255.8,47.2,0,0,0
CHADAKORI,6.98,13.73,0,0,0,0,5.7,111.8,55,88,0,0,0,0
CHETIMARI,12.50,13.30,0,0,0,0,0,0,12,-19998,0,0,0,0
CHIKAL,3.43,14.42,0,0,0,0,54.1,-9996.2,-9982.8,181.9,-9999,0,0,0
DAIKAINA,1.48,14.18,0,0,0,0,37,33.4,176.5,133.2,19.4,0,0,0
DAKORO,6.75,14.52,0,0,0,36,28.5,30.5,147.5,194,51,1,0,0
DAMAGARAM-TAKAYA,9.47,14.17,0,0,0,0,2.5,4.8,116.7,108.7,50,5.5,0,0
DAMANA,3.067,13.900,0,0,0,0,0,40,171,-9856.5,38.5,0,0,0
DAN BARTO,8.33,13.17,0,0,0,0,8.8,72.5,142.7,89.8,11,0,0,0
DAN MEIRO,7.32,13.88,0,0,0,-9999,-29997,-19950,73,98,8,0,0,0
DAN TCHIAO,9.08,12.87,0,0,0,0,6.5,14.5,153,276,50,6,0,0
DANGONA,5.02,14.27,0,0,0,0,0,47.7,83,183.4,41,0,0,0
DANKOULOU,5.02,14.27,0,0,0,-9999,-29997,-9992,171,166,-29997,-9999,0,0
