Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
ARIBINDA,-0.87,14.23,0,0,0,0.1,10.1,49.5,52.5,281.3,86.7,7.4,0,0
BAGUERA,-5.42,10.53,0,0,27.1,182.7,78.1,196.9,384.7,250.2,345.4,126.3,12,0
BANFORA AGRI,-4.77,10.62,0,0,115.7,46.9,-29997,124.1,287.6,312.4,294.8,119.6,0,0
BANI,-0.17,13.72,0,0,0,38.5,0,44.5,73,400,53,10,0,0
BARABOULE,-1.85,14.22,0,0,0,0,0,14.6,76.4,224.7,117.8,5.6,0,0
BARSALOGHO,-1.07,13.42,0,0,0,1.3,0,33.8,102.9,203.3,148.5,18.3,0,0
BATIE,-2.92,9.88,0,0,4.2,61.2,77,132.6,123.2,176.5,167.4,121.2,0,0
BEREBA,-3.68,11.62,0,0,0,10,18.5,187.9,187.7,210.4,270,176.9,0,0
BEREGADOUGOU,-4.73,10.75,0,0,0,84.3,70.6,242.7,203.7,299.9,228.5,119.9,0,0
BETARE,-1.37,11.43,0,0,0,18.9,63,76.7,242.8,291.5,135.5,110.1,0,0
BILANGA,-0.02,12.55,0,0,0,3.7,44.7,51.8,109.8,210.9,187.8,16.9,0,0
BOMBOROKUY,-3.98,13.05,0,0,0,11,-29997,63.1,60.9,227.7,54.9,66.6,0,0
BONDOUKUY,-3.77,11.85,0,0,0,2.7,73,196.1,-29997,-29997,96,-29997,0,0
BOTOU,2.05,12.67,0,0,0,0,15.1,62.2,285.8,375.1,178.1,21.1,0,0
BOULBI,-1.53,12.23,0,0,0,0,46.8,173.6,227.6,399.4,187.8,76.6,0,0
BOULSA,-0.57,12.65,0,0,-9999,-29997,-29997,-29997,158,184.5,145,41.5,0,0
BOURA,-2.5,11.05,0,0,5,81.6,81.9,138.2,107,225.3,242.6,105.1,0,0
BOURZANGA,-1.55,13.68,0,0,0,0.8,19,75,134.3,249.5,61.6,11.4,0,0
BOUSSE,-1.88,12.67,0,0,0,-29997,-29997,121.4,89.3,283.5,142.9,59.6,0,0
DAKIRI,-0.23,13.28,0,0,0,0,0,54.6,103.8,160.5,36.5,0,0,0
DANO,-3.07,11.15,0,0,0,25.4,82,153.8,124.8,226.9,303.9,-29997,0,0
DI-SOUROU,-3.42,13.17,0,0,0.8,12.4,59.3,104.7,101.1,256.9,81.2,42.6,0,0
DIAPAGA,1.78,12.07,0,0,0,0,30.9,57.3,155.1,203.1,146.1,16.8,0,0
DIDYR,-2.62,12.57,0,0,0,5.5,17.2,136.4,76.1,225.9,148.9,37.9,0,0
DIEBOUGOU,-3.25,10.97,0,0,14,82.4,35.1,241.9,189.2,216.1,278.3,101.8,0,0
DISSIN,-2.93,10.93,0,0,14,47.4,61,154.5,153,257.5,317.8,73,0,0
DJIBO,-1.62,14.1,0,0,0,0,12.2,40,114.8,247.7,116.5,5.6,0,0
FARA,-2.77,11.52,0,0,0,57.8,97.2,134.2,109.6,164.6,311.7,43.4,0,0
GAYERI,0.48,12.65,0,0,0,0.6,17.9,47.9,155.8,129.6,207.4,29.2,0,0
GORGADJI,-0.52,14.03,0,0,0,6,2.7,28.1,92.7,231.4,52.3,55.8,0,0
GOROM-GOROM,-0.23,14.45,0,0,0,0,0,92.8,134,275.1,59.8,0,0,0
GOURCY,-2.35,13.2,0,0,0,0,5.3,167,97.3,237.3,39.5,67.4,0,0
GUILONGOU,-1.3,12.62,0,0,0,16.2,0,43.7,173.6,156.7,84.7,64,0,0
HOUNDE,-3.52,11.48,0,0,5.2,13.9,44.6,171.2,115.6,265.5,321.3,-29997,0,0
IMANSGHO,-2.33,12.43,0,0,0,0,22.9,95,143.9,268.9,190.6,-29997,0,0
KAMBOINCE,-1.55,12.47,0,0,0,8.2,4.5,46.5,100.6,337.5,102.9,13.5,0,0
KAMPTI,-3.47,10.13,0,0,31.3,151.4,83.6,139,148.1,337.5,167.5,72.1,0,0
KANTCHARI,1.52,12.47,0,0,0,2.7,19.4,92.4,185.3,-29997,-29997,-29997,0,0
KASSOUM,-3.3,13.08,0,0,3.4,8.4,26.8,105.7,97.9,247.5,91,49.5,0,0
KIEMBARA,-2.72,13.25,0,0,0,1,8.9,84,161.2,211.8,39,38.2,0,0
KINDI,-2.03,12.43,0,0,0,3.5,45.2,61.2,121.1,269.7,119.3,37,0,0
KOKOLOGHO,-1.88,12.18,0,0,0,0,16.5,155.5,119.4,284.5,137,28,0,0
KOMBISSIRI,-1.33,12.07,0,0,0,4.7,20.8,161.4,134.4,167.6,128.8,40.9,0,0
KOMIN-YANGA,0.13,11.73,0,0,0,13,171.8,77.8,298.2,116,134.7,135.6,0,0
KORSIMORO,-1.07,12.82,0,0,0,9,13,63,147,225.5,77,37,0,0
KOUDOUGOU,-2.37,12.27,0,0,0,0,45,157,143,260.5,118,-29997,0,0
KOUKA,-4.33,11.9,0,0,0,41.5,76.2,114.6,200.8,225,218.5,73.8,0,0
KOUMBIA,-3.7,11.23,0,0,30.1,15.2,43.9,92.6,293.4,310.6,188.3,137.3,0,0
