STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
BEREGADOUGOU,0.0,0.0,24.7,39.4,163.7,134.1,342.5,319.4,364.1,**,**,**
BOBO-DIOULASSO,0.0,0.0,21.2,33.7,140.5,117.7,154.1,372.5,225.8,**,**,**
BOGANDE,0.0,0.0,0.0,3.1,36.9,89.7,359.9,275.3,124.0,22.1,0.0,**
BOROMO,0.0,0.0,22.4,22.8,49.5,157.6,291.8,198.5,74.1,**,**,**
DEDOUGOU,0.0,0.0,13.7,40.8,45.4,52.1,208.7,231.9,186.9,**,**,**
DI-SOUROU,0.0,0.0,0.0,0.0,18.6,118.6,229.0,297.7,152.6,**,**,**
DORI,0.0,0.0,0.0,0.0,36.1,75.7,202.4,347.9,105.9,**,**,**
FADA N'GOURMA,0.0,0.0,0.0,16.8,43.2,140.3,213.6,189.8,276.7,**,**,**
GAOUA,0.0,0.0,32.0,70.6,67.5,109.3,273.0,168.8,255.1,**,**,**
NIANGOLOKO,0.0,0.0,13.0,23.0,64.3,102.9,221.7,400.3,159.6,**,**,**
OUAGADOUGOU AE,0.0,0.0,0.0,4.8,9.8,88.4,302.3,256.0,205.8,**,**,**
OUAHIGOUYA,0.0,0.0,0.0,0.0,16.1,114.5,143.2,225.3,160.0,**,**,**
PO,0.0,0.0,0.0,50.4,76.0,74.0,214.2,310.4,311.7,**,**,**
VALLEE DU KOU,0.0,0.0,10.7,22.5,75.5,87.7,216.8,324.7,308.0,**,**,**
