STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
ABALA,0.0,**,**,0.0,3.6,28.5,27.0,66.7,28.0,6.8,0.0,**
ABALAK,0.0,**,**,0.0,10.3,37.0,27.5,16.5,6.0,3.0,0.0,**
ADERBISSINAT,0.0,**,**,0.0,0.0,23.2,33.6,133.4,17.2,0.0,0.0,**
ADJE KORIA,0.0,**,**,0.0,10.0,61.9,62.8,130.8,43.0,0.0,0.0,**
AGADEZ,0.0,**,**,0.0,0.0,17.4,76.2,53.1,4.4,5.5,0.0,**
AGUIE,0.0,**,**,0.0,7.5,18.0,230.9,238.3,120.5,0.0,0.0,**
ARLIT,0.0,**,**,0.0,0.0,10.7,0.0,7.4,12.5,0.0,0.0,**
AYOROU_PT,0.0,**,**,0.0,58.7,55.5,124.8,124.4,63.0,3.0,0.0,**
BADEGUICHIRI,0.0,**,**,0.0,51.0,28.1,28.7,150.5,41.7,2.6,0.0,**
BAGAROUA,0.0,**,**,0.0,18.0,13.0,42.5,80.4,26.9,0.0,0.0,**
BAKIN-BIRGI,0.0,**,**,0.0,0.0,16.9,40.8,104.0,0.0,0.0,0.0,**
BALLEYARA,0.0,**,**,0.0,27.0,53.9,139.5,175.2,10.0,26.0,0.0,**
BANDE HAOUSSA,0.0,**,**,0.0,66.0,94.2,203.2,274.9,35.0,4.0,0.0,**
BANGUI,0.0,**,**,0.0,18.5,78.7,136.7,100.0,35.0,0.0,0.0,**
BANIBANGOU,0.0,**,**,0.0,17.0,34.9,128.4,124.7,54.0,3.0,0.0,**
BANKILARE,0.0,**,**,0.0,43.4,83.0,126.0,135.1,76.0,0.0,0.0,**
BELBEDJI,0.0,0.0,0.0,2.5,0.0,30.6,48.5,253.4,49.0,0.0,0.0,0.0
BENGOU,0.0,**,**,0.0,84.2,121.9,191.7,330.0,87.4,60.0,0.0,**
BERMO,0.0,0.0,0.0,0.0,0.0,54.0,85.1,143.7,63.1,0.0,0.0,0.0
BEYLANDE,0.0,**,**,0.0,56.0,78.5,238.5,249.0,118.5,25.0,0.0,**
BILMA,0.0,**,**,0.0,0.0,2.2,2.0,6.7,4.9,0.0,0.0,**
BIRNI N'GAOURE,0.0,0.0,0.0,0.0,13.0,22.7,217.3,267.0,18.0,22.0,0.0,0.0
BIRNI N'KONNI,0.0,**,**,0.0,39.4,39.2,90.4,285.7,109.9,4.9,0.0,**
BONKOUKOU,0.0,**,**,0.0,0.0,11.5,67.0,106.7,0.0,0.0,0.0,**
BOUTTI,0.0,**,**,0.0,0.0,46.0,90.8,113.5,25.3,13.0,0.0,**
BOUZA,0.0,**,**,0.0,2.3,41.5,75.4,214.2,56.0,1.7,0.0,**
CHADAKORI,0.0,**,**,0.0,57.2,51.5,271.6,34.5,124.3,0.0,0.0,**
CHETIMARI,0.0,**,**,0.0,0.0,15.5,93.5,76.0,17.0,0.0,0.0,**
CHIKAL,0.0,**,**,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,**
DAKORO,0.0,**,**,0.0,4.0,74.5,64.1,182.9,62.8,0.0,0.0,**
DAMAGARAM-TAKA,0.0,**,**,0.0,22.9,80.9,194.3,170.2,49.3,0.0,0.0,**
DAMANA,0.0,**,**,0.0,37.5,8.5,88.0,72.0,0.0,0.0,0.0,**
DAN BARTO,0.0,**,**,0.0,8.0,129.3,168.8,81.9,66.0,0.0,0.0,**
DAN ISSA,0.0,**,**,0.0,0.0,0.0,195.0,0.0,123.4,0.0,0.0,**
DAN TCHIAO,0.0,**,**,0.0,12.0,113.0,79.0,82.5,60.0,0.0,0.0,**
DANGONA,0.0,**,**,0.0,2.6,27.6,143.6,105.4,66.0,1.5,0.0,**
DANKOULOU,0.0,**,**,**,3.0,74.0,2.5,180.0,10.0,0.0,0.0,**
DANTCHANDOU,0.0,**,**,0.0,14.0,5.0,122.0,27.0,0.0,0.0,0.0,**
DARGOL,0.0,**,**,0.0,0.0,5.7,104.0,59.0,0.0,0.0,0.0,**
DEYTEGUI,0.0,**,**,**,42.0,13.0,115.1,184.0,36.0,4.5,0.0,**
DIFFA,0.0,**,**,0.0,0.6,72.5,29.1,245.1,51.0,0.4,0.0,**
DIOUNDIOU,0.0,**,**,0.0,36.9,157.0,244.6,345.8,103.9,12.5,0.0,**
DODORI,0.0,**,**,**,57.0,34.0,25.0,0.0,0.0,0.0,0.0,**
DOGO,0.0,**,**,0.0,18.0,57.2,67.0,124.0,30.0,0.0,0.0,**
DOGONDOUTCHI,0.0,**,**,0.0,33.7,19.3,196.7,230.7,38.6,11.0,0.0,**
DOSSO,0.0,**,**,0.0,103.9,41.9,222.0,179.6,93.9,31.8,0.0,**
DUNGASS,0.0,**,**,0.0,22.1,99.8,175.1,161.7,73.0,22.0,0.0,**
FALMEY,0.0,0.0,0.0,0.0,75.0,77.0,236.0,314.0,128.0,14.0,0.0,0.0
FALOUEL,0.0,**,**,0.0,41.5,0.0,148.5,296.0,84.5,8.0,0.0,**
FILINGUE,0.0,**,**,0.0,30.4,39.5,53.7,186.2,33.5,9.0,0.0,**
GALMI,0.0,**,**,0.0,17.0,10.0,136.0,273.5,122.0,0.0,0.0,**
GARHANGA,0.0,**,**,0.0,0.0,50.0,173.0,246.0,98.0,0.0,0.0,**
GAYA,0.0,0.0,0.0,1.6,109.8,149.7,317.8,374.4,180.7,52.2,0.0,0.0
GAYA.AGRI,0.0,**,**,**,33.8,86.8,282.5,314.8,99.3,39.0,0.0,**
GAZAOUA,0.0,**,**,0.0,13.2,72.8,119.4,232.6,72.5,15.0,0.0,**
GOTHEYE,0.0,**,**,0.0,37.8,108.3,141.8,117.7,75.0,4.3,0.0,**
GOUCHI,0.0,**,**,**,2.1,125.0,112.5,102.8,34.0,0.0,0.0,**
GOUDOUMARIA,0.0,**,**,0.0,5.5,34.2,309.1,314.3,19.5,3.0,0.0,**
GOURE (PTT),0.0,**,**,1.0,11.2,89.4,73.2,114.0,75.4,13.0,0.0,**
GUECHEME,0.0,0.0,0.0,0.1,29.0,74.0,205.0,82.4,137.0,10.0,0.0,0.0
GUESKEROU,0.0,**,**,0.0,0.0,13.0,177.6,105.6,30.0,0.0,0.0,**
GUIDAM ROUMDJI,0.0,**,**,0.0,2.0,44.5,120.6,233.1,75.9,0.0,0.0,**
GUIDAN IDDER,0.0,**,**,0.0,40.0,46.0,99.2,177.5,114.0,0.0,0.0,**
GUIDIGUIR,0.0,**,**,0.0,0.0,18.0,105.0,95.0,37.0,0.0,0.0,**
GUIDIMOUNI,0.0,**,**,0.0,0.0,0.0,41.0,25.0,0.0,0.0,0.0,**
IBOHAMANE,0.0,**,**,0.0,33.0,49.0,97.0,127.5,44.0,36.0,0.0,**
IFEROUANE,0.0,**,**,0.0,0.0,17.3,0.0,43.9,31.9,0.0,0.0,**
ILLELA,0.0,**,**,0.0,37.1,80.5,149.4,154.0,89.4,2.4,0.0,**
IN GALL,0.0,**,**,0.0,0.0,0.0,70.1,39.9,28.0,0.0,0.0,**
KABELAWA,0.0,**,**,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,**
KANEMBAKATCHE,0.0,**,**,0.0,24.0,33.0,118.5,155.2,0.0,0.0,0.0,**
KANTCHE,0.0,**,**,0.0,16.0,34.8,135.0,137.0,24.6,0.0,0.0,**
KAO,0.0,**,**,0.0,0.0,35.0,69.9,155.0,56.0,36.0,0.0,**
KARA - KARA,**,**,**,0.0,45.2,132.1,96.0,104.0,83.0,29.0,0.0,**
KEITA,**,**,**,0.0,23.2,78.3,100.4,189.1,84.3,18.0,0.0,**
KOLO,0.0,**,**,0.0,1.7,6.9,111.3,128.2,68.3,45.1,0.0,**
KORE MAIROUA,**,**,**,0.0,36.2,152.1,209.1,72.5,32.0,52.5,0.0,**
KORGOM,**,**,**,**,0.0,74.1,88.0,55.5,119.0,6.0,0.0,**
KOTAKI,**,**,**,0.0,22.5,38.5,225.0,**,108.2,12.0,0.0,**
KOURE,**,**,**,**,2.0,0.0,30.0,0.0,0.0,8.5,0.0,**
LIDO,**,**,**,9.6,5.0,104.0,229.0,186.0,110.0,10.0,**,**
LOGA,**,**,**,0.0,60.0,21.5,125.2,182.5,79.5,32.0,**,**
MADAOUA,**,**,**,0.0,16.0,44.7,103.0,135.7,62.3,0.0,**,**
MADAROUNFA,**,**,**,0.0,6.0,68.7,169.0,161.2,88.2,0.0,**,**
MAGARIA,0.0,0.0,0.0,0.0,41.0,116.9,228.2,205.3,60.4,7.8,0.0,0.0
MAINE SOROA,**,**,**,0.0,2.2,88.8,75.3,190.8,87.0,7.3,**,**
MALBAZA,**,**,**,0.0,52.7,96.5,136.4,184.0,120.0,2.5,**,**
MALLAOUA,**,**,**,0.0,21.1,164.2,210.9,106.2,45.0,21.0,**,**
MARADI AERO,**,**,**,4.9,12.3,91.2,125.8,187.3,213.8,1.5,**,**
MARAKA,**,**,**,0.0,0.0,0.0,69.3,0.0,0.0,0.0,**,**
MATAMAYE,**,**,**,0.0,7.8,126.0,185.5,182.3,90.1,12.7,**,**
MATANKARI,**,**,**,0.0,12.0,9.3,149.5,181.4,98.4,17.5,**,**
MAYAHI,**,**,**,0.0,12.1,85.4,100.9,259.8,103.8,0.0,**,**
MYRRIAH,**,**,**,0.0,17.4,119.7,172.3,107.4,59.0,0.0,**,**
N'GOURTI,**,**,**,0.0,0.0,19.0,0.0,86.5,0.0,0.0,**,**
N'GUIGMI,**,**,**,0.0,0.0,74.5,86.0,106.6,44.9,0.0,0.0,**
NIAMEY AERO,0.0,**,**,0.0,32.7,32.8,100.5,166.3,93.7,13.8,**,**
NIAMEY VILLE,**,**,**,0.0,28.5,11.5,88.2,223.3,49.8,25.0,**,**
OUALLAM,**,**,**,0.0,20.0,113.2,133.0,111.1,75.0,11.0,**,**
OUNA,**,**,**,0.0,0.0,64.0,136.0,169.0,15.0,0.0,**,**
SABON BIRNI,0.0,0.0,0.0,0.7,91.3,151.0,346.0,180.0,162.5,49.0,0.0,0.0
SAE SABOUA,**,**,**,0.0,0.0,27.0,156.0,2.0,0.0,0.0,**,**
SAMBERA,**,**,**,0.0,9.0,60.0,95.0,186.0,16.0,0.0,**,**
SANSANE HAOUSS,**,**,**,0.0,0.0,0.0,0.0,0.0,21.0,0.0,**,**
SAOUNI,**,**,**,0.0,0.0,11.0,93.5,10.0,7.2,0.0,**,**
SASSOUMBROUM,**,**,**,0.0,21.0,108.0,173.8,108.5,70.5,23.0,**,**
SAY,**,**,**,0.0,5.5,42.1,122.4,186.2,196.5,51.5,**,**
SIA,**,**,**,0.0,66.0,26.0,66.0,206.0,0.0,0.0,**,**
SIMIRI,**,**,**,0.0,0.0,44.0,84.0,60.0,0.0,0.0,**,**
TAHOUA,**,**,**,0.0,24.9,26.0,51.6,159.1,85.8,25.3,**,**
TAKIETA,**,**,**,0.0,9.8,121.8,147.3,176.3,110.2,29.0,**,**
TAMASKE,**,**,**,0.0,36.4,59.3,167.8,77.0,111.0,33.0,**,**
TAMOU,0.0,0.3,0.0,1.1,56.5,28.0,179.8,175.5,126.0,10.0,0.0,0.0
TANOUT,**,**,**,0.0,2.8,38.7,87.4,76.5,62.0,0.0,**,**
TASSARA,**,**,**,0.0,6.7,42.9,44.1,50.1,13.0,3.0,**,**
TCHADAOUA,**,**,**,0.0,10.0,0.0,44.0,0.0,0.0,0.0,**,**
TCHINTABARADEN,**,**,**,0.0,0.0,13.5,37.0,116.0,38.0,4.3,**,**
TERA,**,**,**,0.0,19.5,114.9,126.4,128.8,32.4,39.0,**,**
TESKER,**,**,**,0.0,0.0,22.9,42.9,20.5,30.3,0.0,**,**
TESSA,0.0,0.0,0.0,0.0,23.0,42.0,209.0,200.6,127.0,26.0,0.0,0.0
