Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
MOUNDOU ,16.07,8.62,-29997,-29997,-29997,-9938.6,185.3,137.5,198.2,256.3,-29997,-29997,-29997,-9999
DONIA,16.42,8.4,-29997,-29997,-9961.8,102.9,173.1,205.3,395.6,245.3,59.8,48.2,0,0
BEBEDJIA,16.57,8.67,0,10.6,25.9,94.4,-9887.9,474.1,431.5,136.7,98.7,0,0,-29997
DOBA ,16.85,8.67,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
BEKAMBA,17.35,8.72,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
KOUMRA,17.53,8.92,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
MOISSALA ,17.78,8.38,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MOUSSAFO,18.72,8.85,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MARO,18.78,8.4,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BAIBOK,15.68,7.73,0,6.5,8,122.4,133,265,206.5,256,160.5,27.5,16,0
PANDZANG,15.8,7.95,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BEKAO,16.07,7.92,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BEKAN,15.68,7.73,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
GORE,16.63,7.93,0,6.3,68,175.6,-29997,-9843.2,331.4,218.3,111.1,0,0,0
GOUNDI ,17.37,9.37,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MOUSSORO,16.5,13.65,0,0,0,0,33,14.2,212.5,70,-29997,-9999,0,0
BOL,14.72,13.47,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
