Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
IRIBA,22.25,15.12,0,0,0,0,0,45,227.5,33.7,0,0,0,0
MAO,15.32,14.12,0,0,0,0,0,21,76.2,-9941.9,-29997,-29997,-29997,-29997
BILTINE,20.92,14.52,0,0,0,11,4,58.4,234.5,64,0,0,0,0
AMZOER,21.37,14.22,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
NGOURI,15.38,13.63,0,0,0,0,21,82.7,131.1,101.6,0,0,0,0
ATI,18.32,13.22,0,0,0,0,28.9,64,160.1,148.3,0,0,0,0
DJEDAA,18.58,13.52,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
OUMHADJ,19.7,13.3,0,0,0,4.3,8.7,85,244.7,142,2,0,0,0
ABECHE,20.85,13.85,0,0,0,3.7,0,96.9,150.1,76.9,0.1,0,0,0
ADRE,22.2,13.47,0,0,0,3,40.9,158.1,220.9,66.6,0,0,0,0
NDJAMENA ,15.03,12.13,0,0,0,4.5,45.1,190.6,204.3,143.9,29.4,16.5,0,0
TOURBA,15.3,12.87,0,0,0,0,10.3,235.8,192,55.2,0,1,0,0
MASSAGUET,15.42,12.5,-29997,-29997,-29997,-9990.5,21,90,215,-19875.5,-29997,-9999,-29997,-9999
KOUNDOUL,15.15,11.98,0,0,3,12.7,68,97,264.5,-19902.1,-29997,-29997,-29997,-9999
BOKORO,17.05,12.38,0,0,0,8,17.8,67,204.3,195,0,2.8,0,0
DADOUAR,18.45,12.13,0,0,0,18.8,70.4,127.4,256.3,195.8,43.2,0,0,0
MONGO,18.68,12.18,0,0,0,26.2,41.2,170.6,301.7,-9742.7,-29997,-9999,0,0
BARO,18.97,12.2,0,0,0,56.1,51.5,85.6,221.5,151,7,0,0,0
MANGALME,19.62,12.37,0,0,0,79.7,39.9,127.6,234.8,216,4.5,0,0,0
GOZBEIDA,21.42,12.23,0,0,0,29,30.8,161.7,262.6,169.1,10.8,0,0,0
AMDAM,20.48,12.77,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MANDALIA,15.25,11.73,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MASSENYA,16.17,11.4,0,0,4.5,66,92,128,241.1,79,0,0,0,0
MELFI,17.93,11.07,0,0,7,22.2,153.8,138.1,289.4,-19942.5,-29997,-9999,0,0
BITKINE,18.22,11.98,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
ABOUDEIA,19.28,11.48,0,0,0,81.4,77.6,111.5,433.2,102.9,3.2,0,0,0
AMTIM,20.28,11.03,0,0,0,18.4,70,91,285.8,193.1,-29997,-9999,0,0
BILLIAM,15.25,10.58,0,0,9.9,122.9,98.1,107.6,267,337.2,34.1,0,0,0
BONGOR ,15.37,10.28,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9986.2,-29997,-29997,-29997,-29997
GUELENDE,15.55,10.92,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BAILLI,16.43,10.52,0,0,7,94.3,86.8,202.1,303,158.3,12.6,13.5,0,0
BOUSSO,16.72,10.48,0,0,-19998,-29997,-29997,-29997,-19878.8,-9999,-29997,-29997,-29997,-29997
DAGUELA,18.45,10.73,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
HARAZEM,21.32,10.5,-29997,-29997,-9999,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
LERE,14.15,9.63,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
