Nom,Lon,Lat,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
KOULIKORO,-7.37,12.97,-29997,-29997,-29997,4.699999999,133.5,173.2,52.4,-19998,-29997,-29997,-29997,-29997
BAMAKOV,-8.02,12.63,-29997,-29997,-29997,147.1000001,268.1,185.1,162.2,-19998,-29997,-29997,-29997,-29997
NIORO,-9.6,15.23,-29997,-29997,-29997,54.19999999,0,49.99999999,224.4,-19998,-29997,-29997,-29997,-29997
NARA,-7.28,15.17,-29997,-29997,-29997,73.59999999,6.8,73.30000002,262.6000001,-19998,-29997,-29997,-29997,-29997
YELIMANE,-10.57,15.12,-29997,-29997,-29997,124.2,0.5,48.3,171.9,-19998,-29997,-29997,-29997,-29997
DIEMA,-9.18,14.55,-29997,-29997,-29997,118.7,43.5,128,139.2,-19998,-29997,-29997,-29997,-29997
MOPTI,-4.1,14.52,-29997,-29997,-29997,15.4,30.3,111.8,142.1,-19998,-29997,-29997,-29997,-29997
KAYES,-11.43,14.43,-29997,-29997,-29997,17.1,32.6,141.8,134.3,-19998,-29997,-29997,-29997,-29997
NIONO,-5.98,14.25,-29997,-29997,-29997,11,52.9,59.29999999,154,-19998,-29997,-29997,-29997,-29997
KE-MACINA,-5.37,13.95,-29997,-29997,-29997,24,70,105.8,107.7,-19998,-29997,-29997,-29997,-29997
BAFOULABE,-10.83,13.8,-29997,-29997,-29997,16.6,14.6,105.2,165.8,-19998,-29997,-29997,-29997,-29997
KOLOKANI,-8.03,13.58,-29997,-29997,-29997,100.8,59.5,118.9,246.8,-19998,-29997,-29997,-29997,-29997
BANAMBA,-7.45,13.55,-29997,-29997,-29997,0,51,64,101.9,-19998,-29997,-29997,-29997,-29997
SEGOU,-6.15,13.4,-29997,-29997,-29997,26,120.4,138.2,139,-19998,-29997,-29997,-29997,-29997
SAN,-4.9,13.28,-29997,-29997,-29997,14.9,24.1,175.7,137.5,-19998,-29997,-29997,-29997,-29997
TOMINIAN,-4.6,13.28,-29997,-29997,-29997,27.4,23.8,99.29999998,173.6,-19998,-29997,-29997,-29997,-29997
KITA,-9.45,13.07,-29997,-29997,-29997,72.00000001,204.5,59.3,197.4,-19998,-29997,-29997,-29997,-29997
BAROUELI,-6.83,13.07,-29997,-29997,-29997,46.60000001,139.4,187,170.5,-19998,-29997,-29997,-29997,-29997
BLA,-5.77,12.95,-29997,-29997,-29997,30,96,175,226,-19998,-29997,-29997,-29997,-29997
KATIBOUGOU,-7.53,12.93,-29997,-29997,-29997,51.7,183.6,127.4,101.6,-19998,-29997,-29997,-29997,-29997
KENIEBA,-11.35,12.8,-29997,-29997,-29997,61.8,137.9,175.8,207.1,-19998,-29997,-29997,-29997,-29997
NTARLA ,-5.75,12.7,-29997,-29997,-29997,30,0,154,59.5,-19998,-29997,-29997,-29997,-29997
KATI-HAUT,-8.07,12.73,-29997,-29997,-29997,0,143,163,213,-19998,-29997,-29997,-29997,-29997
SOTUBA,-7.93,12.65,-29997,-29997,-29997,165.1,224.7,190.3,128.5,-19998,-29997,-29997,-29997,-29997
BAMAKO SENOU,-7.95,12.53,-29997,-29997,-29997,104.7,200.1000001,143.8,99.49999999,-19998,-29997,-29997,-29997,-29997
BAGUINEDA,-7.78,12.62,-29997,-29997,-29997,60,267,186,147,-19998,-29997,-29997,-29997,-29997
DIOILA,-6.8,12.48,-29997,-29997,-29997,37.90000001,285.9,138.6,188.3,-19998,-29997,-29997,-29997,-29997
KOUTIALA,-5.47,12.4,-29997,-29997,-29997,33.1,148.2,292.5,160.2,-19998,-29997,-29997,-29997,-29997
YOROSSO,-4.78,12.37,-29997,-29997,-29997,10,69,251,260,-19998,-29997,-29997,-29997,-29997
OUELESSEBOUGOU,-7.92,11.98,-29997,-29997,-29997,86.3,106.5,131.1,182.8,-19998,-29997,-29997,-29997,-29997
KANGABA,-8.42,11.93,-29997,-29997,-29997,172.6,183.2,159.4,172.9,-19998,-29997,-29997,-29997,-29997
BOUGOUNI,-7.5,11.42,-29997,-29997,-29997,179.9,145.2,166.9,249.2,-19998,-29997,-29997,-29997,-29997
SIKASSO,-5.68,11.35,-29997,-29997,-29997,69.30000001,117.7,329,276.3,-19998,-29997,-29997,-29997,-29997
YANFOLILA,-8.15,11.18,-29997,-29997,-29997,127,248,231,160,-19998,-29997,-29997,-29997,-29997
KOLONDIEBA,-6.9,11.1,-29997,-29997,-29997,63.7,232,204.4,332.8,-19998,-29997,-29997,-29997,-29997
KADIOLO,-5.77,10.55,-29997,-29997,-29997,28,178,169,293,-19998,-29997,-29997,-29997,-29997
MAHINA,-10.83,13.73,-29997,-29997,-29997,59.50000001,22.3,102.7,249.3,-19998,-29997,-29997,-29997,-29997
SELINGUE,-8.23,11.65,-29997,-29997,-29997,-9877,9,130.9,244.5,-19998,-29997,-29997,-29997,-29997
