STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
ABALA,0.0,0.0,0.0,0.0,7.3,16.5,72.4,169.7,**,88.0,0.0,0.0
ABALAK,0.0,0.0,0.0,0.0,30.8,61.5,54.9,90.0,**,**,0.0,0.0
ADERBISSINAT,0.0,0.0,0.0,0.0,0.0,30.6,50.5,134.5,**,**,0.0,0.0
ADJE KORIA,0.0,0.0,0.0,0.0,0.0,33.5,43.0,65.7,70.0,17.0,0.0,0.0
AGADEZ,0.0,0.0,0.0,0.0,0.0,10.7,51.6,134.4,0.0,18.7,0.0,0.0
AGUIE,0.0,0.0,0.0,0.0,10.0,92.5,99.3,111.5,113.9,8.0,0.0,0.0
ALLELA,0.0,0.0,0.0,0.0,0.0,0.0,15.4,101.0,47.5,58.0,0.0,0.0
ARZERORI(NOMAD,0.0,0.0,0.0,0.0,60.2,119.0,54.0,204.0,99.5,43.0,0.0,0.0
BENGOU,0.0,0.0,0.0,0.0,124.6,120.8,270.0,230.1,127.0,50.4,0.0,0.0
BENGOU_INRAN,0.0,0.0,0.0,0.0,183.5,135.0,223.6,184.5,82.1,58.0,0.0,0.0
BERMO,0.0,0.0,0.0,0.0,1.0,54.4,88.0,88.3,27.8,7.4,0.0,0.0
BEYLANDE,0.0,0.0,0.0,0.0,92.8,138.0,249.0,265.1,114.2,40.0,0.0,0.0
BILMA,0.0,0.0,0.0,0.0,0.0,0.0,2.7,39.5,1.1,0.0,0.0,0.0
BIRNI N'GAOURE,0.0,0.0,0.0,0.0,25.5,62.4,189.9,155.9,105.2,32.0,0.0,0.0
BIRNI N'KONNI,0.0,0.0,0.0,0.0,**,55.3,103.2,95.6,117.2,31.4,0.0,0.0
BONKOUKOU,0.0,0.0,0.0,0.0,0.0,0.0,59.5,118.1,**,**,0.0,0.0
BOUZA_AGRI,0.0,0.0,0.0,0.0,**,118.2,104.6,158.3,76.3,32.0,0.0,0.0
CHADAKORI,0.0,0.0,0.0,0.0,4.5,30.5,36.5,197.0,91.8,16.0,0.0,0.0
DAKORO,0.0,0.0,0.0,0.0,33.4,79.2,158.9,173.0,76.0,38.2,0.0,0.0
DAN KASSARI,0.0,0.0,0.0,0.0,26.0,125.0,91.0,85.5,106.5,63.5,0.0,0.0
DIFFA,0.0,0.0,0.0,0.0,0.0,41.8,138.9,165.7,60.4,79.9,0.0,0.0
DIOUNDIOU,0.0,0.0,0.0,0.0,90.3,163.3,157.8,275.5,89.1,40.7,0.0,0.0
DJOBODEY,0.0,0.0,0.0,0.0,**,93.2,133.7,243.5,142.5,18.5,0.0,0.0
DOGONDOUTCHI,0.0,0.0,0.0,0.0,1.7,84.3,117.8,144.5,99.5,96.8,0.0,0.0
DOGUERAROUA,0.0,0.0,0.0,0.0,27.6,120.9,174.6,185.3,114.8,36.2,0.0,0.0
DOLE_GAYA,0.0,0.0,0.0,0.0,110.0,120.0,200.0,408.5,105.2,116.5,0.0,0.0
DOSSEYE,0.0,0.0,0.0,0.0,34.3,159.2,114.5,121.0,103.5,23.0,0.0,0.0
DOUMEGA,0.0,0.0,0.0,0.0,30.0,78.2,64.7,230.0,35.6,**,0.0,0.0
EL KOLTA,0.0,0.0,0.0,0.0,4.0,41.5,18.8,177.0,59.5,22.4,0.0,0.0
FABIDJI,0.0,0.0,0.0,0.0,31.2,139.5,78.1,167.7,137.8,17.2,0.0,0.0
FADAMA_TIBIRI_,0.0,0.0,0.0,0.0,42.0,32.0,58.0,251.0,21.0,75.0,0.0,0.0
FALMEY,0.0,0.0,0.0,0.0,16.8,135.7,195.4,336.0,104.5,64.5,0.0,0.0
FALOUEL,0.0,0.0,0.0,0.0,9.6,89.1,104.0,231.3,124.0,140.0,0.0,0.0
FARREY,0.0,0.0,0.0,0.0,43.0,19.0,135.3,284.0,103.0,23.0,0.0,0.0
FILINGUE,0.0,0.0,0.0,0.0,31.3,78.0,80.2,117.0,38.3,80.7,0.0,0.0
GANDASSAMOU,0.0,0.0,0.0,46.5,0.0,31.9,106.6,141.0,82.0,31.0,46.5,0.0
GARANTCHE_DEYE,0.0,0.0,0.0,0.0,5.0,86.0,88.5,222.0,49.0,81.5,0.0,0.0
GAYA,0.0,0.0,0.0,13.3,**,160.1,263.8,248.6,94.1,67.8,13.3,0.0
GAYA.AGRI,0.0,0.0,0.0,22.5,**,201.7,248.5,235.9,111.3,59.7,22.5,0.0
GOLE_DOSSO,0.0,0.0,0.0,0.0,0.0,70.0,179.0,187.0,44.5,15.0,0.0,0.0
GOUBEYE_DOUTCH,0.0,0.0,0.0,0.0,0.0,54.5,26.9,109.0,102.0,76.7,0.0,0.0
GOURE (PTT),0.0,0.0,0.0,0.0,0.0,22.7,95.3,393.5,14.9,9.9,0.0,0.0
GUECHEME,0.0,0.0,0.0,0.0,45.0,47.0,78.3,194.5,135.0,39.0,0.0,0.0
GUIDIGUIR,0.0,0.0,0.0,0.0,0.0,36.9,159.4,288.9,17.5,64.4,0.0,0.0
HAMANI_KOIRA,**,**,**,**,**,130.5,199.0,372.0,39.0,28.0,**,**
KARA - KARA,0.0,0.0,0.0,0.0,55.5,157.5,161.5,442.6,77.0,33.5,0.0,0.0
KARGUI BANGOU,0.0,0.0,0.0,0.0,24.5,41.0,205.0,147.0,101.8,1.5,0.0,0.0
KORE MAIROUA,0.0,0.0,0.0,0.0,8.4,185.7,175.1,191.6,67.6,65.9,0.0,0.0
LEYLEY_GOROU,0.0,0.0,0.0,0.0,**,146.5,91.5,264.0,149.0,6.5,0.0,0.0
LIDO,0.0,0.0,0.0,0.0,**,123.0,141.0,404.0,154.5,72.5,0.0,0.0
MADAOUA,0.0,0.0,0.0,0.0,94.9,19.1,45.1,234.7,108.4,42.7,0.0,0.0
MADAROUNFA,0.0,0.0,0.0,0.0,96.1,55.6,194.3,171.4,84.9,41.1,0.0,0.0
MAGAGI_KOIRA,**,**,**,**,**,125.0,151.0,252.0,147.0,14.0,**,**
MAGARIA,0.0,0.0,0.0,0.0,**,63.0,225.7,255.8,37.9,33.3,0.0,0.0
MAINE SOROA,0.0,0.0,0.0,0.0,0.0,47.5,128.8,244.8,78.8,29.1,0.0,0.0
MALBAZA,0.0,0.0,0.0,0.0,9.0,54.0,76.3,123.1,127.6,59.6,0.0,0.0
MALGOROU,0.0,0.0,0.0,7.2,**,97.7,216.2,248.0,152.8,50.0,7.2,0.0
MAMANDEY,**,**,**,**,**,159.5,271.0,294.6,161.0,27.5,**,**
MATAMAYE,0.0,0.0,0.0,0.0,15.2,28.1,98.9,296.2,57.0,35.9,0.0,0.0
MATANKARI,0.0,0.0,0.0,0.0,9.3,109.7,92.3,143.0,121.0,98.8,0.0,0.0
MOKKO,0.0,0.0,0.0,0.0,49.0,102.0,107.0,197.0,91.5,19.0,0.0,0.0
MYRRIAH,0.0,0.0,0.0,0.0,0.0,91.6,129.4,290.3,26.3,24.0,0.0,0.0
N'GUIGMI,0.0,0.0,0.0,0.0,0.0,18.1,25.3,158.5,40.6,2.2,0.0,0.0
N'WALA DAN SOF,0.0,0.0,0.0,0.0,0.0,32.0,76.0,254.0,106.0,38.5,0.0,0.0
NAMARO,0.0,0.0,0.0,0.0,**,44.0,183.0,116.0,65.0,11.0,0.0,0.0
NGONGA_DJERMA,0.0,0.0,0.0,0.0,**,79.0,158.7,180.6,59.0,32.4,0.0,0.0
NIAMEY AERO,0.0,0.0,0.0,2.3,**,38.1,208.7,108.0,79.6,15.6,2.3,0.0
NIAMEY VILLE,0.0,0.0,0.0,0.0,3.8,45.3,158.4,90.9,78.9,8.7,0.0,0.0
NIAMEY_BANIFAN,0.0,0.0,0.0,0.0,12.7,25.6,157.7,78.5,128.2,31.9,0.0,0.0
OLLELEOUA,0.0,0.0,0.0,0.0,0.0,59.0,39.7,182.3,26.2,87.5,0.0,0.0
RIGIA_SAMNA,0.0,0.0,0.0,0.0,32.0,51.0,135.0,167.0,101.0,105.0,0.0,0.0
SABON BIRNI,0.0,0.0,0.0,0.0,206.0,112.0,255.5,302.0,88.0,91.0,0.0,0.0
SABON-GARI,0.0,0.0,0.0,0.0,0.0,72.0,70.0,196.0,95.0,95.7,0.0,0.0
SAKADAMNA,0.0,0.0,0.0,0.0,10.0,113.3,166.0,148.9,110.5,72.0,0.0,0.0
SATA_KOARA,**,**,**,**,**,295.5,297.0,333.5,50.5,35.5,**,**
SAY,0.0,0.0,0.0,0.0,5.1,101.1,223.9,345.9,44.9,17.0,0.0,0.0
SIMIRI,0.0,0.0,0.0,0.0,8.5,15.3,126.5,252.7,24.0,21.0,0.0,0.0
TAKIETA,0.0,0.0,0.0,0.0,0.0,43.5,61.0,281.6,32.9,13.2,0.0,0.0
TAMOU,0.0,0.0,0.0,0.0,10.5,146.2,216.6,236.1,111.1,90.9,0.0,0.0
TANOUT,0.0,0.0,0.0,0.0,10.5,33.8,72.2,84.4,32.2,12.0,0.0,0.0
TERA METEO,0.0,0.0,0.0,0.0,**,28.7,119.6,355.4,39.1,**,0.0,0.0
TESSA,0.0,0.0,0.0,0.0,58.7,154.5,159.5,317.0,138.0,53.0,0.0,0.0
TIBIRI (DOUTCH,0.0,0.0,0.0,0.0,15.5,136.2,110.3,252.3,107.9,23.5,0.0,0.0
TOMBO KOIREY,0.0,0.0,0.0,0.0,0.0,20.0,134.5,161.0,70.0,61.0,0.0,0.0
TOUROBON,0.0,0.0,0.0,0.0,**,134.0,137.0,184.5,73.0,13.0,0.0,0.0
ZABORI_GAYA,0.0,0.0,0.0,0.0,**,71.0,193.8,295.0,55.1,10.0,0.0,0.0
