STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
ABALA,0.0,0.0,0.0,0.0,31.5,233.7,242.1,138.4,0.0,**,**,**
ABALAK,0.0,0.0,0.0,0.0,23.0,14.0,94.5,10.2,14.0,**,**,**
ADERBISSINAT,0.0,0.0,0.0,0.0,0.0,11.4,38.8,6.4,4.6,**,**,**
ADJE KORIA,0.0,0.0,0.0,0.0,2.1,57.7,109.5,77.2,5.0,**,**,**
AGADEZ,0.0,0.0,0.0,0.0,6.0,21.8,35.7,58.4,0.3,**,**,**
AGUIE,0.0,0.0,**,0.0,23.0,64.9,122.2,127.8,0.0,**,**,**
ARLIT,0.0,0.0,0.0,0.0,0.0,22.7,4.2,14.0,0.0,**,**,**
ARZERORI(NOMAD,0.0,0.0,0.0,0.0,34.2,93.5,95.7,157.9,17.0,**,**,**
AYOROU_PT,0.0,0.0,0.0,0.0,21.5,65.3,106.1,101.0,49.1,**,**,**
BADEGUICHIRI,0.0,0.0,0.0,0.0,1.8,34.0,179.0,18.0,17.4,**,**,**
BAGAROUA,0.0,0.0,0.0,0.0,0.0,135.5,28.7,90.9,7.0,**,**,**
BALLEYARA,0.0,0.0,0.0,0.0,33.5,41.5,132.0,126.8,10.0,**,**,**
BANDE HAOUSSA,0.0,0.0,0.0,0.0,0.0,76.6,108.0,186.1,72.5,**,**,**
BANGUI,0.0,0.0,0.0,0.0,0.0,126.9,122.1,129.2,0.0,**,**,**
BANIBANGOU,0.0,0.0,0.0,0.0,53.0,62.0,146.8,72.0,3.4,**,**,**
BANKILARE,0.0,0.0,0.0,0.0,58.0,91.3,141.4,146.0,45.0,**,**,**
BELBEDJI,0.0,0.0,0.0,0.0,1.5,20.0,123.0,83.3,10.2,**,**,**
BERMO,0.0,0.0,0.0,0.0,5.8,16.2,144.1,34.0,41.8,0.0,0.0,0.0
BEYLANDE,0.0,0.0,0.0,0.0,16.0,72.9,267.0,206.0,24.6,**,**,**
BILMA,0.0,0.0,0.0,0.0,0.0,0.6,0.4,1.8,0.0,**,**,**
BIRNI N'GAOURE,0.0,0.0,0.0,0.0,55.1,38.0,191.0,95.2,46.5,0.0,0.0,0.0
BIRNI N'KONNI,0.0,0.0,0.0,0.0,21.3,57.7,131.4,303.5,18.7,**,**,**
BONKOUKOU,0.0,0.0,0.0,0.0,71.1,123.1,209.7,21.0,1.3,**,**,**
BOUDOUM,0.0,0.0,0.0,0.0,0.0,5.0,150.0,114.0,0.0,**,**,**
BOUTTI,0.0,**,0.0,0.0,0.0,76.5,9.1,115.8,30.5,**,**,**
BOUZA,0.0,0.0,0.0,0.0,0.0,84.5,90.2,142.5,17.3,**,**,**
CHADAKORI,0.0,0.0,0.0,0.0,23.1,110.7,166.0,126.5,0.0,**,**,**
CHERI,0.0,0.0,0.0,0.0,6.0,56.0,117.0,117.5,0.0,**,**,**
DAIKAINA,0.0,0.0,0.0,0.0,23.0,64.5,102.6,194.9,0.0,**,**,**
DAKORO,0.0,0.0,0.0,0.0,0.0,33.0,90.3,177.5,13.0,**,**,**
DAMAGARAM-TAKA,0.0,0.0,0.0,0.0,0.0,68.5,178.7,122.1,14.4,**,**,**
DAMANA,0.0,0.0,0.0,0.0,44.0,46.0,117.0,26.0,0.0,**,**,**
DAN BARTO,0.0,0.0,0.0,0.0,0.0,54.4,236.0,183.0,18.7,**,**,**
